evaluation_scope,resource_state,k,n,selected_baseline,selected_model,selected_baseline_edp_sum_ratio_vs_oracle,selected_model_edp_sum_ratio_vs_oracle,model_improvement_pct,model_beats_baseline_above_noise_floor,adopted_policy
extrapolation_top1,cpu_ready,1,6,always_cpu_ref,model_regression:random_forest+probe,1.0,1.0,0.0,False,baseline
extrapolation_top1,cpu_ready,2,6,always_cpu_ref,model_regression:random_forest+probe,1.0602062165177653,1.0602062165177653,0.0,False,baseline
extrapolation_top1,cpu_ready,3,6,intensity_threshold_train,model_regression:random_forest+probe,1.171817144495761,1.607088603933028,-37.14499838834213,False,baseline
extrapolation_top1,cpu_ready,5,6,intensity_threshold_train,model_regression:random_forest+probe,1.0,2.816168050162741,-181.6168050162741,False,baseline
extrapolation_top1,cpu_ready,10,6,intensity_threshold_train,model_regression:random_forest+probe,1.0,6.04542857185179,-504.542857185179,False,baseline
extrapolation_top1,cpu_ready,30,6,intensity_threshold_train,model_regression:random_forest+probe,1.0,1.0,0.0,False,baseline
extrapolation_top1,cpu_ready,100,6,intensity_threshold_train,model_regression:random_forest+probe,1.0,1.0,0.0,False,baseline
extrapolation_top1,cpu_ready,1000,6,intensity_threshold_train,model_regression:random_forest+probe,1.0,1.0,0.0,False,baseline
extrapolation_top1,gpu_ready,1,6,intensity_threshold_train,model_regression:random_forest+probe,0.9999999999999998,1.017266755700173,-1.726675570017333,False,baseline
extrapolation_top1,gpu_ready,2,6,intensity_threshold_train,model_regression:random_forest+probe,1.0,1.033508804607208,-3.3508804607208065,False,baseline
extrapolation_top1,gpu_ready,3,6,intensity_threshold_train,model_regression:random_forest+probe,1.0,1.039100149579499,-3.910014957949892,False,baseline
extrapolation_top1,gpu_ready,5,6,intensity_threshold_train,model_regression:random_forest+probe,0.9999999999999999,1.0435473134830755,-4.354731348307572,False,baseline
extrapolation_top1,gpu_ready,10,6,intensity_threshold_train,model_regression:random_forest+probe,1.0000000000000002,1.0468349109513055,-4.683491095130554,False,baseline
extrapolation_top1,gpu_ready,30,6,intensity_threshold_train,model_regression:random_forest+probe,1.0000000000000002,1.0489912183473096,-4.899121834730935,False,baseline
extrapolation_top1,gpu_ready,100,6,intensity_threshold_train,model_regression:random_forest+probe,1.0,1.049737644432051,-4.973764443205098,False,baseline
extrapolation_top1,gpu_ready,1000,6,intensity_threshold_train,model_regression:random_forest+probe,0.9999999999999999,1.0500242869845262,-5.002428698452621,False,baseline
extrapolation_top1,none_ready,1,6,always_cpu_ref,model_regression:random_forest+probe,1.0,1.0,0.0,False,baseline
extrapolation_top1,none_ready,2,6,always_cpu_ref,model_regression:random_forest+probe,1.083777599362385,1.083777599362385,0.0,False,baseline
extrapolation_top1,none_ready,3,6,intensity_threshold_train,model_regression:random_forest+probe,1.149162584595045,1.6201765575393914,-40.987583415825156,False,baseline
extrapolation_top1,none_ready,5,6,intensity_threshold_train,model_regression:random_forest+probe,1.0000000000000002,2.854177997816016,-185.41779978160156,False,baseline
extrapolation_top1,none_ready,10,6,intensity_threshold_train,model_regression:random_forest+probe,1.0,6.065599702127692,-506.55997021276914,False,baseline
extrapolation_top1,none_ready,30,6,intensity_threshold_train,model_regression:random_forest+probe,1.0,1.0,0.0,False,baseline
extrapolation_top1,none_ready,100,6,intensity_threshold_train,model_regression:random_forest+probe,1.0,1.0,0.0,False,baseline
extrapolation_top1,none_ready,1000,6,intensity_threshold_train,model_regression:random_forest+probe,1.0,1.0,0.0,False,baseline
extrapolation_top2,cpu_ready,1,12,always_cpu_ref,model_regression:random_forest+probe,1.0,1.0,0.0,False,baseline
extrapolation_top2,cpu_ready,2,12,always_cpu_ref,model_regression:random_forest+probe,1.0485223737219873,1.0485223737219873,0.0,False,baseline
extrapolation_top2,cpu_ready,3,12,intensity_threshold_train,model_regression:random_forest+probe,1.6134882554641985,1.4447534801034747,10.457762849484087,True,model
extrapolation_top2,cpu_ready,5,12,intensity_threshold_train,model_regression:random_forest+probe,1.133207603979171,2.21448878793425,-95.41774871243747,False,baseline
extrapolation_top2,cpu_ready,10,12,intensity_threshold_train,model_regression:random_forest+probe,0.9999999999999998,4.642376669228685,-364.23766692286864,False,baseline
extrapolation_top2,cpu_ready,30,12,intensity_threshold_train,model_regression:random_forest+probe,1.0,1.0,0.0,False,baseline
extrapolation_top2,cpu_ready,100,12,intensity_threshold_train,model_regression:random_forest+probe,1.0,1.0,0.0,False,baseline
extrapolation_top2,cpu_ready,1000,12,intensity_threshold_train,model_regression:random_forest+probe,1.0,1.0,0.0,False,baseline
extrapolation_top2,gpu_ready,1,12,intensity_threshold_train,model_regression:random_forest+probe,1.0040179584807802,6.604513684851582,-557.8083219592144,False,baseline
extrapolation_top2,gpu_ready,2,12,intensity_threshold_train,model_regression:random_forest+probe,1.0,7.731239623641513,-673.1239623641513,False,baseline
extrapolation_top2,gpu_ready,3,12,intensity_threshold_train,model_regression:random_forest+probe,1.0000000000000002,8.11086086536335,-711.0860865363347,False,baseline
extrapolation_top2,gpu_ready,5,12,intensity_threshold_train,model_regression:random_forest+probe,1.0,8.403996444992345,-740.3996444992345,False,baseline
extrapolation_top2,gpu_ready,10,12,intensity_threshold_train,model_regression:random_forest+probe,0.9999999999999998,1.048898454444778,-4.889845444477814,False,baseline
extrapolation_top2,gpu_ready,30,12,intensity_threshold_train,model_regression:random_forest+probe,0.9999999999999998,1.0516964802109958,-5.169648021099604,False,baseline
extrapolation_top2,gpu_ready,100,12,intensity_threshold_train,model_regression:random_forest+probe,1.0,1.052660289807517,-5.2660289807517024,False,baseline
extrapolation_top2,gpu_ready,1000,12,intensity_threshold_train,model_regression:random_forest+probe,1.0000000000000004,1.0530297064862657,-5.302970648626526,False,baseline
extrapolation_top2,none_ready,1,12,always_cpu_ref,model_regression:random_forest+probe,1.0,1.0,0.0,False,baseline
extrapolation_top2,none_ready,2,12,always_cpu_ref,model_regression:random_forest+probe,1.0667498930337074,1.0667498930337074,0.0,False,baseline
extrapolation_top2,none_ready,3,12,intensity_threshold_train,model_regression:random_forest+probe,1.5664250792934262,1.4504510138755875,7.403741612088566,True,model
extrapolation_top2,none_ready,5,12,intensity_threshold_train,model_regression:random_forest+probe,1.1250515865961892,2.237310199912592,-98.8628989610609,False,baseline
extrapolation_top2,none_ready,10,12,intensity_threshold_train,model_regression:random_forest+probe,1.0,4.668382259445269,-366.8382259445269,False,baseline
extrapolation_top2,none_ready,30,12,intensity_threshold_train,model_regression:random_forest+probe,1.0,1.0,0.0,False,baseline
extrapolation_top2,none_ready,100,12,intensity_threshold_train,model_regression:random_forest+probe,1.0,1.0,0.0,False,baseline
extrapolation_top2,none_ready,1000,12,intensity_threshold_train,model_regression:random_forest+probe,1.0,1.0,0.0,False,baseline
interpolation_all,cpu_ready,1,56,always_cpu_ref,model_regression:random_forest+probe,1.0,17.97478002065432,-1697.4780020654318,False,baseline
interpolation_all,cpu_ready,2,56,always_cpu_ref,model_regression:random_forest+probe,1.0,5.040479310686403,-404.0479310686403,False,baseline
interpolation_all,cpu_ready,3,56,always_cpu_ref,model_regression:random_forest+probe,1.0,2.5295097031475415,-152.95097031475416,False,baseline
interpolation_all,cpu_ready,5,56,k_break_even_table_train,model_regression:random_forest+probe,1.0000000000000002,1.3041376862597758,-30.413768625977553,False,baseline
interpolation_all,cpu_ready,10,56,k_break_even_table_train,model_regression:random_forest+probe,1.0,1.0,0.0,False,baseline
interpolation_all,cpu_ready,30,56,k_break_even_table_train,model_regression:random_forest+probe,1.0097953435501192,1.024550155611978,-1.4611685581739309,False,baseline
interpolation_all,cpu_ready,100,56,k_break_even_table_train,model_regression:random_forest+probe,1.0,1.1821773188756655,-18.217731887566547,False,baseline
interpolation_all,cpu_ready,1000,56,k_break_even_table_train,model_regression:random_forest+probe,1.001460689653077,1.3525630289699904,-35.05902357870292,False,baseline
interpolation_all,gpu_ready,1,56,size_threshold_train,model_regression:random_forest+probe,1.2227204182286053,1.274205185885217,-4.2106737475766876,False,baseline
interpolation_all,gpu_ready,2,56,size_threshold_train,model_regression:random_forest+probe,1.0690729171770808,1.1167098104074413,-4.4559068389972145,False,baseline
interpolation_all,gpu_ready,3,56,size_threshold_train,model_regression:random_forest+probe,1.0501503190777883,1.096859415803762,-4.447848643896246,False,baseline
interpolation_all,gpu_ready,5,56,size_threshold_train,model_regression:random_forest+probe,1.0442662303486514,1.0900907263082078,-4.388200501729966,False,baseline
interpolation_all,gpu_ready,10,56,operation_crossover_table_train,model_regression:random_forest+probe,1.0181415242136898,1.0991295686827032,-7.954497733658439,False,baseline
interpolation_all,gpu_ready,30,56,operation_crossover_table_train,model_regression:random_forest+probe,1.0020602049186516,1.069149323075276,-6.695118499598629,False,baseline
interpolation_all,gpu_ready,100,56,operation_crossover_table_train,model_regression:random_forest+probe,1.0003607299572224,1.0702969117600496,-6.991096282419829,False,baseline
interpolation_all,gpu_ready,1000,56,operation_crossover_table_train,model_regression:random_forest+probe,1.000198622566131,1.0597519596491465,-5.954151079535008,False,baseline
interpolation_all,none_ready,1,56,always_cpu_ref,model_regression:random_forest+probe,1.0,1.0,0.0,False,baseline
interpolation_all,none_ready,2,56,always_cpu_ref,model_regression:random_forest+probe,1.0,1.0,0.0,False,baseline
interpolation_all,none_ready,3,56,always_cpu_ref,model_regression:random_forest+probe,1.0,1.0,0.0,False,baseline
interpolation_all,none_ready,5,56,k_break_even_table_train,model_regression:random_forest+probe,1.0000000000000002,1.123648024307422,-12.364802430742184,False,baseline
interpolation_all,none_ready,10,56,k_break_even_table_train,model_regression:random_forest+probe,0.9999999999999998,1.9023782756594683,-90.23782756594687,False,baseline
interpolation_all,none_ready,30,56,k_break_even_table_train,model_regression:random_forest+probe,1.0083534518834565,1.0794144234774414,-7.047228475417366,False,baseline
interpolation_all,none_ready,100,56,k_break_even_table_train,model_regression:random_forest+probe,1.0039085824950693,1.117137148384807,-11.278772575917673,False,baseline
interpolation_all,none_ready,1000,56,k_break_even_table_train,model_regression:random_forest+probe,1.0014406432424212,1.2142737313112153,-21.252691260831224,False,baseline
