evaluation_scope,resource_state,k,n,selected_baseline,selected_direct_name,selected_structured_name,selected_baseline_edp_sum_ratio_vs_oracle,selected_direct_edp_sum_ratio_vs_oracle,selected_structured_edp_sum_ratio_vs_oracle,winner_formulation,winner_edp_sum_ratio_vs_oracle,improvement_pct_over_best_baseline,beats_baseline_above_noise_floor
extrapolation_top1,cpu_ready,1,6,always_cpu_ref,random_forest+probe,elasticnet,1.0,1.0,1.0,direct,1.0,0.0,False
extrapolation_top1,cpu_ready,2,6,always_cpu_ref,random_forest+probe,elasticnet,1.0602062165177653,1.0602062165177653,1.0602062165177653,direct,1.0602062165177653,0.0,False
extrapolation_top1,cpu_ready,3,6,intensity_threshold_train,random_forest+probe,elasticnet,1.171817144495761,1.607088603933028,1.607088603933028,direct,1.607088603933028,-37.14499838834213,False
extrapolation_top1,cpu_ready,5,6,intensity_threshold_train,random_forest+probe,elasticnet,1.0,2.816168050162741,1.1162470472612385,structured,1.1162470472612385,-11.624704726123847,False
extrapolation_top1,cpu_ready,10,6,intensity_threshold_train,random_forest+probe,elasticnet,1.0,6.04542857185179,1.7080861864971448,structured,1.7080861864971448,-70.80861864971449,False
extrapolation_top1,cpu_ready,30,6,intensity_threshold_train,random_forest+probe,elasticnet,1.0,1.0,1.0,direct,1.0,0.0,False
extrapolation_top1,cpu_ready,100,6,intensity_threshold_train,random_forest+probe,elasticnet,1.0,1.0,1.0,direct,1.0,0.0,False
extrapolation_top1,cpu_ready,1000,6,intensity_threshold_train,random_forest+probe,elasticnet,1.0,1.0,1.0,direct,1.0,0.0,False
extrapolation_top1,gpu_ready,1,6,intensity_threshold_train,random_forest+probe,elasticnet,0.9999999999999998,1.017266755700173,1.017266755700173,direct,1.017266755700173,-1.726675570017333,False
extrapolation_top1,gpu_ready,2,6,intensity_threshold_train,random_forest+probe,elasticnet,1.0,1.033508804607208,1.033508804607208,direct,1.033508804607208,-3.3508804607208065,False
extrapolation_top1,gpu_ready,3,6,intensity_threshold_train,random_forest+probe,elasticnet,1.0,1.039100149579499,1.039100149579499,direct,1.039100149579499,-3.910014957949892,False
extrapolation_top1,gpu_ready,5,6,intensity_threshold_train,random_forest+probe,elasticnet,0.9999999999999999,1.0435473134830755,1.0435473134830755,direct,1.0435473134830755,-4.354731348307572,False
extrapolation_top1,gpu_ready,10,6,intensity_threshold_train,random_forest+probe,elasticnet,1.0,1.0468349109513055,1.0,structured,1.0,0.0,False
extrapolation_top1,gpu_ready,30,6,intensity_threshold_train,random_forest+probe,elasticnet,1.0,1.0489912183473094,1.0,structured,1.0,0.0,False
extrapolation_top1,gpu_ready,100,6,intensity_threshold_train,random_forest+probe,elasticnet,1.0,1.049737644432051,1.0,structured,1.0,0.0,False
extrapolation_top1,gpu_ready,1000,6,intensity_threshold_train,random_forest+probe,elasticnet,1.0,1.0500242869845262,1.0,structured,1.0,0.0,False
extrapolation_top1,none_ready,1,6,always_cpu_ref,random_forest+probe,elasticnet,1.0,1.0,1.0,direct,1.0,0.0,False
extrapolation_top1,none_ready,2,6,always_cpu_ref,random_forest+probe,elasticnet,1.083777599362385,1.083777599362385,1.083777599362385,direct,1.083777599362385,0.0,False
extrapolation_top1,none_ready,3,6,intensity_threshold_train,random_forest+probe,elasticnet,1.149162584595045,1.6201765575393914,1.6201765575393914,direct,1.6201765575393914,-40.987583415825156,False
extrapolation_top1,none_ready,5,6,intensity_threshold_train,random_forest+probe,elasticnet,1.0,2.8541779978160156,1.135095368701697,structured,1.135095368701697,-13.509536870169692,False
extrapolation_top1,none_ready,10,6,intensity_threshold_train,random_forest+probe,elasticnet,1.0,6.065599702127692,1.724397136059983,structured,1.724397136059983,-72.4397136059983,False
extrapolation_top1,none_ready,30,6,intensity_threshold_train,random_forest+probe,elasticnet,1.0,1.0,1.0,direct,1.0,0.0,False
extrapolation_top1,none_ready,100,6,intensity_threshold_train,random_forest+probe,elasticnet,1.0,1.0,1.0,direct,1.0,0.0,False
extrapolation_top1,none_ready,1000,6,intensity_threshold_train,random_forest+probe,elasticnet,1.0,1.0,1.0,direct,1.0,0.0,False
extrapolation_top2,cpu_ready,1,12,always_cpu_ref,random_forest+probe,elasticnet,1.0,1.0,1.0,direct,1.0,0.0,False
extrapolation_top2,cpu_ready,2,12,always_cpu_ref,random_forest+probe,elasticnet,1.0485223737219873,1.0485223737219873,1.0485223737219873,direct,1.0485223737219873,0.0,False
extrapolation_top2,cpu_ready,3,12,intensity_threshold_train,random_forest+probe,elasticnet,1.6134882554641983,1.4447534801034743,1.0,structured,1.0,38.02248038599442,True
extrapolation_top2,cpu_ready,5,12,intensity_threshold_train,random_forest+probe,elasticnet,1.133207603979171,2.21448878793425,1.1251649558453531,structured,1.1251649558453531,0.7097241587134429,False
extrapolation_top2,cpu_ready,10,12,intensity_threshold_train,random_forest+probe,elasticnet,0.9999999999999997,4.6423766692286845,1.4703007635002583,structured,1.4703007635002583,-47.03007635002587,False
extrapolation_top2,cpu_ready,30,12,intensity_threshold_train,random_forest+probe,elasticnet,1.0,1.0,2.6054067080187364,direct,1.0,0.0,False
extrapolation_top2,cpu_ready,100,12,intensity_threshold_train,random_forest+probe,elasticnet,1.0,1.0,1.0,direct,1.0,0.0,False
extrapolation_top2,cpu_ready,1000,12,intensity_threshold_train,random_forest+probe,elasticnet,1.0,1.0,1.0,direct,1.0,0.0,False
extrapolation_top2,gpu_ready,1,12,intensity_threshold_train,random_forest+probe,elasticnet,1.00401795848078,6.6045136848515815,1.0136169657241128,structured,1.0136169657241128,-0.9560593176896282,False
extrapolation_top2,gpu_ready,2,12,intensity_threshold_train,random_forest+probe,elasticnet,1.0,7.731239623641513,1.031301480609201,structured,1.031301480609201,-3.1301480609200905,False
extrapolation_top2,gpu_ready,3,12,intensity_threshold_train,random_forest+probe,elasticnet,0.9999999999999999,8.110860865363346,1.0073799986104586,structured,1.0073799986104586,-0.7379998610458571,False
extrapolation_top2,gpu_ready,5,12,intensity_threshold_train,random_forest+probe,elasticnet,1.0,8.403996444992345,1.009560300619276,structured,1.009560300619276,-0.956030061927593,False
extrapolation_top2,gpu_ready,10,12,intensity_threshold_train,random_forest+probe,elasticnet,1.0,1.0488984544447781,1.0,structured,1.0,0.0,False
extrapolation_top2,gpu_ready,30,12,intensity_threshold_train,random_forest+probe,elasticnet,1.0,1.051696480210996,1.0,structured,1.0,0.0,False
extrapolation_top2,gpu_ready,100,12,intensity_threshold_train,random_forest+probe,elasticnet,1.0,1.052660289807517,1.0,structured,1.0,0.0,False
extrapolation_top2,gpu_ready,1000,12,intensity_threshold_train,random_forest+probe,elasticnet,1.0,1.0530297064862653,1.0,structured,1.0,0.0,False
extrapolation_top2,none_ready,1,12,always_cpu_ref,random_forest+probe,elasticnet,1.0,1.0,1.0,direct,1.0,0.0,False
