kernel_ref,repetition,success,value
stream_official,1,True,58639200000.0
stream_official,2,True,58608200000.0
stream_official,3,True,58425400000.0
stream_official,4,True,58389900000.0
stream_official,5,True,58270000000.0
stream_official,6,True,57711500000.0
stream_official,7,True,58774000000.0
stream_official,8,True,57929500000.0
stream_official,9,True,58888900000.0
stream_official,10,True,58485300000.0
ert_probe,1,True,71853000000.0
ert_probe,2,True,71677000000.0
ert_probe,3,True,71891000000.0
ert_probe,4,True,71842000000.0
ert_probe,5,True,71862000000.0
ert_probe,6,True,71807000000.0
ert_probe,7,True,71855000000.0
ert_probe,8,True,71705000000.0
ert_probe,9,True,72020000000.0
ert_probe,10,True,71880000000.0
gpu_stream_bw,1,True,1258169583000.0
gpu_stream_bw,2,True,1253159005000.0
gpu_stream_bw,3,True,1267388303000.0
gpu_stream_bw,4,True,1258335819000.0
gpu_stream_bw,5,True,1271494212000.0
gpu_stream_bw,6,True,1272863816000.0
gpu_stream_bw,7,True,1273042061000.0
gpu_stream_bw,8,True,1277938940000.0
gpu_stream_bw,9,True,1257884710000.0
gpu_stream_bw,10,True,1269164382000.0
gpu_ert_probe_fp32,1,True,10178034000000.0
gpu_ert_probe_fp32,2,True,10178034000000.0
gpu_ert_probe_fp32,3,True,10178226000000.0
gpu_ert_probe_fp32,4,True,10177840000000.0
gpu_ert_probe_fp32,5,True,10178034000000.0
gpu_ert_probe_fp32,6,True,10178226000000.0
gpu_ert_probe_fp32,7,True,10178226000000.0
gpu_ert_probe_fp32,8,True,10178226000000.0
gpu_ert_probe_fp32,9,True,10178034000000.0
gpu_ert_probe_fp32,10,True,10178034000000.0
gpu_ert_probe_fp64,1,True,4698582000000.0
gpu_ert_probe_fp64,2,True,4698581000000.0
gpu_ert_probe_fp64,3,True,4698580000000.0
gpu_ert_probe_fp64,4,True,4698582000000.0
gpu_ert_probe_fp64,5,True,4698582000000.0
gpu_ert_probe_fp64,6,True,4698581000000.0
gpu_ert_probe_fp64,7,True,4698581000000.0
gpu_ert_probe_fp64,8,True,4698580000000.0
gpu_ert_probe_fp64,9,True,4698582000000.0
gpu_ert_probe_fp64,10,True,4698581000000.0
