kernel_ref,freq_level_id,repetition,elapsed_s,energy_j
npb_bt,REF,1,27.101054473,3244.892024
npb_bt,REF,2,27.142054333,3254.972813
npb_bt,REF,3,27.166052636,3260.62181
npb_bt,REF,4,27.138052895,3265.126896
npb_bt,REF,5,27.118052957,3295.023865
npb_bt,REF,6,27.157053063,3310.367288
npb_bt,REF,7,27.172054242,3308.869264
npb_bt,REF,8,27.209052761,3263.777199
npb_bt,REF,9,27.178052826,3307.553183
npb_bt,REF,10,27.152052811,3265.914005
npb_bt,F0,1,27.102052785,3284.519715
npb_bt,F0,2,27.267036131,3249.061362
npb_bt,F0,3,27.189053539,3264.731017
npb_bt,F0,4,27.135052695,3246.80909
npb_bt,F0,5,27.065052508,3252.462713
npb_bt,F0,6,27.148052884,3266.275185
npb_bt,F0,7,27.127054858,3281.508033
npb_bt,F0,8,27.185052755,3309.772971
npb_bt,F0,9,27.117059037,3254.056095
npb_bt,F0,10,27.225052644,3312.108317
npb_bt,F1,1,32.411052971,3507.242388
npb_bt,F1,2,32.493052936,3514.295375
npb_bt,F1,3,32.553052968,3543.042977
npb_bt,F1,4,32.57505281,3528.911789
npb_bt,F1,5,32.579053479,3531.44019
npb_bt,F1,6,32.519052569,3539.722028
npb_bt,F1,7,32.543058362,3521.766485
npb_bt,F1,8,32.622052708,3516.23103
npb_bt,F1,9,32.641052949,3532.238459
npb_bt,F1,10,32.581010503,3521.443098
npb_bt,F2,1,41.138052791,4113.369738
npb_bt,F2,2,41.129051815,4201.123569
npb_bt,F2,3,41.187052549,4114.950055
npb_bt,F2,4,41.214052299,4111.895496
npb_bt,F2,5,41.141055391,4117.497953
npb_bt,F2,6,41.153053107,4103.086148
npb_bt,F2,7,41.194052684,4181.031913
npb_bt,F2,8,41.286053461,4197.185936
npb_bt,F2,9,41.168057717,4104.680696
npb_bt,F2,10,41.142052561,4106.832055
npb_bt,F3,1,57.994052598,5385.489015
npb_bt,F3,2,57.820052428,5417.022696
npb_bt,F3,3,57.84105628,5359.429379
npb_bt,F3,4,57.789054287,5391.338095
npb_bt,F3,5,57.79005255,5472.841734
npb_bt,F3,6,57.875052686,5359.646605
npb_bt,F3,7,57.800052512,5458.122601
npb_bt,F3,8,57.976053117,5447.906341
npb_bt,F3,9,57.830053509,5460.147524
npb_bt,F3,10,57.742017033,5374.911278
npb_bt,F4,1,101.029053691,8930.487859
npb_bt,F4,2,100.942056607,8851.250429
npb_bt,F4,3,101.148052612,8895.215026
npb_bt,F4,4,101.173052952,8864.699574
npb_bt,F4,5,101.122053418,8973.806277
npb_bt,F4,6,101.141052929,8862.924868
npb_bt,F4,7,101.028053175,8906.386536
npb_bt,F4,8,101.022053064,8882.644218
npb_bt,F4,9,101.183053436,8894.197113
npb_bt,F4,10,101.162054023,8887.661285
npb_mg,REF,1,0.954053156,127.745678
npb_mg,REF,2,0.960053209,129.004207
npb_mg,REF,3,0.959005244,127.265874
npb_mg,REF,4,0.964053416,129.774511
npb_mg,REF,5,0.960051823,129.836718
npb_mg,REF,6,0.965052942,128.358845
npb_mg,REF,7,0.955055764,127.353403
npb_mg,REF,8,0.962055584,129.864152
npb_mg,REF,9,0.968052684,129.206886
npb_mg,REF,10,0.962052578,128.798687
npb_mg,F0,1,0.961052839,129.15007
npb_mg,F0,2,0.96505271,129.044333
npb_mg,F0,3,0.958011376,127.546641
npb_mg,F0,4,0.957053803,128.183807
npb_mg,F0,5,0.959052489,128.151202
npb_mg,F0,6,0.963053388,127.984454
npb_mg,F0,7,0.96705474,129.243493
npb_mg,F0,8,0.95405275,128.83284
npb_mg,F0,9,0.956052646,127.963329
npb_mg,F0,10,0.955054066,127.914009
npb_mg,F1,1,0.994052664,124.360564
npb_mg,F1,2,0.994052716,125.556386
