gpu_interval_ns_ms,kernel_ref,n_gpu_telemetry_mean
1.0,gpu_dgemm_n4096,2986.7
5.0,gpu_dgemm_n4096,808.7
10.0,gpu_dgemm_n4096,428.3
50.0,gpu_dgemm_n4096,89.0
100.0,gpu_dgemm_n4096,45.0
1.0,rodinia_backprop,495.7
5.0,rodinia_backprop,150.3
10.0,rodinia_backprop,80.3
50.0,rodinia_backprop,17.0
100.0,rodinia_backprop,9.0
1.0,rodinia_dwt2d,1311.3
5.0,rodinia_dwt2d,376.0
10.0,rodinia_dwt2d,198.3
50.0,rodinia_dwt2d,42.3
100.0,rodinia_dwt2d,21.7
1.0,rodinia_heartwall,3462.7
5.0,rodinia_heartwall,1063.7
10.0,rodinia_heartwall,570.3
50.0,rodinia_heartwall,120.0
100.0,rodinia_heartwall,60.3
1.0,rodinia_hotspot,4171.7
5.0,rodinia_hotspot,1246.0
10.0,rodinia_hotspot,654.3
50.0,rodinia_hotspot,137.3
100.0,rodinia_hotspot,69.0
1.0,rodinia_lavamd,3366.0
5.0,rodinia_lavamd,992.3
10.0,rodinia_lavamd,523.0
50.0,rodinia_lavamd,110.0
100.0,rodinia_lavamd,55.0
1.0,rodinia_lud,4893.7
5.0,rodinia_lud,1503.3
10.0,rodinia_lud,836.0
50.0,rodinia_lud,173.7
100.0,rodinia_lud,88.0
1.0,rodinia_myocyte,3782.0
5.0,rodinia_myocyte,1165.7
10.0,rodinia_myocyte,613.0
50.0,rodinia_myocyte,129.0
100.0,rodinia_myocyte,65.0
