kernel_ref,device,n_combinations,cv3_first_order,cv3_min,cv3_median,cv3_p95,cv3_max,cv10_all
dgemm_n2048,cpu,120,0.003,0.0,0.01,0.016,0.016,0.012
gpu_dgemm_n4096,gpu,120,0.052,0.001,0.047,0.486,0.488,0.305
npb_bt,cpu,120,0.164,0.001,0.187,0.329,0.343,0.234
npb_cg,cpu,120,1.569,0.004,0.913,1.781,1.917,1.225
npb_ft,cpu,120,2.747,0.004,1.1,2.513,2.752,1.815
npb_lu,cpu,120,0.231,0.003,0.269,0.591,0.621,0.394
npb_mg,cpu,120,0.052,0.002,0.028,0.051,0.053,0.036
npb_sp,cpu,120,0.395,0.005,0.41,0.715,0.758,0.53
rodinia_backprop,gpu,120,0.063,0.007,0.039,0.072,0.077,0.051
rodinia_dwt2d,gpu,120,0.022,0.002,0.907,0.929,0.934,0.784
rodinia_heartwall,gpu,120,0.005,0.0,0.013,0.376,0.38,0.236
rodinia_hotspot,gpu,120,0.327,0.003,0.315,0.329,0.333,0.311
rodinia_lavamd,gpu,120,0.425,0.002,0.397,0.428,0.433,0.353
rodinia_lud,gpu,120,1.325,0.009,1.347,5.271,5.492,3.27
rodinia_myocyte,gpu,120,0.352,0.001,0.361,1.206,1.249,0.746
