freq_level,n,share_memory,cell_balanced_acc,recall_compute,recall_memory,pooled_f1_macro,pooled_accuracy,mean_family_accuracy
F0,77930,0.7512,0.7594,0.3483,0.8999,0.6364,0.7627,0.8397
F1,81713,0.7513,0.8011,0.3628,0.8768,0.6291,0.7489,0.8467
F2,86659,0.7353,0.8085,0.4524,0.8737,0.6728,0.7621,0.8744
F3,92901,0.7132,0.7761,0.4764,0.8558,0.6738,0.747,0.8435
F4,102187,0.6576,0.7055,0.4591,0.8037,0.6355,0.6857,0.7694
F5,115384,0.6538,0.6957,0.4901,0.8028,0.6504,0.6945,0.745
F6,135809,0.6362,0.678,0.5186,0.814,0.6709,0.7066,0.7329
F7,162631,0.6155,0.6674,0.5676,0.7916,0.6825,0.7055,0.678
F8,223501,0.6145,0.651,0.7509,0.7938,0.7681,0.7773,0.704
REF,86667,0.7732,0.803,0.3515,0.9043,0.6413,0.7789,0.8536
