conf_bin,n,mean_conf,accuracy
"(0.499, 0.55]",35519,0.5241765,0.45381345195529155
"(0.55, 0.6]",36376,0.5735076,0.4674510666373433
"(0.6, 0.65]",40590,0.62478286,0.43074648928307463
"(0.65, 0.7]",37960,0.67395097,0.5428609062170706
"(0.7, 0.75]",46212,0.72633487,0.504782307625725
"(0.75, 0.8]",49234,0.7744083,0.6113255067636186
"(0.8, 0.85]",61872,0.82453454,0.5861132660977502
"(0.85, 0.9]",83746,0.87665755,0.6636973706206863
"(0.9, 0.95]",121985,0.92677796,0.7788170676722548
"(0.95, 1.0]",651888,0.99127066,0.8386655376383674
