family,n_full,memory_share,recall_compute,recall_memory,accuracy
cpu_cholmod,166314,0.6674,0.6504,0.9,0.8169
cpu_hpcg,32245,0.9995,0.04,0.9488,0.9484
cpu_lulesh,302140,1.0,0.0,0.8756,0.8755
dgemm,10938,0.0,1.0,,1.0
dual_axpy,12773,0.5914,0.5199,0.9989,0.8032
dual_cholesky,14543,0.3489,0.9215,0.9131,0.9186
dual_fft,16997,0.574,0.9866,0.9483,0.9647
dual_gemm,5990,0.0015,0.9997,0.7778,0.9993
dual_spmv,7100,0.431,1.0,0.9825,0.9925
dual_stencil,17899,0.4472,0.9977,0.9476,0.9753
gap_pr,23542,1.0,,0.4394,0.4394
hpccg_cpu_N46,10666,0.178,0.9594,0.5082,0.8791
npb_bt,108605,0.3702,0.6181,0.5894,0.6075
npb_cg,25770,1.0,,0.9562,0.9562
npb_ft,15679,0.9629,0.5753,0.5018,0.5045
npb_lu,70757,0.7005,0.2228,0.8418,0.6564
npb_mg,1778,1.0,,0.5364,0.5364
npb_sp,56273,0.9939,0.9757,0.5609,0.5634
phasic,131923,0.3243,0.0666,1.0,0.3693
rajaperf_basic,5992,0.9803,0.2017,0.8776,0.8643
rajaperf_lcals,12855,0.9915,0.7945,0.5124,0.5148
rajaperf_polybench,64720,0.1749,0.9948,0.7302,0.9485
rajaperf_stream,18224,0.9904,0.68,0.737,0.7364
rodinia_lavamd,31659,0.0005,0.7963,0.0933,0.796
