margin_bin,n,accuracy,share_memory,mean_conf,share_of_all
"(-inf, -3.0]",585078,0.8526589617110881,1.0,0.9075571,0.5020482554218273
"(-3.0, -2.0]",80085,0.77351563963289,1.0,0.8521786,0.06871995620320204
"(-2.0, -1.0]",43907,0.7449609401689935,1.0,0.87099224,0.03767605815088958
"(-1.0, -0.5]",28969,0.7731022817494563,1.0,0.8738522,0.024857943575582943
"(-0.5, 0.0]",45353,0.8094723612550437,1.0,0.83477664,0.038916853014719636
"(0.0, 0.5]",42563,0.2398327185583723,0.0,0.81201553,0.0365227882359604
"(0.5, 1.0]",46121,0.3410160230697513,0.0,0.7789264,0.03957586439467917
"(1.0, 2.0]",77683,0.6445296911808246,0.0,0.89998645,0.06665882946535985
"(2.0, 3.0]",66713,0.5934825296418988,0.0,0.94455296,0.05724560701984414
"(3.0, inf]",148910,0.6041971660734672,0.0,0.9517756,0.1277778445179349
