family,n,memory_share,accuracy,coverage,accuracy_auto
cpu_cholmod,166314.0,0.6674,0.8169,0.7778,0.8842
cpu_hpcg,32245.0,0.9995,0.9484,0.8525,0.9881
cpu_lulesh,302140.0,1.0,0.8755,0.7716,0.935
dgemm,10938.0,0.0,1.0,0.9998,1.0
dual_axpy,12773.0,0.5914,0.8032,0.7409,0.8888
dual_cholesky,14543.0,0.3489,0.9186,0.7759,0.9819
dual_fft,16997.0,0.574,0.9647,0.8905,0.995
dual_gemm,5990.0,0.0015,0.9993,0.9996,0.9995
dual_spmv,7100.0,0.431,0.9925,0.9261,0.9996
dual_stencil,17899.0,0.4472,0.9753,0.8952,0.9935
gap_pr,23542.0,1.0,0.4394,0.8429,0.4967
hpccg_cpu_N46,10666.0,0.178,0.8791,0.7006,0.9399
npb_bt,108605.0,0.3702,0.6075,0.3622,0.6633
npb_cg,25770.0,1.0,0.9562,0.7365,0.9966
npb_ft,15679.0,0.9629,0.5045,0.5772,0.5741
npb_lu,70757.0,0.7005,0.6564,0.4362,0.7503
npb_mg,1778.0,1.0,0.5364,0.4975,0.5844
npb_sp,56273.0,0.9939,0.5634,0.5583,0.6583
phasic,131923.0,0.3243,0.3693,0.8895,0.3788
rajaperf_basic,5992.0,0.9803,0.8643,0.7016,0.9569
rajaperf_lcals,12855.0,0.9915,0.5148,0.5236,0.7244
rajaperf_polybench,64720.0,0.1749,0.9485,0.9502,0.96
rajaperf_stream,18224.0,0.9904,0.7364,0.6102,0.945
rodinia_lavamd,31659.0,0.0005,0.796,0.6895,0.829
