freq,n,accuracy,coverage,share_memory,correct_auto,error_auto,abstained
F0,77930.0,0.7707,0.7959,0.7512,50955.4,11065.8,15908.8
F1,81713.0,0.7782,0.7921,0.7513,53382.8,11345.2,16985.0
F2,86659.0,0.7642,0.763,0.7353,53872.2,12246.2,20540.6
F3,92901.0,0.7472,0.742,0.7132,55341.6,13588.2,23971.2
F4,102187.0,0.7062,0.7134,0.6576,57474.6,15425.8,29286.6
F5,115384.0,0.72,0.6852,0.6538,63299.4,15764.6,36320.0
F6,135809.0,0.7285,0.6897,0.6362,75080.4,18587.0,42141.6
F7,162631.0,0.7261,0.6754,0.6155,87752.4,22089.0,52789.6
F8,223501.0,0.7642,0.7124,0.6145,131004.0,28224.8,64272.2
REF,86667.0,0.7841,0.8013,0.7732,58109.0,11339.4,17218.6
