family,n_high_conf,acc_high_conf,share_of_family
cpu_cholmod,123711,0.9012456450921906,0.7438399653667159
cpu_hpcg,27008,0.9959641587677726,0.8375872228252442
cpu_lulesh,199134,0.9883294665903362,0.6590785728470245
dgemm,10938,1.0,1.0
dual_axpy,8710,0.9794489092996556,0.6819071478900807
dual_cholesky,10526,0.9700741022230667,0.7237846386577735
dual_fft,13804,0.9999275572297884,0.8121433194093075
dual_gemm,5976,0.9998326639892905,0.9976627712854758
dual_spmv,5991,1.0,0.8438028169014085
dual_stencil,14583,0.9910855105259548,0.814738253533717
gap_pr,16117,0.5910529254824098,0.6846062356639198
hpccg_cpu_N46,7268,0.9422124380847551,0.6814175885992875
npb_bt,23357,0.6261934323757332,0.21506376317849085
npb_cg,14590,0.9973269362577107,0.5661622041133101
npb_ft,10334,0.32068898780723826,0.6590981567702022
npb_lu,31591,0.8632521920800228,0.44647172717893635
npb_mg,761,0.6268068331143233,0.4280089988751406
npb_sp,24987,0.7893304518349542,0.4440317736747641
phasic,120962,0.3537557249384104,0.9169136541770578
rajaperf_basic,4123,0.9568275527528499,0.6880841121495327
rajaperf_lcals,4101,0.969519629358693,0.3190198366394399
rajaperf_polybench,57522,0.9594937589096346,0.8887824474660074
rajaperf_stream,10451,0.9785666443402545,0.5734745390693591
rodinia_lavamd,27328,0.8836358313817331,0.8631984585741811
