config,test,cell_balanced_acc,recall_compute,recall_memory,pooled_f1_macro,pooled_accuracy,mean_family_accuracy,sd_seed_cell_bal,ci_lo,ci_hi
majority,capped,0.5227,0.0,1.0,0.3663,0.578,0.6053,0.0,0.4783,0.5714
majority,full,0.5227,0.0,1.0,0.402,0.6722,0.6137,0.0,0.4783,0.5714
stump_base,capped,0.6169,0.6149,0.7833,0.701,0.7122,0.7095,0.0015,0.5283,0.7081
stump_base,full,0.6169,0.5776,0.844,0.7161,0.7567,0.758,0.001,0.5285,0.7077
logistic_base,capped,0.6804,0.7742,0.7349,0.7491,0.7515,0.7491,0.002,0.6123,0.7469
logistic_base,full,0.6799,0.6483,0.7958,0.7182,0.7475,0.7666,0.0004,0.6113,0.7467
logistic_inter,capped,0.6894,0.701,0.7749,0.7376,0.7437,0.7452,0.0018,0.6304,0.7519
logistic_inter,full,0.6886,0.6747,0.8519,0.7647,0.7938,0.7596,0.0008,0.6291,0.7509
xgb_base,capped,0.6991,0.7243,0.7839,0.7534,0.7588,0.7562,0.0105,0.6226,0.7752
xgb_base,full,0.6983,0.5411,0.8206,0.6848,0.729,0.7627,0.0105,0.6221,0.7739
xgb_inter,capped,0.7095,0.7584,0.7776,0.7655,0.7695,0.7695,0.0041,0.6337,0.7801
xgb_inter,full,0.7086,0.5915,0.8225,0.7092,0.7468,0.7778,0.0037,0.6331,0.7798
xgb_inter_nofreq,capped,0.7093,0.7585,0.78,0.7668,0.7709,0.7684,0.0073,0.6327,0.7866
xgb_inter_nofreq,full,0.7087,0.5841,0.8213,0.7051,0.7436,0.7767,0.0068,0.6315,0.7855
xgb_freq_only,capped,0.5693,0.6377,0.4831,0.5479,0.5484,0.5285,0.0073,0.5171,0.6163
xgb_freq_only,full,0.5686,0.6247,0.4418,0.4971,0.5018,0.5159,0.0058,0.5161,0.6156
xgb_legacy_running_ratio,capped,0.6991,0.7243,0.7839,0.7534,0.7588,0.7562,0.0105,0.6226,0.7752
xgb_legacy_running_ratio,full,0.6983,0.5411,0.8206,0.6848,0.729,0.7627,0.0105,0.6221,0.7739
xgb_inter_class_only,capped,0.6954,0.7313,0.7995,0.7652,0.7707,0.7774,0.0123,0.6213,0.7666
xgb_inter_class_only,full,0.6948,0.556,0.8534,0.7117,0.7559,0.7933,0.0111,0.621,0.7659
xgb_inter_mono,capped,0.6972,0.7615,0.7415,0.747,0.7499,0.7552,0.0073,0.6322,0.762
xgb_inter_mono,full,0.6977,0.6357,0.8045,0.718,0.7492,0.7691,0.0079,0.634,0.7619
xgb_inter_shallow,capped,0.7015,0.7325,0.6996,0.7108,0.7135,0.7075,0.0105,0.631,0.7737
xgb_inter_shallow,full,0.7007,0.549,0.6417,0.5851,0.6113,0.7132,0.0105,0.6303,0.773
rf_inter,capped,0.7026,0.7888,0.7638,0.7716,0.7744,0.7816,0.0072,0.6172,0.7872
rf_inter,full,0.7026,0.6261,0.8303,0.7295,0.7634,0.8085,0.0069,0.6184,0.7872
et_inter,capped,0.699,0.7271,0.7764,0.7505,0.7556,0.7564,0.0046,0.6157,0.7839
et_inter,full,0.6989,0.5159,0.7845,0.6516,0.6965,0.779,0.0045,0.6163,0.7833
