family,y,ipc,mpki,cache_miss_rate,stall_mem_ratio
cpu_cholmod,False,1.9006,4.6759,0.5014,0.1684
cpu_cholmod,True,0.4294,68.9879,0.8178,0.2885
cpu_hpcg,False,2.3681,37.4326,0.9591,0.1287
cpu_hpcg,True,1.3998,36.1843,0.9543,0.138
cpu_lulesh,False,3.4409,2.6405,0.8509,0.0034
cpu_lulesh,True,2.7453,9.5032,0.9457,0.0397
dgemm,False,3.0098,3.8671,0.5371,0.0919
dual_axpy,False,0.1418,0.0606,0.0004,0.3686
dual_axpy,True,0.1968,141.3708,0.9308,0.3718
dual_cholesky,False,0.6254,0.0007,0.0,0.2438
dual_cholesky,True,0.5543,10.7174,0.315,0.2861
dual_fft,False,0.8668,0.0001,0.0,0.3115
dual_fft,True,0.6729,20.0076,0.7254,0.3542
dual_gemm,False,3.0083,3.8726,0.5385,0.092
dual_gemm,True,1.9813,7.0207,0.8396,0.0035
dual_spmv,False,3.3668,0.0,0.0,0.0637
dual_spmv,True,2.3918,28.0112,0.8968,0.204
dual_stencil,False,0.7822,0.0084,0.0003,0.2318
dual_stencil,True,0.7308,20.9983,0.4914,0.2041
gap_pr,True,1.1115,0.8195,0.76,0.1556
hpccg_cpu_N46,False,2.463,0.2821,0.0092,0.1568
hpccg_cpu_N46,True,2.3398,0.7724,0.0252,0.1739
npb_bt,False,3.1803,0.7317,0.9371,0.0423
npb_bt,True,3.0824,0.7102,0.9195,0.0707
npb_cg,True,2.1154,21.919,0.8953,0.1293
npb_ft,False,3.7029,2.4439,0.7035,0.1651
npb_ft,True,4.1049,2.4608,0.7157,0.1011
npb_lu,False,1.8704,1.7361,0.8632,0.1876
npb_lu,True,1.8512,1.7552,0.8562,0.1893
npb_mg,True,2.7887,18.8312,0.6874,0.147
npb_sp,False,3.5169,14.1327,0.9331,0.0165
npb_sp,True,2.4958,12.1323,0.8841,0.1708
phasic,False,0.9638,1.1125,0.7346,0.2179
phasic,True,0.0166,323.7029,0.9789,0.9848
rajaperf_basic,False,1.2198,56.9726,0.9146,0.3903
rajaperf_basic,True,0.7297,112.9205,0.9143,0.3112
rajaperf_lcals,False,1.2274,65.1205,0.9123,0.4546
rajaperf_lcals,True,0.9291,64.9895,0.913,0.5515
rajaperf_polybench,False,1.4119,0.0498,0.0022,0.2551
rajaperf_polybench,True,1.411,40.5304,0.8153,0.3431
rajaperf_stream,False,1.1332,84.9529,0.9118,0.4955
rajaperf_stream,True,0.8023,76.0157,0.9129,0.6258
rodinia_lavamd,False,3.0658,0.0079,0.7492,0.0061
rodinia_lavamd,True,3.057,0.0074,0.7478,0.0063
