model,family,inner_best_score,outer_cell_balanced_acc,p_C
logistic,cpu_cholmod,0.6954,0.6419,2.5855633991100393
logistic,cpu_hpcg,0.7076,0.5148,1.2982374380747381
logistic,cpu_lulesh,0.6764,0.869,0.862550913375402
logistic,dgemm,0.6942,0.5905,2.5855633991100393
logistic,dual_axpy,0.6878,0.5562,1.2982374380747381
logistic,dual_cholesky,0.6737,0.8695,2.5855633991100393
logistic,dual_fft,0.6754,0.9569,2.5855633991100393
logistic,dual_gemm,0.6864,0.7915,2.5855633991100393
logistic,dual_spmv,0.7077,0.6205,0.018819110245932285
logistic,dual_stencil,0.6778,0.9863,2.5855633991100393
logistic,gap_pr,0.6837,0.5981,0.862550913375402
logistic,hpccg_cpu_N46,0.6835,0.5,0.018819110245932285
logistic,npb_bt,0.6949,0.7148,2.5855633991100393
logistic,npb_cg,0.6923,0.9642,2.5855633991100393
logistic,npb_ft,0.7207,0.5224,2.5855633991100393
logistic,npb_lu,0.6905,0.7031,0.862550913375402
logistic,npb_mg,0.7184,0.6507,1.2982374380747381
logistic,npb_sp,0.6799,0.4809,2.5855633991100393
logistic,phasic,0.7094,0.7121,2.5855633991100393
logistic,rajaperf_basic,0.696,0.5629,0.862550913375402
logistic,rajaperf_lcals,0.6933,0.6157,2.5855633991100393
logistic,rajaperf_polybench,0.6894,0.7473,1.2982374380747381
logistic,rajaperf_stream,0.6934,0.6214,1.2982374380747381
logistic,rodinia_lavamd,0.7128,0.4335,1.2982374380747381
