model,family,inner_best_score,outer_cell_balanced_acc,p_n_estimators,p_max_depth,p_learning_rate,p_min_child_weight
xgboost,cpu_cholmod,0.7296,0.7134,50,5,0.17506757366989917,6
xgboost,cpu_hpcg,0.7304,0.4839,125,7,0.027108227585998436,3
xgboost,cpu_lulesh,0.732,0.3497,200,4,0.08658291897294093,8
xgboost,dgemm,0.712,1.0,225,8,0.2248894101233281,6
xgboost,dual_axpy,0.7104,0.9394,275,6,0.10617828220367989,2
xgboost,dual_cholesky,0.7039,0.8672,225,8,0.2248894101233281,6
xgboost,dual_fft,0.7045,0.9649,275,7,0.30690404427582935,6
xgboost,dual_gemm,0.7138,0.8887,225,8,0.2248894101233281,6
xgboost,dual_spmv,0.7046,0.998,150,8,0.13153976355249192,3
xgboost,dual_stencil,0.6928,0.9906,150,9,0.032033090205400086,7
xgboost,gap_pr,0.728,0.4952,250,7,0.03404325991118675,9
xgboost,hpccg_cpu_N46,0.7185,0.5,150,9,0.032033090205400086,7
xgboost,npb_bt,0.7157,0.5927,200,6,0.11384520782825051,3
xgboost,npb_cg,0.7077,0.9125,75,6,0.31666187446525357,1
xgboost,npb_ft,0.7258,0.5428,50,8,0.06773935985850055,2
xgboost,npb_lu,0.7331,0.6231,150,9,0.032033090205400086,7
xgboost,npb_mg,0.7205,0.5011,225,8,0.2248894101233281,6
xgboost,npb_sp,0.7275,0.3425,175,3,0.04558499253128838,8
xgboost,phasic,0.7384,0.5382,200,6,0.05601310819037879,3
xgboost,rajaperf_basic,0.7328,0.5198,225,8,0.2248894101233281,6
xgboost,rajaperf_lcals,0.7258,0.6721,225,8,0.2248894101233281,6
xgboost,rajaperf_polybench,0.7147,0.8835,125,7,0.053885204634529046,7
xgboost,rajaperf_stream,0.7228,0.7136,225,8,0.2248894101233281,6
xgboost,rodinia_lavamd,0.7459,0.4193,125,8,0.20567338194367116,4
