family,threshold,inner_score,coverage_full,accuracy_auto
cpu_cholmod,0.9,0.7441,0.7438,0.9012
cpu_hpcg,0.85,0.7453,0.8777,0.9929
cpu_lulesh,0.9,0.7261,0.6591,0.9883
dgemm,0.9,0.7509,1.0,1.0
dual_axpy,0.85,0.735,0.7445,0.9805
dual_cholesky,0.9,0.7402,0.7238,0.9701
dual_fft,0.9,0.6976,0.8121,0.9999
dual_gemm,0.9,0.7432,0.9977,0.9998
dual_spmv,0.85,0.7206,0.8693,0.9982
dual_stencil,0.85,0.7143,0.8718,0.9912
gap_pr,0.9,0.7209,0.6846,0.5911
hpccg_cpu_N46,0.9,0.7424,0.6814,0.9422
npb_bt,0.7,0.708,0.709,0.63
npb_cg,0.85,0.7535,0.7224,0.996
npb_ft,0.85,0.7462,0.6968,0.3338
npb_lu,0.9,0.7338,0.4465,0.8633
npb_mg,0.93,0.7455,0.3493,0.649
npb_sp,0.9,0.7229,0.444,0.7893
phasic,0.9,0.7596,0.9169,0.3538
rajaperf_basic,0.9,0.761,0.6881,0.9568
rajaperf_lcals,0.9,0.7384,0.319,0.9695
rajaperf_polybench,0.9,0.7109,0.8888,0.9595
rajaperf_stream,0.9,0.7373,0.5735,0.9786
rodinia_lavamd,0.85,0.7583,0.8757,0.8775
