family,spearman_pred_vs_true_log2oi,mae_log2oi
cpu_cholmod,0.752,2.178
cpu_hpcg,0.1953,1.807
cpu_lulesh,0.1345,1.46
dgemm,0.3229,0.241
dual_axpy,0.4064,3.24
dual_cholesky,0.9119,1.659
dual_fft,0.8966,1.433
dual_gemm,0.3768,0.231
dual_spmv,0.7303,3.086
dual_stencil,0.9445,1.152
gap_pr,-0.1774,8.737
hpccg_cpu_N46,0.2122,3.789
npb_bt,-0.0009,3.36
npb_cg,0.0485,2.278
npb_ft,0.1047,1.946
npb_lu,0.0945,3.51
npb_mg,0.2891,1.324
npb_sp,0.1332,2.286
phasic,0.5969,7.132
rajaperf_basic,-0.4563,3.558
rajaperf_lcals,-0.1523,3.385
rajaperf_polybench,0.5491,0.993
rajaperf_stream,-0.0168,2.485
rodinia_lavamd,-0.2229,4.824
