,mean_drop,sd_between_families,share_families_positive
cache_miss_rate,0.06026849456181954,0.08728442963934006,0.7916666666666666
mpki,0.028847155546534387,0.050809874041800214,0.5416666666666666
cache_references_per_ki,0.02391361057204085,0.05124486365744948,0.5833333333333334
freq_khz_observed,0.016581084617440997,0.057639377423101275,0.5416666666666666
ipc,0.01618408533353892,0.06270741431740033,0.4583333333333333
cache_misses_per_cycle,0.011986724014105958,0.02747677885120829,0.5
stalls_mem_per_cache_miss,0.003651547223041155,0.0241515238179256,0.5
log1p_mpki,0.00016666666666666682,0.0008164965809277266,0.041666666666666664
stalls_mem_per_ki,-0.0014141769469716177,0.01870094850940174,0.375
stall_mem_ratio,-0.0017981724661092213,0.046490676172780465,0.4583333333333333
ips,-0.0074359429732726605,0.04582678785844363,0.5416666666666666
cache_references_per_cycle,-0.011429478435267216,0.07828825619809297,0.5416666666666666
