run,kernel_ref,level,rep,elapsed_ns,pkg_uj,dram_uj,n_compute,n_memory,freq_applied,accepted,cmd_args
pacca_cpu_final_20260913__cpu_cholmod__F0__rep01,cpu_cholmod,F0,1,58043400000.0,5994354100,515675974,11040,32523,3200000,True,
pacca_cpu_final_20260913__cpu_cholmod__F0__rep02,cpu_cholmod,F0,2,57961500000.0,5987083977,515418368,11044,32734,3200000,True,
pacca_cpu_final_20260913__cpu_cholmod__F0__rep03,cpu_cholmod,F0,3,57992000000.0,5998201258,515083328,11111,32697,3200000,True,
pacca_cpu_final_20260913__cpu_cholmod__F1__rep01,cpu_cholmod,F1,1,60946700000.0,6042458775,535045698,12293,34090,2900000,True,
pacca_cpu_final_20260913__cpu_cholmod__F1__rep02,cpu_cholmod,F1,2,61102800000.0,6075059216,539415959,12408,34188,2900000,True,
pacca_cpu_final_20260913__cpu_cholmod__F1__rep03,cpu_cholmod,F1,3,60983300000.0,6048391254,531770227,12278,33990,2900000,True,
pacca_cpu_final_20260913__cpu_cholmod__F2__rep01,cpu_cholmod,F2,1,64692600000.0,6178742239,559923191,14602,34573,2600000,True,
pacca_cpu_final_20260913__cpu_cholmod__F2__rep02,cpu_cholmod,F2,2,64698700000.0,6176375057,556233978,14472,34520,2600000,True,
pacca_cpu_final_20260913__cpu_cholmod__F2__rep03,cpu_cholmod,F2,3,64766000000.0,6216278825,556913620,14394,34712,2600000,True,
pacca_cpu_final_20260913__cpu_cholmod__F3__rep01,cpu_cholmod,F3,1,69547100000.0,6451124721,587392260,16689,35775,2300000,True,
pacca_cpu_final_20260913__cpu_cholmod__F3__rep02,cpu_cholmod,F3,2,69540200000.0,6445106913,594974619,16734,36033,2300000,True,
pacca_cpu_final_20260913__cpu_cholmod__F3__rep03,cpu_cholmod,F3,3,69512600000.0,6445259989,589905408,16440,35899,2300000,True,
pacca_cpu_final_20260913__cpu_cholmod__F4__rep01,cpu_cholmod,F4,1,76182500000.0,6863867866,627816895,19637,41450,2000000,True,
pacca_cpu_final_20260913__cpu_cholmod__F4__rep02,cpu_cholmod,F4,2,75959700000.0,6849039107,627326821,19744,38720,2000000,True,
pacca_cpu_final_20260913__cpu_cholmod__F4__rep03,cpu_cholmod,F4,3,76002700000.0,6850288677,628947657,19500,38895,2000000,True,
pacca_cpu_final_20260913__cpu_cholmod__F5__rep01,cpu_cholmod,F5,1,84999500000.0,7462875243,687175510,23262,50700,1700000,True,
pacca_cpu_final_20260913__cpu_cholmod__F5__rep02,cpu_cholmod,F5,2,84968100000.0,7456939223,685163926,23307,51352,1700000,True,
pacca_cpu_final_20260913__cpu_cholmod__F5__rep03,cpu_cholmod,F5,3,85236100000.0,7485926454,683817832,23348,51406,1700000,True,
pacca_cpu_final_20260913__cpu_cholmod__F6__rep01,cpu_cholmod,F6,1,98224100000.0,8411153821,766720699,29492,60503,1400000,True,
pacca_cpu_final_20260913__cpu_cholmod__F6__rep02,cpu_cholmod,F6,2,98169400000.0,8408370198,765891638,29183,58961,1400000,True,
pacca_cpu_final_20260913__cpu_cholmod__F6__rep03,cpu_cholmod,F6,3,98190800000.0,8435588024,769627914,29268,56623,1400000,True,
pacca_cpu_final_20260913__cpu_cholmod__F7__rep01,cpu_cholmod,F7,1,119251000000.0,9970277454,897621930,38491,68635,1100000,True,
pacca_cpu_final_20260913__cpu_cholmod__F7__rep02,cpu_cholmod,F7,2,119159000000.0,9969323295,897691851,38338,68462,1100000,True,
pacca_cpu_final_20260913__cpu_cholmod__F7__rep03,cpu_cholmod,F7,3,119010000000.0,9948656599,899886100,38540,66642,1100000,True,
pacca_cpu_final_20260913__cpu_cholmod__F8__rep01,cpu_cholmod,F8,1,157500000000.0,12854691030,1138108294,52993,103542,800000,True,
pacca_cpu_final_20260913__cpu_cholmod__F8__rep02,cpu_cholmod,F8,2,157595000000.0,12881272321,1139972767,53038,103592,800000,True,
pacca_cpu_final_20260913__cpu_cholmod__F8__rep03,cpu_cholmod,F8,3,157701000000.0,12860449988,1133973852,53252,103458,800000,True,
