run,kernel_ref,level,rep,elapsed_ns,pkg_uj,dram_uj,n_compute,n_memory,freq_applied,accepted,cmd_args
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F0__rep01,cpu_rajaperf_apps_edge3d,F0,1,8087200000.0,864964338,46922621,7466,0,3200000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F0__rep02,cpu_rajaperf_apps_edge3d,F0,2,8090980000.0,862604603,46651260,7465,0,3200000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F0__rep03,cpu_rajaperf_apps_edge3d,F0,3,8092610000.0,858577087,47082461,7480,0,3200000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F1__rep01,cpu_rajaperf_apps_edge3d,F1,1,8900580000.0,888630781,51867383,8275,0,2900000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F1__rep02,cpu_rajaperf_apps_edge3d,F1,2,8884260000.0,893346407,51424983,8272,0,2900000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F1__rep03,cpu_rajaperf_apps_edge3d,F1,3,8888480000.0,893034823,52005480,8277,0,2900000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F2__rep01,cpu_rajaperf_apps_edge3d,F2,1,9890140000.0,948015273,57816986,9279,0,2600000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F2__rep02,cpu_rajaperf_apps_edge3d,F2,2,9897400000.0,947453812,57918762,9282,0,2600000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F2__rep03,cpu_rajaperf_apps_edge3d,F2,3,9895210000.0,947768387,57842185,9274,0,2600000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F3__rep01,cpu_rajaperf_apps_edge3d,F3,1,11158200000.0,1044251782,65728249,10538,0,2300000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F3__rep02,cpu_rajaperf_apps_edge3d,F3,2,11193600000.0,1047390141,65680513,10570,0,2300000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F3__rep03,cpu_rajaperf_apps_edge3d,F3,3,11157300000.0,1044358654,65226088,10537,0,2300000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F4__rep01,cpu_rajaperf_apps_edge3d,F4,1,12796400000.0,1141420357,74947081,12180,0,2000000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F4__rep02,cpu_rajaperf_apps_edge3d,F4,2,12801400000.0,1140380992,75470968,12187,0,2000000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F4__rep03,cpu_rajaperf_apps_edge3d,F4,3,12821500000.0,1140501291,75407947,12196,0,2000000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F5__rep01,cpu_rajaperf_apps_edge3d,F5,1,15044600000.0,1303586567,89025941,14423,0,1700000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F5__rep02,cpu_rajaperf_apps_edge3d,F5,2,15040800000.0,1302550254,89120006,14423,0,1700000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F5__rep03,cpu_rajaperf_apps_edge3d,F5,3,15118700000.0,1300183500,89009035,14482,0,1700000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F6__rep01,cpu_rajaperf_apps_edge3d,F6,1,18429100000.0,1552136407,108974602,17806,0,1400000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F6__rep02,cpu_rajaperf_apps_edge3d,F6,2,18268000000.0,1542485126,108237066,17647,0,1400000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F6__rep03,cpu_rajaperf_apps_edge3d,F6,3,18271400000.0,1517075279,108099121,17641,0,1400000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F7__rep01,cpu_rajaperf_apps_edge3d,F7,1,23370400000.0,1914857525,139021492,22754,0,1100000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F7__rep02,cpu_rajaperf_apps_edge3d,F7,2,23323600000.0,1912223865,137340680,22714,0,1100000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F7__rep03,cpu_rajaperf_apps_edge3d,F7,3,23312700000.0,1914158552,137562422,22677,0,1100000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F8__rep01,cpu_rajaperf_apps_edge3d,F8,1,32305400000.0,2584180762,192609359,31663,26,800000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F8__rep02,cpu_rajaperf_apps_edge3d,F8,2,32299200000.0,2588424038,191845659,31643,25,800000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__F8__rep03,cpu_rajaperf_apps_edge3d,F8,3,32281800000.0,2586619233,192992716,31645,26,800000,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__REF__rep01,cpu_rajaperf_apps_edge3d,REF,1,8074790000.0,859599056,46750619,7650,34,,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__REF__rep02,cpu_rajaperf_apps_edge3d,REF,2,8093500000.0,864184067,47174046,7678,32,,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_edge3d__REF__rep03,cpu_rajaperf_apps_edge3d,REF,3,8084790000.0,866800576,46941456,7649,35,,True,--repfact 2
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_fir__F0__rep01,cpu_rajaperf_apps_fir,F0,1,4708940000.0,488254182,27331644,4087,0,3200000,True,--repfact 25
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_fir__F0__rep02,cpu_rajaperf_apps_fir,F0,2,4714330000.0,487966890,27518167,4093,0,3200000,True,--repfact 25
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_fir__F0__rep03,cpu_rajaperf_apps_fir,F0,3,4710580000.0,488361970,27639358,4089,0,3200000,True,--repfact 25
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_fir__F1__rep01,cpu_rajaperf_apps_fir,F1,1,5154770000.0,503260919,30588112,4539,0,2900000,True,--repfact 25
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_fir__F1__rep02,cpu_rajaperf_apps_fir,F1,2,5148010000.0,502135250,30147503,4535,0,2900000,True,--repfact 25
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_fir__F1__rep03,cpu_rajaperf_apps_fir,F1,3,5168600000.0,503416069,29937235,4543,0,2900000,True,--repfact 25
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_fir__F2__rep01,cpu_rajaperf_apps_fir,F2,1,5706620000.0,534942722,33270477,5094,0,2600000,True,--repfact 25
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_fir__F2__rep02,cpu_rajaperf_apps_fir,F2,2,5714260000.0,537567105,35074975,5103,0,2600000,True,--repfact 25
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_fir__F2__rep03,cpu_rajaperf_apps_fir,F2,3,5710920000.0,535725985,34319567,5099,0,2600000,True,--repfact 25
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_fir__F3__rep01,cpu_rajaperf_apps_fir,F3,1,6415120000.0,587544394,37756957,5803,0,2300000,True,--repfact 25
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_fir__F3__rep02,cpu_rajaperf_apps_fir,F3,2,6437070000.0,588021993,37500025,5807,0,2300000,True,--repfact 25
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_fir__F3__rep03,cpu_rajaperf_apps_fir,F3,3,6435620000.0,589926712,38316708,5819,0,2300000,True,--repfact 25
pacca_cpu_compute_sweep_20260919__cpu_rajaperf_apps_fir__F4__rep01,cpu_rajaperf_apps_fir,F4,1,7350150000.0,651210613,43169945,6728,0,2000000,True,--repfact 25
