family,chosen,inner_xgb_d2_n50,inner_xgb_d3_n100,inner_xgb_d4_n100,inner_xgb_d6_n100
cpu_cholmod,xgb_d2_n50,0.7116,0.7064,0.7081,0.7061
cpu_hpcg,xgb_d2_n50,0.7235,0.7202,0.7198,0.7041
cpu_lulesh,xgb_d2_n50,0.7214,0.7104,0.716,0.6955
dgemm,xgb_d4_n100,0.6858,0.7034,0.7092,0.6923
dual_axpy,xgb_d4_n100,0.7047,0.7037,0.7052,0.6982
dual_cholesky,xgb_d4_n100,0.6771,0.693,0.7097,0.6969
dual_fft,xgb_d2_n50,0.6916,0.6879,0.6767,0.6701
dual_gemm,xgb_d6_n100,0.6745,0.6769,0.6793,0.6962
dual_spmv,xgb_d2_n50,0.7138,0.6951,0.6804,0.6852
dual_stencil,xgb_d2_n50,0.6974,0.6778,0.6858,0.6785
gap_pr,xgb_d4_n100,0.7056,0.7226,0.7254,0.7001
hpccg_cpu_N46,xgb_d6_n100,0.7138,0.6832,0.6956,0.7163
npb_bt,xgb_d2_n50,0.7158,0.7058,0.6938,0.6864
npb_cg,xgb_d2_n50,0.7092,0.6924,0.702,0.7039
npb_ft,xgb_d6_n100,0.7019,0.7094,0.7029,0.7136
npb_lu,xgb_d2_n50,0.7091,0.6751,0.6927,0.6978
npb_mg,xgb_d4_n100,0.7002,0.6984,0.7079,0.7056
npb_sp,xgb_d2_n50,0.7077,0.6963,0.6866,0.6813
phasic,xgb_d3_n100,0.7146,0.7285,0.7193,0.7255
rajaperf_basic,xgb_d2_n50,0.7408,0.7241,0.7147,0.7203
rajaperf_lcals,xgb_d2_n50,0.7046,0.6931,0.7015,0.6975
rajaperf_polybench,xgb_d4_n100,0.6879,0.6974,0.7006,0.6842
rajaperf_stream,xgb_d6_n100,0.7024,0.6982,0.6888,0.7052
rodinia_lavamd,xgb_d4_n100,0.7187,0.724,0.7283,0.7264
