window_k,family,memory_share,cell_balanced_acc
1,cpu_cholmod,0.667,0.7784
1,cpu_hpcg,1.0,0.4852
1,cpu_lulesh,1.0,0.4288
1,dgemm,0.0,1.0
1,dual_axpy,0.591,0.8125
1,dual_cholesky,0.349,0.9144
1,dual_fft,0.574,0.9411
1,dual_gemm,0.002,0.8887
1,dual_spmv,0.431,0.9613
1,dual_stencil,0.447,0.9248
1,gap_pr,1.0,0.446
1,hpccg_cpu_N46,0.178,0.767
1,npb_bt,0.37,0.6244
1,npb_cg,1.0,0.9669
1,npb_ft,0.963,0.5804
1,npb_lu,0.7,0.461
1,npb_mg,1.0,0.5883
1,npb_sp,0.994,0.7813
1,phasic,0.324,0.5183
1,rajaperf_basic,0.98,0.532
1,rajaperf_lcals,0.992,0.6671
1,rajaperf_polybench,0.175,0.8323
1,rajaperf_stream,0.99,0.7174
1,rodinia_lavamd,0.0,0.4566
10,cpu_cholmod,0.667,0.7353
10,cpu_hpcg,1.0,0.4935
10,cpu_lulesh,1.0,0.4999
10,dgemm,0.0,1.0
10,dual_axpy,0.591,0.804
10,dual_cholesky,0.349,0.8422
10,dual_fft,0.574,0.9533
10,dual_gemm,0.002,0.6665
10,dual_spmv,0.431,0.968
10,dual_stencil,0.447,0.917
10,gap_pr,1.0,0.4312
10,hpccg_cpu_N46,0.178,0.7579
10,npb_bt,0.37,0.6394
10,npb_cg,1.0,0.9912
10,npb_ft,0.963,0.4971
10,npb_lu,0.7,0.5
10,npb_mg,1.0,0.5574
10,npb_sp,0.994,0.7675
10,phasic,0.324,0.5
10,rajaperf_basic,0.98,0.4998
10,rajaperf_lcals,0.992,0.6647
10,rajaperf_polybench,0.175,0.8303
10,rajaperf_stream,0.99,0.7154
10,rodinia_lavamd,0.0,0.4548
50,cpu_cholmod,0.667,0.7019
50,cpu_hpcg,1.0,0.4971
50,cpu_lulesh,1.0,0.5
50,dgemm,0.0,1.0
50,dual_axpy,0.591,0.8194
50,dual_cholesky,0.349,0.8418
50,dual_fft,0.574,0.9584
50,dual_gemm,0.002,0.6665
50,dual_spmv,0.431,0.9729
50,dual_stencil,0.447,0.9122
50,gap_pr,1.0,0.4297
50,hpccg_cpu_N46,0.178,0.7521
50,npb_bt,0.37,0.6243
50,npb_cg,1.0,0.9938
50,npb_ft,0.963,0.4519
50,npb_lu,0.7,0.5
50,npb_mg,1.0,0.5517
50,npb_sp,0.994,0.7831
50,phasic,0.324,0.5
50,rajaperf_basic,0.98,0.5002
50,rajaperf_lcals,0.992,0.6466
50,rajaperf_polybench,0.175,0.8337
50,rajaperf_stream,0.99,0.7068
50,rodinia_lavamd,0.0,0.455
