family,label,nearest_opposite_cell,dist_opposite,dist_same_label,confusable
gap_pr,memory,phasic:compute,0.371,0.779,True
phasic,compute,gap_pr:memory,0.371,0.92,True
rajaperf_lcals,memory,rajaperf_stream:compute,0.38,0.417,True
rajaperf_stream,compute,rajaperf_lcals:memory,0.38,0.277,False
npb_cg,memory,cpu_hpcg:compute,0.422,0.484,True
cpu_hpcg,compute,npb_cg:memory,0.422,1.307,True
rajaperf_polybench,memory,rajaperf_basic:compute,0.461,0.817,True
rajaperf_basic,compute,rajaperf_polybench:memory,0.461,0.347,False
dual_spmv,memory,cpu_hpcg:compute,0.466,0.484,True
npb_bt,compute,rodinia_lavamd:memory,0.673,0.591,False
rodinia_lavamd,memory,npb_bt:compute,0.673,0.679,True
rodinia_lavamd,compute,npb_bt:memory,0.677,0.669,False
npb_bt,memory,rodinia_lavamd:compute,0.677,0.679,True
cpu_lulesh,compute,npb_bt:memory,0.682,0.591,False
npb_sp,memory,cpu_hpcg:compute,0.713,0.507,False
rajaperf_lcals,compute,rajaperf_polybench:memory,0.724,0.277,False
cpu_lulesh,memory,npb_sp:compute,0.734,0.758,True
npb_sp,compute,cpu_lulesh:memory,0.734,0.876,True
npb_lu,compute,gap_pr:memory,0.798,0.92,True
npb_ft,memory,cpu_lulesh:compute,0.879,1.177,True
npb_lu,memory,phasic:compute,0.895,0.779,False
rajaperf_basic,memory,rajaperf_lcals:compute,0.932,0.497,False
cpu_cholmod,memory,rajaperf_basic:compute,0.937,0.497,False
npb_mg,memory,cpu_hpcg:compute,0.963,0.686,False
dual_fft,memory,rajaperf_basic:compute,0.967,0.817,False
rajaperf_stream,memory,rajaperf_lcals:compute,0.98,0.417,False
hpccg_cpu_N46,memory,rajaperf_polybench:compute,0.985,2.2,True
rajaperf_polybench,compute,hpccg_cpu_N46:memory,0.985,0.571,False
dual_gemm,compute,npb_mg:memory,0.995,0.005,False
dgemm,compute,npb_mg:memory,0.998,0.005,False
npb_ft,compute,npb_bt:memory,1.058,0.898,False
dual_axpy,memory,rajaperf_basic:compute,1.062,0.59,False
cpu_cholmod,compute,npb_lu:memory,1.123,1.078,False
dual_spmv,compute,hpccg_cpu_N46:memory,1.139,0.956,False
dual_gemm,memory,npb_lu:compute,1.162,0.79,False
dual_stencil,memory,cpu_cholmod:compute,1.328,0.782,False
cpu_hpcg,memory,rajaperf_basic:compute,1.366,0.722,False
dual_stencil,compute,hpccg_cpu_N46:memory,1.466,0.154,False
dual_cholesky,memory,cpu_cholmod:compute,1.519,0.782,False
dual_fft,compute,hpccg_cpu_N46:memory,1.542,0.416,False
dual_cholesky,compute,hpccg_cpu_N46:memory,1.614,0.154,False
dual_axpy,compute,dual_cholesky:memory,1.777,0.715,False
hpccg_cpu_N46,compute,rodinia_lavamd:memory,2.356,0.956,False
phasic,memory,rajaperf_stream:compute,2.873,2.192,False
