family,kernel_ref,freq_level_id,n_compute_bound,n_memory_bound,n_rows_usable,memory_fraction
cpu_cholmod,cpu_cholmod,F0,2717,7150,9867,0.7246376811594203
cpu_cholmod,cpu_cholmod,F1,3009,7471,10480,0.712881679389313
cpu_cholmod,cpu_cholmod,F2,3508,7613,11121,0.6845607409405629
cpu_cholmod,cpu_cholmod,F3,4040,7871,11911,0.6608177315086895
cpu_cholmod,cpu_cholmod,F4,4770,8528,13298,0.6412994435253422
cpu_cholmod,cpu_cholmod,F5,5645,10635,16280,0.6532555282555282
cpu_cholmod,cpu_cholmod,F6,7069,12256,19325,0.6342043984476067
cpu_cholmod,cpu_cholmod,F7,9214,14500,23714,0.6114531500379523
cpu_cholmod,cpu_cholmod,F8,12636,24148,36784,0.6564810787298826
cpu_cholmod,cpu_cholmod,REF,2715,10819,13534,0.7993941185163292
cpu_hpcg,cpu_hpcg,F0,0,1110,1110,1.0
cpu_hpcg,cpu_hpcg,F1,0,1186,1186,1.0
cpu_hpcg,cpu_hpcg,F2,0,1335,1335,1.0
cpu_hpcg,cpu_hpcg,F3,0,1495,1495,1.0
cpu_hpcg,cpu_hpcg,F4,0,1932,1932,1.0
cpu_hpcg,cpu_hpcg,F5,1,2492,2493,0.9995988768551946
cpu_hpcg,cpu_hpcg,F6,1,4288,4289,0.9997668454185125
cpu_hpcg,cpu_hpcg,F7,5,5077,5082,0.9990161353797717
cpu_hpcg,cpu_hpcg,F8,8,9117,9125,0.9991232876712329
cpu_hpcg,cpu_hpcg,REF,0,4198,4198,1.0
cpu_lulesh,cpu_lulesh,F0,0,20903,20903,1.0
cpu_lulesh,cpu_lulesh,F1,0,21919,21919,1.0
cpu_lulesh,cpu_lulesh,F2,0,23129,23129,1.0
cpu_lulesh,cpu_lulesh,F3,0,24806,24806,1.0
cpu_lulesh,cpu_lulesh,F4,0,26975,26975,1.0
cpu_lulesh,cpu_lulesh,F5,0,30010,30010,1.0
cpu_lulesh,cpu_lulesh,F6,1,34876,34877,0.9999713278091579
cpu_lulesh,cpu_lulesh,F7,0,42249,42249,1.0
cpu_lulesh,cpu_lulesh,F8,4,56309,56313,0.9999289684442314
cpu_lulesh,cpu_lulesh,REF,0,20959,20959,1.0
dgemm,dgemm_n2048,F0,564,0,564,0.0
dgemm,dgemm_n2048,F1,607,0,607,0.0
dgemm,dgemm_n2048,F2,694,0,694,0.0
dgemm,dgemm_n2048,F3,792,0,792,0.0
dgemm,dgemm_n2048,F4,925,0,925,0.0
dgemm,dgemm_n2048,F5,1112,0,1112,0.0
dgemm,dgemm_n2048,F6,1374,0,1374,0.0
dgemm,dgemm_n2048,F7,1781,0,1781,0.0
dgemm,dgemm_n2048,F8,2523,0,2523,0.0
dgemm,dgemm_n2048,REF,566,0,566,0.0
dual_axpy,dual_axpy_cpu_N100000,F0,283,1,284,0.0035211267605633804
dual_axpy,dual_axpy_cpu_N100000,F1,299,2,301,0.006644518272425249
dual_axpy,dual_axpy_cpu_N100000,F2,368,0,368,0.0
dual_axpy,dual_axpy_cpu_N100000,F3,386,0,386,0.0
dual_axpy,dual_axpy_cpu_N100000,F4,445,1,446,0.002242152466367713
dual_axpy,dual_axpy_cpu_N100000,F5,517,2,519,0.0038535645472061657
dual_axpy,dual_axpy_cpu_N100000,F6,639,3,642,0.004672897196261682
dual_axpy,dual_axpy_cpu_N100000,F7,815,4,819,0.004884004884004884
dual_axpy,dual_axpy_cpu_N100000,F8,1156,6,1162,0.0051635111876075735
dual_axpy,dual_axpy_cpu_N100000,REF,311,2,313,0.006389776357827476
dual_axpy,dual_axpy_cpu_N10000000,F0,0,306,306,1.0
dual_axpy,dual_axpy_cpu_N10000000,F1,0,316,316,1.0
dual_axpy,dual_axpy_cpu_N10000000,F2,0,326,326,1.0
dual_axpy,dual_axpy_cpu_N10000000,F3,0,338,338,1.0
dual_axpy,dual_axpy_cpu_N10000000,F4,0,354,354,1.0
dual_axpy,dual_axpy_cpu_N10000000,F5,0,370,370,1.0
dual_axpy,dual_axpy_cpu_N10000000,F6,0,415,415,1.0
dual_axpy,dual_axpy_cpu_N10000000,F7,0,467,467,1.0
dual_axpy,dual_axpy_cpu_N10000000,F8,0,612,612,1.0
dual_axpy,dual_axpy_cpu_N10000000,REF,0,355,355,1.0
dual_axpy,dual_axpy_cpu_N3162278,F0,0,284,284,1.0
dual_axpy,dual_axpy_cpu_N3162278,F1,0,293,293,1.0
dual_axpy,dual_axpy_cpu_N3162278,F2,0,306,306,1.0
dual_axpy,dual_axpy_cpu_N3162278,F3,0,315,315,1.0
dual_axpy,dual_axpy_cpu_N3162278,F4,0,333,333,1.0
dual_axpy,dual_axpy_cpu_N3162278,F5,0,360,360,1.0
dual_axpy,dual_axpy_cpu_N3162278,F6,0,395,395,1.0
dual_axpy,dual_axpy_cpu_N3162278,F7,0,471,471,1.0
dual_axpy,dual_axpy_cpu_N3162278,F8,0,586,586,1.0
dual_axpy,dual_axpy_cpu_N3162278,REF,0,331,331,1.0
dual_cholesky,dual_cholesky_cpu_N1024,F0,0,300,300,1.0
dual_cholesky,dual_cholesky_cpu_N1024,F1,2,324,326,0.9938650306748467
dual_cholesky,dual_cholesky_cpu_N1024,F2,3,339,342,0.9912280701754386
dual_cholesky,dual_cholesky_cpu_N1024,F3,85,318,403,0.7890818858560794
dual_cholesky,dual_cholesky_cpu_N1024,F4,195,240,435,0.5517241379310345
dual_cholesky,dual_cholesky_cpu_N1024,F5,239,250,489,0.5112474437627812
dual_cholesky,dual_cholesky_cpu_N1024,F6,322,262,584,0.4486301369863014
dual_cholesky,dual_cholesky_cpu_N1024,F7,369,344,713,0.48246844319775595
dual_cholesky,dual_cholesky_cpu_N1024,F8,660,375,1035,0.36231884057971014
dual_cholesky,dual_cholesky_cpu_N1024,REF,0,346,346,1.0
dual_cholesky,dual_cholesky_cpu_N2048,F0,33,71,104,0.6826923076923077
dual_cholesky,dual_cholesky_cpu_N2048,F1,34,81,115,0.7043478260869566
dual_cholesky,dual_cholesky_cpu_N2048,F2,26,85,111,0.7657657657657657
dual_cholesky,dual_cholesky_cpu_N2048,F3,64,81,145,0.5586206896551724
dual_cholesky,dual_cholesky_cpu_N2048,F4,82,135,217,0.6221198156682027
dual_cholesky,dual_cholesky_cpu_N2048,F5,118,173,291,0.5945017182130584
dual_cholesky,dual_cholesky_cpu_N2048,F6,152,266,418,0.6363636363636364
dual_cholesky,dual_cholesky_cpu_N2048,F7,187,291,478,0.608786610878661
