,ipc,mpki,cache_miss_rate,stall_mem_ratio,ips,freq_khz_observed,cache_references_per_ki,cache_references_per_cycle,cache_misses_per_cycle,stalls_mem_per_ki,stalls_mem_per_cache_miss,log1p_mpki
ipc,1.0,-0.4864841451756599,-0.05074097063886691,-0.7177746833490872,0.7060948531873927,-0.17475691320251813,-0.6219496666425208,-0.07099642968721519,-0.12632549576011323,-0.2836428467367877,-0.13732106246617384,-0.47304640767812317
mpki,-0.4864841451756599,1.0,0.4210800383321262,0.7392918363904496,-0.3841364314909619,0.06583471168528877,0.892793982894868,0.15665016010828364,0.3314258077185726,0.7575638584229574,-0.08151702342065,0.7488550477261428
cache_miss_rate,-0.05074097063886691,0.4210800383321262,1.0,0.2872516863647948,-0.09022522996434468,0.017155266369434773,0.20217023629879244,0.1058910285188875,0.5461357525467728,0.160066993628615,-0.23858693165274145,0.6842392626960501
stall_mem_ratio,-0.7177746833490872,0.7392918363904496,0.2872516863647948,1.0,-0.4669553275183186,0.24976619876183664,0.7924454651262061,0.1940391877617471,0.2643368221346503,0.582577395513304,0.04431895128109925,0.6694027085712274
ips,0.7060948531873927,-0.3841364314909619,-0.09022522996434468,-0.4669553275183186,1.0,0.44624077524005046,-0.4804036367639205,-0.16560347294887717,-0.22940257098331607,-0.20972565138971042,-0.09793683011447989,-0.4100449734400304
freq_khz_observed,-0.17475691320251813,0.06583471168528877,0.017155266369434773,0.24976619876183664,0.44624077524005046,1.0,0.0569102250205781,-0.15995872406114708,-0.1473181570024898,0.11530606467749652,-0.0007954437519159963,0.06431978677863241
cache_references_per_ki,-0.6219496666425208,0.892793982894868,0.20217023629879244,0.7924454651262061,-0.4804036367639205,0.0569102250205781,1.0,0.20118284510080792,0.23026682565410345,0.7126455935450252,0.011189290004355073,0.6243366682024037
cache_references_per_cycle,-0.07099642968721519,0.15665016010828364,0.1058910285188875,0.1940391877617471,-0.16560347294887717,-0.15995872406114708,0.20118284510080792,1.0,0.7606675924747167,-0.12927813762216947,0.029284492526227366,0.43484088736944465
cache_misses_per_cycle,-0.12632549576011323,0.3314258077185726,0.5461357525467728,0.2643368221346503,-0.22940257098331607,-0.1473181570024898,0.23026682565410345,0.7606675924747167,1.0,-0.0729275185823239,-0.12034947655527548,0.7094376903057568
stalls_mem_per_ki,-0.2836428467367877,0.7575638584229574,0.160066993628615,0.582577395513304,-0.20972565138971042,0.11530606467749652,0.7126455935450252,-0.12927813762216947,-0.0729275185823239,1.0,-0.024919206043504023,0.35768355908160326
stalls_mem_per_cache_miss,-0.13732106246617384,-0.08151702342065,-0.23858693165274145,0.04431895128109925,-0.09793683011447989,-0.0007954437519159963,0.011189290004355073,0.029284492526227366,-0.12034947655527548,-0.024919206043504023,1.0,-0.1809314650864221
log1p_mpki,-0.47304640767812317,0.7488550477261428,0.6842392626960501,0.6694027085712274,-0.4100449734400304,0.06431978677863241,0.6243366682024037,0.43484088736944465,0.7094376903057568,0.35768355908160326,-0.1809314650864221,1.0
