a,b,pearson,spearman,max_abs,above_threshold
ipc,stall_mem_ratio,-0.7368812307380818,-0.7410987938975608,0.7410987938975608,False
ipc,ips,0.6707518192000668,0.7243221234768338,0.7243221234768338,False
mpki,stall_mem_ratio,-0.0028140078066932602,0.6169395241678912,0.6169395241678912,False
mpki,cache_miss_rate,0.0033846529134108215,0.5593524128504503,0.5593524128504503,False
stall_mem_ratio,ips,-0.4738603792781853,-0.503529672349647,0.503529672349647,False
ips,freq_khz_observed,0.4641064467504976,0.4198820625449143,0.4641064467504976,False
ipc,mpki,-0.009756651400915327,-0.41359881782896873,0.41359881782896873,False
mpki,ips,-0.007374381665735016,-0.3980819978504154,0.3980819978504154,False
stall_mem_ratio,freq_khz_observed,0.23183828301822665,0.22480977669174468,0.23183828301822665,False
ipc,freq_khz_observed,-0.1857725569478699,-0.18267691281788753,0.1857725569478699,False
cache_miss_rate,stall_mem_ratio,0.17623316012395912,0.11409550198905338,0.17623316012395912,False
ipc,cache_miss_rate,0.08459266878731939,0.1100247456460467,0.1100247456460467,False
mpki,freq_khz_observed,0.0002197853973115462,0.0702037339502753,0.0702037339502753,False
cache_miss_rate,freq_khz_observed,0.028669951107859484,0.017120382227911995,0.028669951107859484,False
cache_miss_rate,ips,0.005583934677841795,-0.006484127495257243,0.006484127495257243,False
