kernel_ref,compute_bound,memory_bound
cpu_cholmod,55323,110991
cpu_gap_pr,0,23542
cpu_hpcg,15,32230
cpu_lulesh,5,302135
cpu_rajaperf_apps_edge3d,32750,11
cpu_rajaperf_apps_fir,18102,22
cpu_rajaperf_apps_mass3dpa,21108,6
cpu_rajaperf_basic_daxpy,95,1882
cpu_rajaperf_basic_init3,23,3992
cpu_rajaperf_basic_mat_mat_shared,24891,25
cpu_rajaperf_basic_pi_reduce,16551,8
cpu_rajaperf_basic_trap_int,18116,9
cpu_rajaperf_lcals_first_sum,61,10792
cpu_rajaperf_lcals_tridiag_elim,48,1954
cpu_rajaperf_polybench_fdtd_2d,12,495
cpu_rajaperf_polybench_jacobi_1d,109,8095
cpu_rajaperf_stream_add,43,4225
cpu_rajaperf_stream_mul,67,9594
cpu_rajaperf_stream_triad,65,4230
dgemm_n2048,10938,0
dual_axpy_cpu_N100000,5219,21
dual_axpy_cpu_N10000000,0,3859
dual_axpy_cpu_N3162278,0,3674
dual_cholesky_cpu_N1024,1875,3098
dual_cholesky_cpu_N2048,1103,1976
dual_cholesky_cpu_N256,6491,0
dual_fft_cpu_N1024,0,3836
dual_fft_cpu_N128,4926,0
dual_fft_cpu_N4096,0,5115
dual_fft_cpu_N472,2314,806
dual_gemm_cpu_N2048,5981,9
dual_spmv_cpu_N100000,4040,0
dual_spmv_cpu_N1000000,0,3060
dual_stencil_cpu_N1024,0,3967
dual_stencil_cpu_N1536,0,3839
dual_stencil_cpu_N256,5265,2
dual_stencil_cpu_N512,4629,197
hpccg_cpu_N46,8767,1899
npb_bt,68397,40208
npb_cg,0,25770
npb_ft,582,15097
npb_lu,21194,49563
npb_mg,0,1778
npb_sp,346,55927
phasic_p010,45331,51
phasic_p100,24203,20205
phasic_p1000,19602,22531
rajaperf_polybench_3mm_omp,53277,2732
rodinia_lavamd_omp,31644,15
