freq_level,n,share_memory,cell_balanced_acc,recall_compute,recall_memory,pooled_f1_macro,pooled_accuracy,mean_family_accuracy
F0,85447,0.6851,0.7772,0.6436,0.9402,0.8097,0.8468,0.8728
F1,90079,0.6815,0.7683,0.6488,0.9493,0.8183,0.8535,0.8504
F2,96045,0.6636,0.7528,0.6345,0.9325,0.7993,0.8323,0.844
F3,103404,0.6407,0.7296,0.6449,0.8868,0.7744,0.7999,0.8327
F4,114253,0.5882,0.7512,0.6798,0.7948,0.7382,0.7474,0.8234
F5,129985,0.5803,0.7015,0.6703,0.7655,0.7181,0.7256,0.7707
F6,153276,0.5637,0.692,0.6672,0.7283,0.6973,0.7016,0.7454
F7,186309,0.5373,0.6571,0.6217,0.7682,0.6957,0.7004,0.6932
F8,256531,0.5355,0.6591,0.764,0.717,0.7386,0.7388,0.7366
REF,94426,0.71,0.823,0.6484,0.951,0.8207,0.8632,0.8818
