conf_bin,n,mean_conf,accuracy
"(0.499, 0.55]",41858,0.5222207,0.4708299488747671
"(0.55, 0.6]",40625,0.57568604,0.49769846153846153
"(0.6, 0.65]",40716,0.6288489,0.5833578937027213
"(0.65, 0.7]",41511,0.6741993,0.5840379658403797
"(0.7, 0.75]",51671,0.726351,0.541657796442879
"(0.75, 0.8]",50337,0.77502906,0.6343047857440849
"(0.8, 0.85]",67622,0.82544816,0.6857975215166662
"(0.85, 0.9]",83529,0.8759269,0.6811167378994122
"(0.9, 0.95]",134265,0.92831004,0.7748780396976129
"(0.95, 1.0]",744847,0.99019444,0.8930773702518773
