family,n_full,memory_share,recall_compute,recall_memory,accuracy
cpu_cholmod,166314,0.6674,0.5922,0.9192,0.8104
cpu_hpcg,32245,0.9995,0.0267,0.9662,0.9658
cpu_lulesh,302140,1.0,0.0,0.9121,0.9121
dgemm,10938,0.0,1.0,,1.0
dual_axpy,12773,0.5914,0.3311,0.9993,0.7263
dual_cholesky,14543,0.3489,0.9192,0.9534,0.9311
dual_fft,16997,0.574,0.9111,0.9919,0.9575
dual_gemm,5990,0.0015,0.9997,0.7778,0.9993
dual_spmv,7100,0.431,1.0,0.9771,0.9901
dual_stencil,17899,0.4472,0.9899,0.9889,0.9895
gap_pr,23542,1.0,,0.6243,0.6243
hpccg_cpu_N46,10666,0.178,0.9997,0.1234,0.8437
npb_bt,108605,0.3702,0.3681,0.7656,0.5152
npb_cg,25770,1.0,,0.964,0.964
npb_ft,15679,0.9629,0.8333,0.2581,0.2794
npb_lu,70757,0.7005,0.3975,0.797,0.6773
npb_mg,1778,1.0,,0.5513,0.5513
npb_sp,56273,0.9939,0.9699,0.5799,0.5823
phasic,131923,0.3243,0.4337,1.0,0.6174
rajaperf_apps_edge3d,32761,0.0003,0.5999,0.5818,0.5999
rajaperf_apps_fir,18124,0.0012,0.9843,0.8182,0.9841
rajaperf_apps_mass3dpa,21114,0.0003,0.9809,1.0,0.9809
rajaperf_basic,5992,0.9803,0.1966,0.8379,0.8253
rajaperf_basic_mat_mat_shared,24916,0.001,0.9907,0.216,0.9899
rajaperf_basic_pi_reduce,16559,0.0005,0.9931,0.625,0.9929
rajaperf_basic_trap_int,18125,0.0005,0.9997,0.5556,0.9995
rajaperf_lcals,12855,0.9915,0.7266,0.5343,0.5359
rajaperf_polybench,64720,0.1749,0.9896,0.7583,0.9491
rajaperf_stream,18224,0.9904,0.688,0.7383,0.7378
rodinia_lavamd,31659,0.0005,0.9938,0.0,0.9934
