margin_bin,n,accuracy,share_memory,mean_conf,share_of_all
"(-inf, -3.0]",585122,0.8496672488814299,1.0,0.9082657,0.4511415356123181
"(-3.0, -2.0]",80085,0.7779983767247299,1.0,0.8374522,0.061747242249500955
"(-2.0, -1.0]",43910,0.7561375540879071,1.0,0.8577797,0.03385554607199334
"(-1.0, -0.5]",28976,0.7951408061844285,1.0,0.8760964,0.022341113709452954
"(-0.5, 0.0]",45380,0.8299250771264874,1.0,0.8335086,0.034988947409406924
"(0.0, 0.5]",42589,0.37969898330554835,0.0,0.7926616,0.03283702691095706
"(0.5, 1.0]",46168,0.3663143302720499,0.0,0.8008906,0.03559651220796604
"(1.0, 2.0]",79808,0.5101869486768243,0.0,0.89542997,0.061533669344423704
"(2.0, 3.0]",82110,0.7904640116916332,0.0,0.94868386,0.063308560418387
"(3.0, inf]",262833,0.8685324902124163,0.0,0.9400101,0.20264984606559386
