family,n,memory_share,accuracy,coverage,accuracy_auto
cpu_cholmod,166314.0,0.6674,0.8104,0.7977,0.8691
cpu_hpcg,32245.0,0.9995,0.9658,0.8942,0.9922
cpu_lulesh,302140.0,1.0,0.9121,0.737,0.9764
dgemm,10938.0,0.0,1.0,0.9999,1.0
dual_axpy,12773.0,0.5914,0.7263,0.8353,0.7846
dual_cholesky,14543.0,0.3489,0.9311,0.7957,0.9784
dual_fft,16997.0,0.574,0.9575,0.8512,0.994
dual_gemm,5990.0,0.0015,0.9993,0.9999,0.9994
dual_spmv,7100.0,0.431,0.9901,0.9081,1.0
dual_stencil,17899.0,0.4472,0.9895,0.9059,0.9973
gap_pr,23542.0,1.0,0.6243,0.6295,0.7136
hpccg_cpu_N46,10666.0,0.178,0.8437,0.8215,0.9098
npb_bt,108605.0,0.3702,0.5152,0.4113,0.5338
npb_cg,25770.0,1.0,0.964,0.8094,0.9959
npb_ft,15679.0,0.9629,0.2794,0.7843,0.2653
npb_lu,70757.0,0.7005,0.6773,0.3852,0.8319
npb_mg,1778.0,1.0,0.5513,0.5691,0.593
npb_sp,56273.0,0.9939,0.5823,0.5256,0.7495
phasic,131923.0,0.3243,0.6174,0.9056,0.6388
rajaperf_apps_edge3d,32761.0,0.0003,0.5999,0.4243,0.6657
rajaperf_apps_fir,18124.0,0.0012,0.9841,0.9515,0.9998
rajaperf_apps_mass3dpa,21114.0,0.0003,0.9809,0.8436,0.9999
rajaperf_basic,5992.0,0.9803,0.8253,0.6576,0.9531
rajaperf_basic_mat_mat_shared,24916.0,0.001,0.9899,0.6037,0.9986
rajaperf_basic_pi_reduce,16559.0,0.0005,0.9929,0.9774,0.9994
rajaperf_basic_trap_int,18125.0,0.0005,0.9995,0.9943,0.9997
rajaperf_lcals,12855.0,0.9915,0.5359,0.5499,0.7028
rajaperf_polybench,64720.0,0.1749,0.9491,0.9384,0.9587
rajaperf_stream,18224.0,0.9904,0.7378,0.5946,0.9342
rodinia_lavamd,31659.0,0.0005,0.9934,0.9622,0.9968
