freq,n,accuracy,coverage,share_memory,correct_auto,error_auto,abstained
F0,85343.0,0.8633,0.7882,0.6859,60017.2,7248.6,18077.2
F1,89926.0,0.8389,0.7658,0.6826,61008.2,7853.0,21064.8
F2,95825.0,0.8343,0.7341,0.6651,61896.4,8447.8,25480.8
F3,103128.0,0.8161,0.6989,0.6425,62917.8,9158.2,31052.0
F4,113974.0,0.771,0.6461,0.5896,64274.6,9364.0,40335.4
F5,129321.0,0.7714,0.6304,0.5833,70756.6,10772.4,47792.0
F6,152766.0,0.764,0.6481,0.5656,87173.8,11829.4,53762.8
F7,182126.0,0.7493,0.5975,0.5496,95988.2,12825.8,73312.0
F8,250196.0,0.7734,0.5866,0.5491,129834.8,16926.8,103434.4
REF,94376.0,0.872,0.7935,0.7104,67580.8,7309.8,19485.4
