family,n_high_conf,acc_high_conf,share_of_family
cpu_cholmod,123094,0.8986871821534762,0.7401301153240256
cpu_hpcg,28995,0.9972409036040697,0.8992091797177857
cpu_lulesh,186750,0.965483266398929,0.6180909512146687
dgemm,10914,1.0,0.997805814591333
dual_axpy,9022,0.9258479272888495,0.7063336725906209
dual_cholesky,9843,0.9885197602357005,0.6768204634532077
dual_fft,14089,0.9968769962382,0.8289109842913456
dual_gemm,5987,0.9996659428762318,0.9994991652754591
dual_spmv,6229,1.0,0.8773239436619719
dual_stencil,15126,0.9977522147296046,0.8450751438627856
gap_pr,12680,0.7659305993690851,0.5386118426641746
hpccg_cpu_N46,6777,0.996606167920909,0.6353834614663416
npb_bt,46705,0.4496092495450166,0.4300446572441416
npb_cg,16588,0.9949963829274174,0.6436942180830423
npb_ft,11140,0.2426391382405745,0.7105044964602334
npb_lu,24648,0.943524829600779,0.34834715999830407
npb_mg,960,0.521875,0.5399325084364455
npb_sp,20901,0.9090474139993302,0.3714214632239262
phasic,121319,0.6308492486749808,0.9196197782039524
rajaperf_apps_edge3d,10677,0.9929755549311604,0.3259058026311773
rajaperf_apps_fir,18109,0.9998343365177536,0.9991723681306555
rajaperf_apps_mass3dpa,14263,1.0,0.6755233494363929
rajaperf_basic,3939,0.9725818735719726,0.6573765020026703
rajaperf_basic_mat_mat_shared,20875,0.9991377245508982,0.8378150585968855
rajaperf_basic_pi_reduce,16414,0.9997563055927866,0.9912434325744308
rajaperf_basic_trap_int,18118,0.9997792250800309,0.9996137931034482
rajaperf_lcals,5156,0.8054693560899923,0.4010890704006223
rajaperf_polybench,59589,0.9585829599422713,0.9207200247218789
rajaperf_stream,10193,0.9533012851957225,0.5593173836698858
rodinia_lavamd,30012,0.9968345994935359,0.9479768786127167
