family,k,rep,cell_balanced_acc
cpu_cholmod,3,0,0.5035000000000001
cpu_cholmod,3,1,0.8
cpu_cholmod,3,2,0.47400000000000003
cpu_cholmod,6,0,0.4915
cpu_cholmod,6,1,0.575
cpu_cholmod,6,2,0.623
cpu_cholmod,9,0,0.4855
cpu_cholmod,9,1,0.7995
cpu_cholmod,9,2,0.5985
cpu_cholmod,12,0,0.611
cpu_cholmod,12,1,0.643
cpu_cholmod,12,2,0.631
cpu_cholmod,15,0,0.681
cpu_cholmod,15,1,0.5569999999999999
cpu_cholmod,15,2,0.7030000000000001
cpu_cholmod,18,0,0.7675000000000001
cpu_cholmod,18,1,0.6865
cpu_cholmod,18,2,0.6779999999999999
cpu_cholmod,21,0,0.667
cpu_cholmod,21,1,0.749
cpu_cholmod,21,2,0.7755
cpu_cholmod,23,0,0.7725
cpu_cholmod,23,1,0.6890000000000001
cpu_cholmod,23,2,0.7555000000000001
cpu_hpcg,3,0,0.5
cpu_hpcg,3,1,0.38083333333333336
cpu_hpcg,3,2,0.5586666666666666
cpu_hpcg,6,0,0.475
cpu_hpcg,6,1,0.4915
cpu_hpcg,6,2,0.42533333333333334
cpu_hpcg,9,0,0.427
cpu_hpcg,9,1,0.5
cpu_hpcg,9,2,0.4805
cpu_hpcg,12,0,0.5203333333333333
cpu_hpcg,12,1,0.5398333333333334
cpu_hpcg,12,2,0.5203333333333333
cpu_hpcg,15,0,0.475
cpu_hpcg,15,1,0.483
cpu_hpcg,15,2,0.48533333333333334
cpu_hpcg,18,0,0.5123333333333333
cpu_hpcg,18,1,0.4875
cpu_hpcg,18,2,0.5268333333333334
cpu_hpcg,21,0,0.489
cpu_hpcg,21,1,0.4735
cpu_hpcg,21,2,0.491
cpu_hpcg,23,0,0.4895
cpu_hpcg,23,1,0.488
cpu_hpcg,23,2,0.5168333333333334
cpu_lulesh,3,0,0.7205
cpu_lulesh,3,1,0.5
cpu_lulesh,3,2,0.5
cpu_lulesh,6,0,0.449
cpu_lulesh,6,1,0.4985
cpu_lulesh,6,2,0.5555
cpu_lulesh,9,0,0.8725
cpu_lulesh,9,1,0.4715
cpu_lulesh,9,2,0.497
cpu_lulesh,12,0,0.461
cpu_lulesh,12,1,0.8585
cpu_lulesh,12,2,0.518
cpu_lulesh,15,0,0.8135
cpu_lulesh,15,1,0.41
cpu_lulesh,15,2,0.7050000000000001
cpu_lulesh,18,0,0.776
cpu_lulesh,18,1,0.4765
cpu_lulesh,18,2,0.4915
cpu_lulesh,21,0,0.4735
cpu_lulesh,21,1,0.4875
cpu_lulesh,21,2,0.8115
cpu_lulesh,23,0,0.4415
cpu_lulesh,23,1,0.7344999999999999
cpu_lulesh,23,2,0.395
dgemm,3,0,0.998
dgemm,3,1,0.047
dgemm,3,2,0.0
dgemm,6,0,0.335
dgemm,6,1,0.236
dgemm,6,2,0.0
dgemm,9,0,1.0
dgemm,9,1,0.35
dgemm,9,2,1.0
dgemm,12,0,1.0
dgemm,12,1,0.244
dgemm,12,2,0.005
dgemm,15,0,1.0
dgemm,15,1,1.0
dgemm,15,2,0.0
dgemm,18,0,1.0
dgemm,18,1,1.0
dgemm,18,2,1.0
dgemm,21,0,1.0
dgemm,21,1,1.0
dgemm,21,2,1.0
dgemm,23,0,1.0
dgemm,23,1,1.0
dgemm,23,2,1.0
dual_axpy,3,0,0.5145
dual_axpy,3,1,0.5105
dual_axpy,3,2,0.72
dual_axpy,6,0,0.9139999999999999
dual_axpy,6,1,0.996
dual_axpy,6,2,0.9585
dual_axpy,9,0,0.6075
dual_axpy,9,1,0.5
dual_axpy,9,2,0.9824999999999999
dual_axpy,12,0,0.5145
dual_axpy,12,1,0.975
dual_axpy,12,2,0.702
dual_axpy,15,0,0.8785000000000001
dual_axpy,15,1,0.5975
dual_axpy,15,2,0.977
dual_axpy,18,0,0.624
dual_axpy,18,1,0.8605
dual_axpy,18,2,0.5609999999999999
dual_axpy,21,0,0.974
dual_axpy,21,1,0.987
dual_axpy,21,2,0.8654999999999999
dual_axpy,23,0,0.8815
dual_axpy,23,1,0.87
dual_axpy,23,2,0.5145
dual_cholesky,3,0,0.5
dual_cholesky,3,1,0.6005
dual_cholesky,3,2,0.4325
dual_cholesky,6,0,0.701
dual_cholesky,6,1,0.901
dual_cholesky,6,2,0.4915
dual_cholesky,9,0,0.8565
dual_cholesky,9,1,0.775
dual_cholesky,9,2,0.8485
dual_cholesky,12,0,0.8815
dual_cholesky,12,1,0.8755
dual_cholesky,12,2,0.8525
dual_cholesky,15,0,0.845
dual_cholesky,15,1,0.899
dual_cholesky,15,2,0.886
dual_cholesky,18,0,0.8565
dual_cholesky,18,1,0.9305
dual_cholesky,18,2,0.8585
dual_cholesky,21,0,0.882
dual_cholesky,21,1,0.929
dual_cholesky,21,2,0.857
dual_cholesky,23,0,0.9225000000000001
dual_cholesky,23,1,0.923
dual_cholesky,23,2,0.8965000000000001
dual_fft,3,0,0.5945
dual_fft,3,1,0.7435
dual_fft,3,2,0.7969999999999999
dual_fft,6,0,0.474
dual_fft,6,1,0.871
dual_fft,6,2,0.8385
dual_fft,9,0,0.643
dual_fft,9,1,0.8295
dual_fft,9,2,0.9915
dual_fft,12,0,0.55
dual_fft,12,1,0.8885
dual_fft,12,2,0.9715
dual_fft,15,0,0.9775
dual_fft,15,1,0.968
dual_fft,15,2,0.882
dual_fft,18,0,0.8865000000000001
dual_fft,18,1,0.8795
dual_fft,18,2,0.852
dual_fft,21,0,0.9624999999999999
dual_fft,21,1,0.987
dual_fft,21,2,0.9279999999999999
dual_fft,23,0,0.935
dual_fft,23,1,0.97
dual_fft,23,2,0.9835
dual_gemm,3,0,0.8888888888888888
dual_gemm,3,1,0.501
dual_gemm,3,2,0.5
dual_gemm,6,0,0.5
dual_gemm,6,1,1.0
dual_gemm,6,2,0.94
dual_gemm,9,0,0.8888888888888888
dual_gemm,9,1,0.8888888888888888
dual_gemm,9,2,0.8888888888888888
