config,test,cell_balanced_acc,recall_compute,recall_memory,pooled_f1_macro,pooled_accuracy,mean_family_accuracy,sd_seed_cell_bal,ci_lo,ci_hi
majority,capped,0.4643,0.5785,0.0051,0.2294,0.2934,0.2201,0.0,0.4231,0.4915
majority,full,0.4643,0.642,0.0001,0.2052,0.2581,0.2099,0.0,0.4231,0.4915
stump_base,capped,0.6302,0.5082,0.9183,0.6999,0.7121,0.7006,0.0008,0.5661,0.6998
stump_base,full,0.63,0.4414,0.9735,0.7126,0.7597,0.7457,0.0003,0.5662,0.6997
logistic_base,capped,0.6802,0.8046,0.737,0.7706,0.771,0.791,0.0017,0.6177,0.7428
logistic_base,full,0.6798,0.7115,0.8178,0.7654,0.7751,0.8109,0.0016,0.6176,0.7422
logistic_inter,capped,0.6614,0.7637,0.7204,0.742,0.7422,0.7636,0.0012,0.6064,0.7258
logistic_inter,full,0.6604,0.6861,0.859,0.7769,0.7895,0.7873,0.0017,0.6057,0.7248
xgb_base,capped,0.7281,0.8188,0.7538,0.7862,0.7865,0.7971,0.0153,0.6687,0.7904
xgb_base,full,0.7282,0.7141,0.8056,0.7596,0.7688,0.802,0.0149,0.6691,0.7903
xgb_inter,capped,0.7235,0.8194,0.7699,0.7946,0.7948,0.8086,0.0062,0.6605,0.7901
xgb_inter,full,0.7237,0.7263,0.8368,0.7828,0.7924,0.816,0.0047,0.6616,0.7907
xgb_base_nofreq,capped,0.7189,0.8232,0.7295,0.776,0.7766,0.7871,0.0075,0.6628,0.7785
xgb_base_nofreq,full,0.7199,0.7144,0.7916,0.7519,0.7606,0.7918,0.0073,0.664,0.7793
xgb_inter_nofreq,capped,0.7127,0.8148,0.7528,0.7836,0.784,0.7984,0.0062,0.654,0.7761
xgb_inter_nofreq,full,0.7125,0.7292,0.8387,0.7852,0.7947,0.8104,0.0062,0.6542,0.7756
xgb_freq_only,capped,0.5921,0.7361,0.3948,0.5529,0.5664,0.5562,0.0025,0.552,0.6324
xgb_freq_only,full,0.592,0.7216,0.3628,0.5043,0.507,0.5445,0.0024,0.5514,0.6321
xgb_legacy_running_ratio,capped,0.7281,0.8188,0.7538,0.7862,0.7865,0.7971,0.0153,0.6687,0.7904
xgb_legacy_running_ratio,full,0.7282,0.7141,0.8056,0.7596,0.7688,0.802,0.0149,0.6691,0.7903
xgb_base_class_only,capped,0.728,0.8403,0.807,0.8236,0.8237,0.8392,0.0106,0.6663,0.7944
xgb_base_class_only,full,0.7284,0.7237,0.8575,0.7935,0.8037,0.8471,0.0099,0.6671,0.7951
xgb_base_mono,capped,0.7033,0.8344,0.7047,0.7688,0.7699,0.7845,0.0074,0.6384,0.7686
xgb_base_mono,full,0.7038,0.7574,0.7198,0.7306,0.7349,0.8168,0.0073,0.6392,0.7689
xgb_base_shallow,capped,0.7354,0.8209,0.7208,0.7704,0.7711,0.7802,0.0069,0.6752,0.7993
xgb_base_shallow,full,0.7348,0.737,0.6781,0.6982,0.7018,0.7956,0.0069,0.6745,0.7984
rf_base,capped,0.7369,0.8411,0.749,0.7948,0.7953,0.8101,0.0092,0.6742,0.8022
rf_base,full,0.737,0.7218,0.805,0.7629,0.7716,0.8214,0.0087,0.6746,0.8025
et_base,capped,0.7318,0.8074,0.7577,0.7825,0.7827,0.7979,0.0072,0.6661,0.8041
et_base,full,0.7318,0.6848,0.7532,0.717,0.7257,0.8118,0.0074,0.6664,0.8042
