model,family,inner_best_score,outer_cell_balanced_acc,p_C
logistic,cpu_cholmod,0.6799,0.7836,2.5855633991100393
logistic,cpu_hpcg,0.6773,0.486,0.14212983705746549
logistic,cpu_lulesh,0.6785,0.8159,0.018819110245932285
logistic,dgemm,0.6784,0.9351,0.03085013598307874
logistic,dual_axpy,0.6652,0.8539,0.018819110245932285
logistic,dual_cholesky,0.673,0.7482,0.018819110245932285
logistic,dual_fft,0.6693,0.7927,0.018819110245932285
logistic,dual_gemm,0.6709,0.9635,0.018819110245932285
logistic,dual_spmv,0.6699,0.8796,0.018819110245932285
logistic,dual_stencil,0.6722,0.7767,0.018819110245932285
logistic,gap_pr,0.6816,0.6326,0.018819110245932285
logistic,hpccg_cpu_N46,0.6899,0.5,0.023343446468565794
logistic,npb_bt,0.6824,0.5045,0.018819110245932285
logistic,npb_cg,0.6732,0.9543,0.018819110245932285
logistic,npb_ft,0.6848,0.5614,0.018819110245932285
logistic,npb_lu,0.6671,0.8268,0.018819110245932285
logistic,npb_mg,0.685,0.3116,0.018819110245932285
logistic,npb_sp,0.6753,0.4444,0.018819110245932285
logistic,phasic,0.6751,0.643,0.03085013598307874
logistic,rajaperf_apps_edge3d,0.6821,0.7272,0.018819110245932285
logistic,rajaperf_apps_fir,0.6783,0.7272,2.5855633991100393
logistic,rajaperf_apps_mass3dpa,0.6762,1.0,0.018819110245932285
logistic,rajaperf_basic,0.6935,0.5,2.5855633991100393
logistic,rajaperf_basic_mat_mat_shared,0.6857,0.6,0.14212983705746549
logistic,rajaperf_basic_pi_reduce,0.6829,0.7777,0.018819110245932285
logistic,rajaperf_basic_trap_int,0.6854,0.6163,0.018819110245932285
logistic,rajaperf_lcals,0.6949,0.5,0.023343446468565794
logistic,rajaperf_polybench,0.674,0.7729,0.018819110245932285
logistic,rajaperf_stream,0.6948,0.5,0.018819110245932285
logistic,rodinia_lavamd,0.695,0.3693,0.018819110245932285
