model,family,inner_best_score,outer_cell_balanced_acc,p_n_estimators,p_max_depth,p_learning_rate,p_min_child_weight
xgboost,cpu_cholmod,0.7435,0.7936,250,4,0.47609722691616496,9
xgboost,cpu_hpcg,0.761,0.4866,200,4,0.08658291897294093,8
xgboost,cpu_lulesh,0.7445,0.8025,275,4,0.15595618070595443,7
xgboost,dgemm,0.7447,1.0,225,8,0.2248894101233281,6
xgboost,dual_axpy,0.7446,0.9375,275,4,0.15595618070595443,7
xgboost,dual_cholesky,0.7535,0.7424,200,4,0.08658291897294093,8
xgboost,dual_fft,0.7349,0.9558,200,4,0.08658291897294093,8
xgboost,dual_gemm,0.7401,0.8887,250,4,0.16286638578603493,9
xgboost,dual_spmv,0.735,0.9859,200,4,0.08658291897294093,8
xgboost,dual_stencil,0.7385,0.9904,200,4,0.08658291897294093,8
xgboost,gap_pr,0.7488,0.5382,200,4,0.08658291897294093,8
xgboost,hpccg_cpu_N46,0.7512,0.493,200,4,0.08658291897294093,8
xgboost,npb_bt,0.7506,0.5839,200,4,0.08658291897294093,8
xgboost,npb_cg,0.7405,0.9728,150,5,0.4435759626276696,5
xgboost,npb_ft,0.7609,0.5412,250,3,0.13830973454247117,5
xgboost,npb_lu,0.7339,0.523,225,8,0.2248894101233281,6
xgboost,npb_mg,0.7514,0.5877,50,3,0.4308071450830904,4
xgboost,npb_sp,0.7586,0.6465,175,4,0.1085264703547297,9
xgboost,phasic,0.7524,0.7603,200,4,0.08658291897294093,8
xgboost,rajaperf_apps_edge3d,0.7477,0.7008,250,3,0.13830973454247117,5
xgboost,rajaperf_apps_fir,0.7394,0.9318,200,4,0.08658291897294093,8
xgboost,rajaperf_apps_mass3dpa,0.7372,0.9834,275,4,0.15595618070595443,7
xgboost,rajaperf_basic,0.7611,0.5731,200,4,0.08658291897294093,8
xgboost,rajaperf_basic_mat_mat_shared,0.7468,0.6,200,4,0.08658291897294093,8
xgboost,rajaperf_basic_pi_reduce,0.7545,0.7775,175,2,0.1085264703547297,9
xgboost,rajaperf_basic_trap_int,0.7468,0.7273,200,4,0.08658291897294093,8
xgboost,rajaperf_lcals,0.7517,0.6714,200,4,0.08658291897294093,8
xgboost,rajaperf_polybench,0.7488,0.8819,75,6,0.07888095755429282,4
xgboost,rajaperf_stream,0.759,0.762,200,4,0.08658291897294093,8
xgboost,rodinia_lavamd,0.7503,0.5981,200,4,0.08658291897294093,8
