family,threshold,inner_score,coverage_full,accuracy_auto
cpu_cholmod,0.93,0.7472,0.7031,0.9087
cpu_hpcg,0.93,0.7546,0.8611,0.9988
cpu_lulesh,0.85,0.7411,0.6927,0.9278
dgemm,0.85,0.7395,0.9998,1.0
dual_axpy,0.93,0.7639,0.6893,0.9354
dual_cholesky,0.93,0.775,0.6442,0.9944
dual_fft,0.9,0.7556,0.8289,0.9969
dual_gemm,0.93,0.7655,0.9987,0.9998
dual_spmv,0.8,0.7421,0.92,0.9998
dual_stencil,0.93,0.759,0.781,0.9976
gap_pr,0.9,0.7661,0.5386,0.7659
hpccg_cpu_N46,0.9,0.7706,0.6354,0.9966
npb_bt,0.85,0.7491,0.5387,0.4579
npb_cg,0.85,0.7482,0.7714,0.9928
npb_ft,0.85,0.7588,0.7857,0.2414
npb_lu,0.93,0.769,0.2328,0.9675
npb_mg,0.93,0.7531,0.4483,0.5558
npb_sp,0.9,0.7526,0.3714,0.909
phasic,0.9,0.7679,0.9196,0.6308
rajaperf_apps_edge3d,0.9,0.7682,0.3259,0.993
rajaperf_apps_fir,0.9,0.7455,0.9992,0.9998
rajaperf_apps_mass3dpa,0.85,0.7654,0.8814,1.0
rajaperf_basic,0.95,0.7777,0.5804,0.9905
rajaperf_basic_mat_mat_shared,0.9,0.772,0.8378,0.9991
rajaperf_basic_pi_reduce,0.9,0.7641,0.9912,0.9998
rajaperf_basic_trap_int,0.93,0.7521,0.9937,0.9998
rajaperf_lcals,0.95,0.7546,0.2755,0.9427
rajaperf_polybench,0.93,0.7723,0.9026,0.9596
rajaperf_stream,0.93,0.7965,0.5145,0.9846
rodinia_lavamd,0.93,0.7744,0.9217,0.9971
