family,spearman_pred_vs_true_log2oi,mae_log2oi
cpu_cholmod,0.7047,2.215
cpu_hpcg,0.2636,2.545
cpu_lulesh,0.4613,1.571
dgemm,0.3062,0.24
dual_axpy,0.6817,2.104
dual_cholesky,0.9543,1.19
dual_fft,0.9107,1.051
dual_gemm,0.2463,0.266
dual_spmv,0.8721,2.191
dual_stencil,0.957,1.071
gap_pr,-0.1471,7.791
hpccg_cpu_N46,0.7498,0.714
npb_bt,0.0491,2.794
npb_cg,0.1487,2.417
npb_ft,0.3325,2.061
npb_lu,0.1223,2.18
npb_mg,0.4785,1.573
npb_sp,0.1597,2.365
phasic,0.6834,5.863
rajaperf_apps_edge3d,0.3595,3.543
rajaperf_apps_fir,0.4083,1.839
rajaperf_apps_mass3dpa,0.3596,1.087
rajaperf_basic,-0.565,4.422
rajaperf_basic_mat_mat_shared,-0.0403,5.931
rajaperf_basic_pi_reduce,0.6703,0.83
rajaperf_basic_trap_int,0.6726,0.698
rajaperf_lcals,-0.145,3.318
rajaperf_polybench,0.6425,1.481
rajaperf_stream,-0.0164,2.43
rodinia_lavamd,0.6476,1.356
