,mean_drop,sd_between_families,share_families_positive
mpki,0.031377111223543294,0.0670921860643008,0.5333333333333333
cache_miss_rate,0.030174359524575943,0.08253489456371113,0.6
stalls_mem_per_cache_miss,0.018048495167501347,0.03878872891634449,0.5333333333333333
freq_khz_observed,0.01624491088050407,0.03274139102629553,0.5333333333333333
ipc,0.011220287787062052,0.045471952432329994,0.43333333333333335
ips,0.00933296003943351,0.06288127775809729,0.4666666666666667
cache_misses_per_cycle,0.004986880882037161,0.020678638706881518,0.4
stalls_mem_per_ki,0.004532522986304716,0.024199798957378945,0.23333333333333334
cache_references_per_ki,0.0025340817791094984,0.02358851631118428,0.36666666666666664
log1p_mpki,0.0005000000000000004,0.0027386127875258333,0.03333333333333333
stall_mem_ratio,-0.002424408657901191,0.0411810422196355,0.4
cache_references_per_cycle,-0.004977807209443932,0.060689516928099235,0.3333333333333333
