kernel_ref,class,best_level,edp_vs_ref
cpu_cholmod,memory_bound,F0,1.0004490639952328
cpu_gap_pr,memory_bound,F0,1.0169182979249174
cpu_hpcg,memory_bound,F4,0.9163017355898897
cpu_lulesh,memory_bound,F0,0.9964754389264494
cpu_rajaperf_apps_edge3d,compute_bound,F0,0.9973826350451543
cpu_rajaperf_apps_fir,compute_bound,F0,1.007194648085268
cpu_rajaperf_apps_mass3dpa,compute_bound,F0,0.9870317112676701
cpu_rajaperf_basic_daxpy,memory_bound,F2,0.91995340484832
cpu_rajaperf_basic_init3,memory_bound,F1,0.8752459386277719
cpu_rajaperf_basic_mat_mat_shared,compute_bound,F0,0.9954890319140157
cpu_rajaperf_basic_pi_reduce,compute_bound,F0,0.9978691139781842
cpu_rajaperf_basic_trap_int,compute_bound,F0,1.0002839713539238
cpu_rajaperf_lcals_first_sum,memory_bound,F1,0.9051769611291459
cpu_rajaperf_lcals_tridiag_elim,memory_bound,F3,0.8929668247473626
cpu_rajaperf_polybench_fdtd_2d,memory_bound,F0,0.9883174206443102
cpu_rajaperf_polybench_jacobi_1d,memory_bound,F3,0.915786039537232
cpu_rajaperf_stream_add,memory_bound,F1,0.9620429980282448
cpu_rajaperf_stream_mul,memory_bound,F3,0.9499795589303078
cpu_rajaperf_stream_triad,memory_bound,F1,0.9535596041796489
dgemm_n2048,compute_bound,F0,0.9997366069117035
dual_axpy_cpu_N100000,compute_bound,F0,1.065300881564944
dual_axpy_cpu_N10000000,memory_bound,F0,0.9412111074152605
dual_axpy_cpu_N3162278,memory_bound,F0,0.9701082873980114
dual_cholesky_cpu_N1024,memory_bound,F0,0.9599067877860512
dual_cholesky_cpu_N2048,memory_bound,F0,0.9767041845075585
dual_cholesky_cpu_N256,compute_bound,F0,0.9880829901077295
dual_fft_cpu_N1024,memory_bound,F0,1.012104912425361
dual_fft_cpu_N128,compute_bound,F0,0.9892965060412876
dual_fft_cpu_N4096,memory_bound,F0,0.9881565829995894
dual_fft_cpu_N472,compute_bound,F0,0.9568880980848408
dual_gemm_cpu_N2048,compute_bound,F0,0.9967964641743013
dual_spmv_cpu_N100000,compute_bound,F0,1.0057108873397136
dual_spmv_cpu_N1000000,memory_bound,F1,0.9685430988553705
dual_stencil_cpu_N1024,memory_bound,F0,1.0238382399021366
dual_stencil_cpu_N1536,memory_bound,F0,1.004087076576556
dual_stencil_cpu_N256,compute_bound,F0,0.9272919890936807
dual_stencil_cpu_N512,compute_bound,F0,1.007434699111379
hpccg_cpu_N46,compute_bound,F0,0.9707996436379042
npb_bt,compute_bound,F0,0.9971923693769817
npb_cg,memory_bound,F0,0.9996141131016846
npb_ft,memory_bound,F0,1.0099954342303952
npb_lu,memory_bound,F0,0.9983738476203693
npb_mg,memory_bound,F1,0.9769586593392477
npb_sp,memory_bound,F0,1.0038271642656305
ptrchase,memory_bound,F1,0.989628753997557
rajaperf_polybench_3mm_omp,compute_bound,F0,0.9819425463589848
rodinia_lavamd_omp,compute_bound,F0,0.9910428514075407
