kernel_ref,n_compute,n_memory,compute_share,class
cpu_cholmod,688141,1512768,0.3126621773094662,memory_bound
cpu_gap_pr,0,312369,0.0,memory_bound
cpu_hpcg,194,520859,0.0003723229690645673,memory_bound
cpu_lulesh,71,3924610,1.8090642271308164e-05,memory_bound
cpu_rajaperf_apps_edge3d,425773,178,0.9995821115574327,compute_bound
cpu_rajaperf_apps_fir,235396,314,0.9986678545670528,compute_bound
cpu_rajaperf_apps_mass3dpa,273343,97,0.9996452603861907,compute_bound
cpu_rajaperf_basic_daxpy,1284,24825,0.04917844421463863,memory_bound
cpu_rajaperf_basic_init3,289,52514,0.005473173872696627,memory_bound
cpu_rajaperf_basic_mat_mat_shared,323569,361,0.998885561695428,compute_bound
cpu_rajaperf_basic_pi_reduce,242452,142,0.9994146598844159,compute_bound
cpu_rajaperf_basic_trap_int,299577,162,0.9994595297909181,compute_bound
cpu_rajaperf_lcals_first_sum,803,140743,0.005673067412713888,memory_bound
cpu_rajaperf_lcals_tridiag_elim,669,25632,0.02543629519790122,memory_bound
cpu_rajaperf_polybench_fdtd_2d,214,6728,0.030826851051570153,memory_bound
cpu_rajaperf_polybench_jacobi_1d,1492,105671,0.013922715862751137,memory_bound
cpu_rajaperf_stream_add,586,55124,0.010518757853168192,memory_bound
cpu_rajaperf_stream_mul,886,125246,0.0070243871499698725,memory_bound
cpu_rajaperf_stream_triad,897,55278,0.015967957276368492,memory_bound
dgemm_n2048,142209,0,1.0,compute_bound
dual_axpy_cpu_N100000,68045,284,0.9958436388649037,compute_bound
dual_axpy_cpu_N10000000,0,50586,0.0,memory_bound
dual_axpy_cpu_N3162278,0,48285,0.0,memory_bound
dual_cholesky_cpu_N1024,23327,38446,0.37762452851569456,memory_bound
dual_cholesky_cpu_N2048,16370,28785,0.362529066548555,memory_bound
dual_cholesky_cpu_N256,70522,0,1.0,compute_bound
dual_fft_cpu_N1024,0,50301,0.0,memory_bound
dual_fft_cpu_N128,65060,0,1.0,compute_bound
dual_fft_cpu_N4096,0,68835,0.0,memory_bound
dual_fft_cpu_N472,30398,10573,0.741939420565766,compute_bound
dual_gemm_cpu_N2048,78190,154,0.9980343102215868,compute_bound
dual_spmv_cpu_N100000,53445,0,1.0,compute_bound
dual_spmv_cpu_N1000000,0,40366,0.0,memory_bound
dual_stencil_cpu_N1024,0,51834,0.0,memory_bound
dual_stencil_cpu_N1536,0,50340,0.0,memory_bound
dual_stencil_cpu_N256,69474,26,0.9996258992805755,compute_bound
dual_stencil_cpu_N512,60537,2587,0.9590171725492681,compute_bound
hpccg_cpu_N46,114312,24694,0.8223529919571817,compute_bound
npb_bt,889506,521537,0.6303890101152126,compute_bound
npb_cg,0,335259,0.0,memory_bound
npb_ft,6587,198380,0.03213688057101875,memory_bound
npb_lu,275949,643382,0.30016283580125114,memory_bound
npb_mg,0,23401,0.0,memory_bound
npb_sp,4496,726832,0.006147720311542837,memory_bound
phasic_p010,589288,559,0.9990522966125114,compute_bound
phasic_p100,328310,262485,0.5557088330131433,compute_bound
phasic_p1000,297071,292751,0.5036621217926764,compute_bound
ptrchase,0,143340,0.0,memory_bound
rajaperf_polybench_3mm_omp,692541,35376,0.9514010525925346,compute_bound
rodinia_lavamd_omp,410198,186,0.9995467659557877,compute_bound
