kernel_ref,F0,F1,F2,REF
cpu_rajaperf_algorithm_histogram,22221.8527324365,28869.51059743,40917.4523917922,22052.4458685408
cpu_rajaperf_algorithm_memcpy,24334.285109351098,25174.1469748612,24544.7657062818,24289.821415860002
cpu_rajaperf_algorithm_memset,20897.082526571598,23995.1777163012,28364.1086722674,20921.7613039099
cpu_rajaperf_algorithm_scan,27200.933589615,30587.288944148397,35048.289200455205,27826.530559590297
cpu_rajaperf_apps_del_dot_vec_2d,30462.485570271998,35085.337380341996,41363.6724588472,30455.48635738
cpu_rajaperf_apps_matvec_3d_stencil,31497.1329378531,35418.739398074,35756.3605034568,32168.315225663402
cpu_rajaperf_apps_nodal_accumulation_3d,26798.011609091798,31651.7048335076,38168.367849768,26866.5026598136
cpu_rajaperf_apps_pressure,32404.632795826798,30078.1799350812,29524.5608633682,30607.3468027936
cpu_rajaperf_apps_vol3d,29665.358193744,33793.404001762596,39923.9010451296,29662.055400294597
cpu_rajaperf_apps_zonal_accumulation_3d,30199.844774294303,32077.186246158304,35731.815306863995,29804.4105565492
cpu_rajaperf_comm_halo_packing,18699.7090955304,21292.7127613447,23177.6716756725,18958.5526996355
