kernel_ref,n,stall_mem_ratio,ipc,mpki,cache_miss_rate,phase_label_majority
cpu_rajaperf_algorithm_histogram,46184,0.9684,0.0289,0.0,0.0,memory_bound
cpu_rajaperf_algorithm_memcpy,42321,0.6022,1.1063,5.6279,0.0661,memory_bound
cpu_rajaperf_algorithm_memset,40300,0.0113,3.1322,0.0,0.0,memory_bound
cpu_rajaperf_algorithm_reduce_sum,43466,0.4233,0.635,0.0,0.0,compute_bound
cpu_rajaperf_apps_femsweep,39218,0.2605,2.4671,0.2112,0.2949,compute_bound
cpu_rajaperf_apps_intsc_hexhex,45406,0.0232,3.4714,0.0774,0.8706,compute_bound
cpu_rajaperf_apps_intsc_hexrect,44596,0.0257,3.7017,0.0417,0.7719,compute_bound
cpu_rajaperf_basic_copy8,44441,0.5236,0.4728,81.7392,0.918,memory_bound
cpu_rajaperf_basic_if_quad,45846,0.0597,0.9486,18.152,0.7054,memory_bound
cpu_rajaperf_basic_indexlist_3loop,46602,0.1644,1.2857,1.9975,0.0932,memory_bound
cpu_rajaperf_basic_muladdsub,43336,0.2885,0.7134,47.5562,0.7013,memory_bound
cpu_rajaperf_comm_halo_packing,39815,0.3402,1.6422,0.0075,0.0005,memory_bound
cpu_rajaperf_lcals_first_min,44849,0.2192,1.8177,0.0,0.0,compute_bound
cpu_rajaperf_polybench_gesummv,44665,0.1212,1.7692,0.8452,0.0243,compute_bound
cpu_rajaperf_algorithm_scan,44352,0.3359,1.6235,0.991,0.0253,memory_bound
cpu_rajaperf_apps_del_dot_vec_2d,45710,0.0099,2.9581,6.8942,0.7621,memory_bound
cpu_rajaperf_apps_matvec_3d_stencil,46061,0.1227,1.5456,21.9016,0.5961,memory_bound
cpu_rajaperf_apps_nodal_accumulation_3d,47582,0.5379,0.4898,2.2258,0.4633,memory_bound
cpu_rajaperf_apps_pressure,44849,0.5432,1.1091,35.9623,0.6363,memory_bound
cpu_rajaperf_apps_vol3d,45751,0.0021,3.7002,2.5191,0.6475,memory_bound
cpu_rajaperf_apps_zonal_accumulation_3d,44622,0.1246,2.0899,12.6304,0.4585,memory_bound
