family,chosen,inner_xgb_d2_n50,inner_xgb_d3_n100,inner_xgb_d4_n100,inner_xgb_d6_n100
cpu_cholmod,xgb_d4_n100,0.731,0.7302,0.7367,0.7297
cpu_hpcg,xgb_d4_n100,0.7485,0.7485,0.7565,0.7277
cpu_lulesh,xgb_d3_n100,0.7371,0.7483,0.7308,0.7355
dgemm,xgb_d6_n100,0.7258,0.725,0.7142,0.7297
dual_axpy,xgb_d3_n100,0.7368,0.7452,0.7402,0.737
dual_cholesky,xgb_d4_n100,0.7207,0.7226,0.7379,0.7078
dual_fft,xgb_d3_n100,0.7138,0.7271,0.7106,0.7244
dual_gemm,xgb_d6_n100,0.7263,0.7185,0.7093,0.7424
dual_spmv,xgb_d2_n50,0.743,0.7207,0.7064,0.7154
dual_stencil,xgb_d4_n100,0.7197,0.7174,0.7248,0.7154
gap_pr,xgb_d3_n100,0.7491,0.7494,0.7365,0.7319
hpccg_cpu_N46,xgb_d2_n50,0.7468,0.7415,0.718,0.7161
npb_bt,xgb_d3_n100,0.7372,0.7398,0.7283,0.7188
npb_cg,xgb_d4_n100,0.7321,0.7256,0.7447,0.7153
npb_ft,xgb_d4_n100,0.7347,0.7505,0.7522,0.7477
npb_lu,xgb_d3_n100,0.7403,0.7478,0.7213,0.7158
npb_mg,xgb_d3_n100,0.7396,0.7537,0.7461,0.7484
npb_sp,xgb_d3_n100,0.7449,0.7472,0.7366,0.7302
phasic,xgb_d2_n50,0.7353,0.7143,0.7292,0.7193
rajaperf_apps_edge3d,xgb_d3_n100,0.7292,0.7467,0.7329,0.7204
rajaperf_apps_fir,xgb_d2_n50,0.7304,0.7298,0.7206,0.7193
rajaperf_apps_mass3dpa,xgb_d2_n50,0.7348,0.7328,0.7152,0.7028
rajaperf_basic,xgb_d4_n100,0.726,0.739,0.7548,0.7204
rajaperf_basic_mat_mat_shared,xgb_d3_n100,0.7276,0.7415,0.7296,0.7307
rajaperf_basic_pi_reduce,xgb_d3_n100,0.7378,0.7472,0.7441,0.7226
rajaperf_basic_trap_int,xgb_d4_n100,0.7205,0.7172,0.7362,0.7098
rajaperf_lcals,xgb_d4_n100,0.7298,0.7409,0.744,0.7091
rajaperf_polybench,xgb_d3_n100,0.7318,0.7469,0.7305,0.7289
rajaperf_stream,xgb_d3_n100,0.7317,0.7436,0.7338,0.7212
rodinia_lavamd,xgb_d6_n100,0.7388,0.7459,0.7434,0.749
