window_k,family,memory_share,cell_balanced_acc
1,cpu_cholmod,0.667,0.7535
1,cpu_hpcg,1.0,0.5083
1,cpu_lulesh,1.0,0.6195
1,dgemm,0.0,1.0
1,dual_axpy,0.591,0.5297
1,dual_cholesky,0.349,0.9158
1,dual_fft,0.572,0.9636
1,dual_gemm,0.002,0.8887
1,dual_spmv,0.428,0.9629
1,dual_stencil,0.446,0.9845
1,gap_pr,1.0,0.4342
1,hpccg_cpu_N46,0.178,0.46
1,npb_bt,0.37,0.5737
1,npb_cg,1.0,0.9333
1,npb_ft,0.963,0.5788
1,npb_lu,0.7,0.6155
1,npb_mg,1.0,0.392
1,npb_sp,0.994,0.7799
1,phasic,0.314,0.7125
1,rajaperf_apps_edge3d,0.0,0.4712
1,rajaperf_apps_fir,0.001,0.9318
1,rajaperf_apps_mass3dpa,0.0,0.9991
1,rajaperf_basic,0.98,0.5377
1,rajaperf_basic_mat_mat_shared,0.001,0.6
1,rajaperf_basic_pi_reduce,0.0,0.7777
1,rajaperf_basic_trap_int,0.0,0.7273
1,rajaperf_lcals,0.992,0.671
1,rajaperf_polybench,0.175,0.8839
1,rajaperf_stream,0.99,0.718
1,rodinia_lavamd,0.0,0.5351
10,cpu_cholmod,0.667,0.7349
10,cpu_hpcg,1.0,0.5
10,cpu_lulesh,1.0,0.4956
10,dgemm,0.0,1.0
10,dual_axpy,0.591,0.5214
10,dual_cholesky,0.349,0.8401
10,dual_fft,0.572,0.9658
10,dual_gemm,0.002,0.6664
10,dual_spmv,0.428,0.9938
10,dual_stencil,0.446,0.9847
10,gap_pr,1.0,0.4299
10,hpccg_cpu_N46,0.178,0.4636
10,npb_bt,0.37,0.5192
10,npb_cg,1.0,0.9685
10,npb_ft,0.963,0.5362
10,npb_lu,0.7,0.5383
10,npb_mg,1.0,0.2402
10,npb_sp,0.994,0.7608
10,phasic,0.314,0.5607
10,rajaperf_apps_edge3d,0.0,0.4938
10,rajaperf_apps_fir,0.001,0.6363
10,rajaperf_apps_mass3dpa,0.0,0.6666
10,rajaperf_basic,0.98,0.4762
10,rajaperf_basic_mat_mat_shared,0.001,0.54
10,rajaperf_basic_pi_reduce,0.0,0.5555
10,rajaperf_basic_trap_int,0.0,0.5909
10,rajaperf_lcals,0.992,0.6677
10,rajaperf_polybench,0.175,0.8865
10,rajaperf_stream,0.99,0.7264
10,rodinia_lavamd,0.0,0.484
50,cpu_cholmod,0.667,0.7405
50,cpu_hpcg,1.0,0.5
50,cpu_lulesh,1.0,0.4999
50,dgemm,0.0,1.0
50,dual_axpy,0.591,0.5169
50,dual_cholesky,0.349,0.8336
50,dual_fft,0.572,0.967
50,dual_gemm,0.002,0.6664
50,dual_spmv,0.428,0.9987
50,dual_stencil,0.446,0.9854
50,gap_pr,1.0,0.432
50,hpccg_cpu_N46,0.178,0.467
50,npb_bt,0.37,0.4996
50,npb_cg,1.0,0.9766
50,npb_ft,0.963,0.5452
50,npb_lu,0.7,0.5741
50,npb_mg,1.0,0.239
50,npb_sp,0.994,0.7727
50,phasic,0.314,0.5062
50,rajaperf_apps_edge3d,0.0,0.4985
50,rajaperf_apps_fir,0.001,0.6363
50,rajaperf_apps_mass3dpa,0.0,0.6666
50,rajaperf_basic,0.98,0.4795
50,rajaperf_basic_mat_mat_shared,0.001,0.54
50,rajaperf_basic_pi_reduce,0.0,0.5555
50,rajaperf_basic_trap_int,0.0,0.5909
50,rajaperf_lcals,0.992,0.6716
50,rajaperf_polybench,0.175,0.8781
50,rajaperf_stream,0.99,0.7035
50,rodinia_lavamd,0.0,0.5255
