family,label,nearest_opposite_cell,dist_opposite,dist_same_label,confusable
rajaperf_basic_mat_mat_shared,memory,rajaperf_basic_pi_reduce:compute,0.18,1.029,True
rajaperf_basic_pi_reduce,compute,rajaperf_basic_mat_mat_shared:memory,0.18,0.127,False
gap_pr,memory,phasic:compute,0.357,0.759,True
phasic,compute,gap_pr:memory,0.357,0.916,True
rajaperf_lcals,memory,rajaperf_stream:compute,0.381,0.421,True
rajaperf_stream,compute,rajaperf_lcals:memory,0.381,0.278,False
npb_cg,memory,cpu_hpcg:compute,0.41,0.486,True
cpu_hpcg,compute,npb_cg:memory,0.41,1.294,True
dual_spmv,compute,rajaperf_basic_mat_mat_shared:memory,0.413,0.451,True
rajaperf_polybench,memory,rajaperf_basic:compute,0.444,0.798,True
rajaperf_basic,compute,rajaperf_polybench:memory,0.444,0.351,False
dual_spmv,memory,cpu_hpcg:compute,0.463,0.486,True
rodinia_lavamd,memory,npb_bt:compute,0.628,0.645,True
npb_bt,compute,rodinia_lavamd:memory,0.628,0.577,False
rajaperf_basic_trap_int,compute,rajaperf_basic_pi_reduce:memory,0.631,1.137,True
rajaperf_basic_pi_reduce,memory,rajaperf_basic_trap_int:compute,0.631,0.318,False
npb_bt,memory,rodinia_lavamd:compute,0.642,0.645,True
rodinia_lavamd,compute,npb_bt:memory,0.642,0.624,False
rajaperf_apps_mass3dpa,compute,rajaperf_basic_mat_mat_shared:memory,0.657,0.143,False
rajaperf_apps_edge3d,memory,rodinia_lavamd:compute,0.664,0.672,True
cpu_lulesh,compute,npb_bt:memory,0.673,0.577,False
rajaperf_apps_edge3d,compute,rodinia_lavamd:memory,0.686,0.679,False
npb_sp,memory,cpu_hpcg:compute,0.701,0.503,False
rajaperf_lcals,compute,rajaperf_polybench:memory,0.719,0.278,False
cpu_lulesh,memory,npb_sp:compute,0.722,0.761,True
npb_sp,compute,cpu_lulesh:memory,0.722,0.862,True
rajaperf_apps_fir,compute,rajaperf_basic_mat_mat_shared:memory,0.762,0.143,False
npb_lu,compute,gap_pr:memory,0.777,0.916,True
hpccg_cpu_N46,compute,rajaperf_basic_pi_reduce:memory,0.803,0.842,True
npb_ft,memory,cpu_lulesh:compute,0.859,0.891,True
rajaperf_apps_mass3dpa,memory,rajaperf_basic_trap_int:compute,0.86,0.318,False
rajaperf_apps_fir,memory,rajaperf_polybench:compute,0.865,1.241,True
rajaperf_polybench,compute,rajaperf_apps_fir:memory,0.865,0.563,False
dual_fft,compute,rajaperf_apps_fir:memory,0.89,0.415,False
npb_lu,memory,phasic:compute,0.893,0.759,False
npb_mg,memory,cpu_hpcg:compute,0.895,0.637,False
cpu_cholmod,memory,rajaperf_basic:compute,0.924,0.478,False
dual_fft,memory,rajaperf_basic:compute,0.929,0.798,False
rajaperf_basic,memory,rajaperf_lcals:compute,0.936,0.478,False
dual_gemm,compute,npb_mg:memory,0.971,0.004,False
dgemm,compute,npb_mg:memory,0.973,0.004,False
hpccg_cpu_N46,memory,rajaperf_polybench:compute,0.974,0.768,False
rajaperf_stream,memory,rajaperf_lcals:compute,0.989,0.421,False
rajaperf_basic_mat_mat_shared,compute,hpccg_cpu_N46:memory,1.011,0.127,False
npb_ft,compute,npb_bt:memory,1.018,0.867,False
cpu_cholmod,compute,npb_lu:memory,1.027,1.044,True
dual_axpy,memory,rajaperf_basic:compute,1.045,0.585,False
dual_stencil,compute,rajaperf_apps_fir:memory,1.055,0.152,False
dual_cholesky,compute,rajaperf_apps_fir:memory,1.099,0.152,False
rajaperf_basic_trap_int,memory,rajaperf_basic_pi_reduce:compute,1.141,0.622,False
dual_gemm,memory,npb_lu:compute,1.169,0.768,False
dual_stencil,memory,cpu_cholmod:compute,1.309,0.75,False
dual_axpy,compute,rajaperf_apps_fir:memory,1.32,0.709,False
cpu_hpcg,memory,rajaperf_basic:compute,1.381,0.708,False
dual_cholesky,memory,cpu_cholmod:compute,1.486,0.75,False
phasic,memory,rajaperf_stream:compute,2.895,2.205,False
