,ipc,mpki,cache_miss_rate,stall_mem_ratio,ips,freq_khz_observed,cache_references_per_ki,cache_references_per_cycle,cache_misses_per_cycle,stalls_mem_per_ki,stalls_mem_per_cache_miss,log1p_mpki
ipc,1.0,-0.4768700358119954,0.10553850755289088,-0.6987595841187929,0.7066282357341498,-0.19753035562602064,-0.6164365771389847,0.05327810854321635,-0.026421790834843924,-0.28832037208451994,-0.12745215720261316,-0.3981380902746596
mpki,-0.4768700358119954,1.0,0.3971181119962342,0.7358233820984363,-0.39130317833566497,0.06345758601318253,0.8878618122216243,0.09564026102037451,0.29256899951827864,0.7632077924228965,-0.09351432037463221,0.7494937353854275
cache_miss_rate,0.10553850755289088,0.3971181119962342,1.0,0.14702580416571875,0.02476141432687263,-0.00020724256856165653,0.11068438364564133,-0.041972924024022924,0.5119251002121902,0.14703556073664986,-0.2937222899481086,0.6437619905242504
stall_mem_ratio,-0.6987595841187929,0.7358233820984363,0.14702580416571875,1.0,-0.4422236534823296,0.27417025303068443,0.7793331543537695,0.0685136485961979,0.17336418356982955,0.6026568930043409,0.02451287370003906,0.6061027901768017
ips,0.7066282357341498,-0.39130317833566497,0.02476141432687263,-0.4422236534823296,1.0,0.4133022525823025,-0.49204979410160105,-0.0874914837998078,-0.17746633573253123,-0.2209063339579543,-0.08865798681378609,-0.3722934418384801
freq_khz_observed,-0.19753035562602064,0.06345758601318253,-0.00020724256856165653,0.27417025303068443,0.4133022525823025,1.0,0.05291834522507293,-0.1874216330815505,-0.16977492553988696,0.11086454284597107,0.008406350463283908,0.05497272039246653
cache_references_per_ki,-0.6164365771389847,0.8878618122216243,0.11068438364564133,0.7793331543537695,-0.49204979410160105,0.05291834522507293,1.0,0.12138076380305607,0.16716532686341276,0.7222699836878874,-0.003502466195642104,0.58849628499029
cache_references_per_cycle,0.05327810854321635,0.09564026102037451,-0.041972924024022924,0.0685136485961979,-0.0874914837998078,-0.1874216330815505,0.12138076380305607,1.0,0.7369992845128316,-0.16531680175609295,0.006222088188054257,0.3408669009783404
cache_misses_per_cycle,-0.026421790834843924,0.29256899951827864,0.5119251002121902,0.17336418356982955,-0.17746633573253123,-0.16977492553988696,0.16716532686341276,0.7369992845128316,1.0,-0.09718060280033478,-0.14035975392222874,0.6785110851790555
stalls_mem_per_ki,-0.28832037208451994,0.7632077924228965,0.14703556073664986,0.6026568930043409,-0.2209063339579543,0.11086454284597107,0.7222699836878874,-0.16531680175609295,-0.09718060280033478,1.0,-0.028861495931320067,0.35966069376715043
stalls_mem_per_cache_miss,-0.12745215720261316,-0.09351432037463221,-0.2937222899481086,0.02451287370003906,-0.08865798681378609,0.008406350463283908,-0.003502466195642104,0.006222088188054257,-0.14035975392222874,-0.028861495931320067,1.0,-0.22054619774932377
log1p_mpki,-0.3981380902746596,0.7494937353854275,0.6437619905242504,0.6061027901768017,-0.3722934418384801,0.05497272039246653,0.58849628499029,0.3408669009783404,0.6785110851790555,0.35966069376715043,-0.22054619774932377,1.0
