family,n_compute_bound,n_memory_bound,elegibles,muestra
npb_mg,0,1778,1778,1000
dual_gemm,5981,9,5990,1009
rajaperf_basic,118,5874,5992,1118
dual_spmv,4085,3060,7145,1987
hpccg_cpu_N46,8767,1899,10666,2000
dgemm,10938,0,10938,1000
dual_axpy,5219,7554,12773,2000
rajaperf_lcals,109,12746,12855,1109
dual_cholesky,9485,5074,14559,2000
npb_ft,582,15097,15679,1582
dual_fft,7292,9757,17049,1993
dual_stencil,9940,8005,17945,1994
rajaperf_stream,175,18049,18224,1175
gap_pr,0,23542,23542,1000
npb_cg,0,25770,25770,1000
rodinia_lavamd,31644,15,31659,1015
cpu_hpcg,15,32230,32245,1015
npb_sp,346,55927,56273,1346
rajaperf_polybench,53398,11322,64720,2000
npb_lu,21194,49563,70757,2000
npb_bt,68397,40208,108605,2000
phasic,93428,42787,136215,1962
cpu_cholmod,55323,110991,166314,2000
cpu_lulesh,5,302135,302140,1005
