family,n,memory_share,coverage,f1_selected,error_auto_rate,mean_confidence
cpu_cholmod,2000,0.5,0.737,0.8234622206737089,0.16417910447761194,0.9006343991526228
cpu_hpcg,1015,0.9852216748768473,0.8118226600985222,0.4900990099009901,0.038834951456310676,0.9248164946699671
cpu_lulesh,1005,0.9950248756218906,0.6318407960199005,0.48582995951417,0.05511811023622047,0.8693317143793278
dgemm,1000,0.0,1.0,0.5,0.0,0.9956714052060269
dual_axpy,2000,0.5,0.93,0.9962160303717329,0.003763440860215054,0.9611009645347658
dual_cholesky,2000,0.5,0.7505,0.9715282143553947,0.02798134576948701,0.9071657845652371
dual_fft,1993,0.5017561465127948,0.8569994982438535,0.9994134484457929,0.000585480093676815,0.9464388547429617
dual_gemm,1009,0.008919722497522299,0.998017839444995,1.0,0.0,0.9955068103257164
dual_spmv,1987,0.5032712632108707,0.9783593356819326,1.0,0.0,0.9834450641309804
dual_stencil,1994,0.5015045135406219,0.8691073219658977,0.9935367939609387,0.006347374495095211,0.9402926333072613
gap_pr,1000,1.0,0.807,0.3341584158415842,0.49814126394052044,0.9078120827897219
hpccg_cpu_N46,2000,0.5,0.398,0.9937185037412781,0.00628140703517588,0.7896184483077378
npb_bt,2000,0.5,0.3445,0.6802055730898412,0.3193033381712627,0.7586936097643339
npb_cg,1000,1.0,0.814,0.5,0.0,0.9171819829046727
npb_ft,1582,0.6321112515802781,0.5265486725663717,0.47121986982333164,0.5114045618247299,0.8170285967226327
npb_lu,2000,0.5,0.314,0.44669200634948375,0.3853503184713376,0.7792212281562388
npb_mg,1000,1.0,0.536,0.30927835051546393,0.5522388059701493,0.8263820044926833
npb_sp,1346,0.7429420505200595,0.4799405646359584,0.5241208844730177,0.3746130030959752,0.8020575948988113
phasic,1962,0.509683995922528,0.8348623853211009,0.42518380449414933,0.3724053724053724,0.9428183636101196
rajaperf_basic,1118,0.8944543828264758,0.7093023255813954,0.5052584670231729,0.10592686002522068,0.8845075869362982
rajaperf_lcals,1109,0.9017132551848512,0.454463480613165,0.5865103278033905,0.22420634920634921,0.8083377731686863
rajaperf_polybench,2000,0.5,0.895,0.8831088660270043,0.11340782122905028,0.9550943604293789
rajaperf_stream,1175,0.851063829787234,0.505531914893617,0.7333887457401712,0.045454545454545456,0.8237236792388114
rodinia_lavamd,1015,0.014778325123152709,0.35172413793103446,0.30825291855050946,0.5630252100840336,0.7861610159204511
