device,family,kernel_ref,freq_level_id,n_rows_usable,n_compute_bound,n_memory_bound,memory_fraction,n_near_ridge,near_ridge_fraction,median_log2_oi_over_ridge
cpu,cpu_cholmod,cpu_cholmod,F0,9867,2717,7150,0.7246376811594203,2122,0.21506030201682375,-4.060549975408523
cpu,cpu_cholmod,cpu_cholmod,F1,10480,3009,7471,0.712881679389313,2159,0.2060114503816794,-3.962931499743903
cpu,cpu_cholmod,cpu_cholmod,F2,11121,3508,7613,0.6845607409405629,2052,0.18451578095495008,-3.704459122667041
cpu,cpu_cholmod,cpu_cholmod,F3,11911,4040,7871,0.6608177315086895,2117,0.1777348669297288,-3.157631201514078
cpu,cpu_cholmod,cpu_cholmod,F4,13298,4770,8528,0.6412994435253422,2261,0.17002556775454955,-2.9597776200062187
cpu,cpu_cholmod,cpu_cholmod,F5,16280,5645,10635,0.6532555282555282,2670,0.16400491400491402,-3.3023404022528164
cpu,cpu_cholmod,cpu_cholmod,F6,19325,7069,12256,0.6342043984476067,3099,0.16036222509702458,-3.0873498425523316
cpu,cpu_cholmod,cpu_cholmod,F7,23714,9214,14500,0.6114531500379523,3178,0.13401366281521465,-2.780159803767556
cpu,cpu_cholmod,cpu_cholmod,F8,36784,12636,24148,0.6564810787298826,3671,0.09979882557633754,-3.085863544318666
cpu,cpu_cholmod,cpu_cholmod,REF,13534,2715,10819,0.7993941185163292,2118,0.15649475395300724,-4.816096870623292
cpu,cpu_hpcg,cpu_hpcg,F0,1110,0,1110,1.0,0,0.0,-6.699671907203198
cpu,cpu_hpcg,cpu_hpcg,F1,1186,0,1186,1.0,0,0.0,-6.228464589041625
cpu,cpu_hpcg,cpu_hpcg,F2,1335,0,1335,1.0,1,0.000749063670411985,-5.528576885442133
cpu,cpu_hpcg,cpu_hpcg,F3,1495,0,1495,1.0,1,0.0006688963210702341,-5.343494859942073
cpu,cpu_hpcg,cpu_hpcg,F4,1932,0,1932,1.0,3,0.0015527950310559005,-5.2228535195377015
cpu,cpu_hpcg,cpu_hpcg,F5,2493,1,2492,0.9995988768551946,3,0.0012033694344163659,-5.157582072222725
cpu,cpu_hpcg,cpu_hpcg,F6,4289,1,4288,0.9997668454185125,4,0.0009326183259501049,-4.949728163193576
cpu,cpu_hpcg,cpu_hpcg,F7,5082,5,5077,0.9990161353797717,6,0.0011806375442739079,-4.7419573314363
cpu,cpu_hpcg,cpu_hpcg,F8,9125,8,9117,0.9991232876712329,18,0.0019726027397260273,-4.434212320921652
cpu,cpu_hpcg,cpu_hpcg,REF,4198,0,4198,1.0,1,0.00023820867079561695,-5.974614894500062
cpu,cpu_lulesh,cpu_lulesh,F0,20903,0,20903,1.0,0,0.0,-5.040452795383586
cpu,cpu_lulesh,cpu_lulesh,F1,21919,0,21919,1.0,0,0.0,-4.842238673531123
cpu,cpu_lulesh,cpu_lulesh,F2,23129,0,23129,1.0,0,0.0,-4.698603199910626
cpu,cpu_lulesh,cpu_lulesh,F3,24806,0,24806,1.0,0,0.0,-4.568756648567168
cpu,cpu_lulesh,cpu_lulesh,F4,26975,0,26975,1.0,1,3.707136237256719e-05,-4.436420212760065
cpu,cpu_lulesh,cpu_lulesh,F5,30010,0,30010,1.0,6,0.0001999333555481506,-4.2311680092609105
cpu,cpu_lulesh,cpu_lulesh,F6,34877,1,34876,0.9999713278091579,461,0.013217879978209135,-3.9150442554937745
cpu,cpu_lulesh,cpu_lulesh,F7,42249,0,42249,1.0,1474,0.03488839972543729,-3.570647176560813
cpu,cpu_lulesh,cpu_lulesh,F8,56313,4,56309,0.9999289684442314,3586,0.06367978974659493,-3.1781184644613614
cpu,cpu_lulesh,cpu_lulesh,REF,20959,0,20959,1.0,0,0.0,-5.03334894010047
cpu,dgemm,dgemm_n2048,F0,564,564,0,0.0,47,0.08333333333333333,1.3149949307970843
cpu,dgemm,dgemm_n2048,F1,607,607,0,0.0,4,0.006589785831960461,1.3844619709254526
cpu,dgemm,dgemm_n2048,F2,694,694,0,0.0,0,0.0,1.5743711924957378
cpu,dgemm,dgemm_n2048,F3,792,792,0,0.0,3,0.003787878787878788,1.7148175065569187
cpu,dgemm,dgemm_n2048,F4,925,925,0,0.0,1,0.001081081081081081,1.969191450148924
cpu,dgemm,dgemm_n2048,F5,1112,1112,0,0.0,1,0.0008992805755395684,2.260193729805609
cpu,dgemm,dgemm_n2048,F6,1374,1374,0,0.0,0,0.0,2.4740402250356768
cpu,dgemm,dgemm_n2048,F7,1781,1781,0,0.0,0,0.0,2.634624143352732
cpu,dgemm,dgemm_n2048,F8,2523,2523,0,0.0,0,0.0,2.9628432933523783
cpu,dgemm,dgemm_n2048,REF,566,566,0,0.0,6,0.01060070671378092,1.2861777778404435
cpu,dual_axpy,dual_axpy_cpu_N100000,F0,284,283,1,0.0035211267605633804,5,0.017605633802816902,2.387399807927425
cpu,dual_axpy,dual_axpy_cpu_N100000,F1,301,299,2,0.006644518272425249,4,0.013289036544850499,2.7261109313675203
cpu,dual_axpy,dual_axpy_cpu_N100000,F2,368,368,0,0.0,1,0.002717391304347826,2.830949159457411
cpu,dual_axpy,dual_axpy_cpu_N100000,F3,386,386,0,0.0,2,0.0051813471502590676,2.754249349515973
cpu,dual_axpy,dual_axpy_cpu_N100000,F4,446,445,1,0.002242152466367713,8,0.017937219730941704,2.683046847968815
cpu,dual_axpy,dual_axpy_cpu_N100000,F5,519,517,2,0.0038535645472061657,6,0.011560693641618497,3.0414011188602186
cpu,dual_axpy,dual_axpy_cpu_N100000,F6,642,639,3,0.004672897196261682,9,0.014018691588785047,3.0092535812655266
cpu,dual_axpy,dual_axpy_cpu_N100000,F7,819,815,4,0.004884004884004884,10,0.01221001221001221,2.9679572988383245
cpu,dual_axpy,dual_axpy_cpu_N100000,F8,1162,1156,6,0.0051635111876075735,12,0.010327022375215147,3.0340750895632405
cpu,dual_axpy,dual_axpy_cpu_N100000,REF,313,311,2,0.006389776357827476,9,0.02875399361022364,2.786295519619488
cpu,dual_axpy,dual_axpy_cpu_N10000000,F0,306,0,306,1.0,0,0.0,-7.51215257982469
cpu,dual_axpy,dual_axpy_cpu_N10000000,F1,316,0,316,1.0,0,0.0,-7.541822014105173
cpu,dual_axpy,dual_axpy_cpu_N10000000,F2,326,0,326,1.0,0,0.0,-7.364524276306462
cpu,dual_axpy,dual_axpy_cpu_N10000000,F3,338,0,338,1.0,0,0.0,-7.197467654395411
cpu,dual_axpy,dual_axpy_cpu_N10000000,F4,354,0,354,1.0,0,0.0,-6.975169174893509
cpu,dual_axpy,dual_axpy_cpu_N10000000,F5,370,0,370,1.0,0,0.0,-6.7489709520346235
cpu,dual_axpy,dual_axpy_cpu_N10000000,F6,415,0,415,1.0,0,0.0,-6.465586379490603
cpu,dual_axpy,dual_axpy_cpu_N10000000,F7,467,0,467,1.0,0,0.0,-6.126183584832134
cpu,dual_axpy,dual_axpy_cpu_N10000000,F8,612,0,612,1.0,0,0.0,-5.682140264872613
cpu,dual_axpy,dual_axpy_cpu_N10000000,REF,355,0,355,1.0,0,0.0,-7.637528931721687
cpu,dual_axpy,dual_axpy_cpu_N3162278,F0,284,0,284,1.0,0,0.0,-7.34268026196892
cpu,dual_axpy,dual_axpy_cpu_N3162278,F1,293,0,293,1.0,0,0.0,-7.247829875455161
cpu,dual_axpy,dual_axpy_cpu_N3162278,F2,306,0,306,1.0,0,0.0,-7.066338431096796
cpu,dual_axpy,dual_axpy_cpu_N3162278,F3,315,0,315,1.0,0,0.0,-6.8852068402160365
cpu,dual_axpy,dual_axpy_cpu_N3162278,F4,333,0,333,1.0,0,0.0,-6.672139546255778
cpu,dual_axpy,dual_axpy_cpu_N3162278,F5,360,0,360,1.0,0,0.0,-6.561884392663309
cpu,dual_axpy,dual_axpy_cpu_N3162278,F6,395,0,395,1.0,0,0.0,-6.383557070203611
cpu,dual_axpy,dual_axpy_cpu_N3162278,F7,471,0,471,1.0,0,0.0,-6.028082615618389
cpu,dual_axpy,dual_axpy_cpu_N3162278,F8,586,0,586,1.0,0,0.0,-5.898338980043583
cpu,dual_axpy,dual_axpy_cpu_N3162278,REF,331,0,331,1.0,0,0.0,-7.339462556537847
cpu,dual_cholesky,dual_cholesky_cpu_N1024,F0,300,0,300,1.0,299,0.9966666666666667,-0.7168539720333162
cpu,dual_cholesky,dual_cholesky_cpu_N1024,F1,326,2,324,0.9938650306748467,261,0.8006134969325154,-0.7470997911122906
cpu,dual_cholesky,dual_cholesky_cpu_N1024,F2,342,3,339,0.9912280701754386,315,0.9210526315789473,-0.4612720678441238
cpu,dual_cholesky,dual_cholesky_cpu_N1024,F3,403,85,318,0.7890818858560794,310,0.7692307692307693,-0.26778124031532347
