block,arm,wall_s,e_cpu_j,e_gpu_j,kinetic,app_rc,daemon_rc,state_ok
1,sombra,111.888672,16964.348783,27356.463000,1.925,0,0,1
1,activo,112.227039,16690.659603,25494.699000,1.925,0,0,1
1,ref,112.032412,16678.429776,27720.875000,1.925,0,NA,1
2,sombra,111.958178,16960.612221,27733.603000,1.925,0,0,1
2,ref,112.115964,16960.288674,27752.964000,1.925,0,NA,1
2,activo,112.137957,16959.491679,26074.483000,1.925,0,0,1
3,ref,111.985349,16942.034448,27729.458000,1.925,0,NA,1
3,activo,112.200612,16737.381163,26044.919000,1.925,0,0,1
3,sombra,112.032623,16670.424731,27739.599000,1.925,0,0,1
4,ref,112.022232,16939.323273,27727.884000,1.925,0,NA,1
4,activo,112.213970,16972.628607,26137.918000,1.925,0,0,1
4,sombra,112.071119,16709.483102,27751.685000,1.925,0,0,1
5,ref,112.046997,16932.974778,27742.624000,1.925,0,NA,1
5,sombra,111.975443,16923.388622,27722.199000,1.925,0,0,1
5,activo,112.083752,16957.663803,26008.818000,1.925,0,0,1
