cell,scope,set,arm,rep,wall_s,e_cpu_j,e_gpu_j,app_rc,rc_cpu_daemon,rc_gpu_daemon,state_ok
joint_known_base_noturbo_1,joint,known,base_noturbo,1,136.092,20626.43,20618.7,0,NA,NA,1
cpu_unseen_activo_2,cpu,unseen,activo,2,162.504,27088.33,5720.01,0,0,NA,1
cpu_known_base_noturbo_2,cpu,known,base_noturbo,2,33.229,5577.71,1148.69,0,NA,NA,1
cpu_unseen_activo_1,cpu,unseen,activo,1,162.955,27039.88,5615.38,0,0,NA,1
joint_known_base_noturbo_2,joint,known,base_noturbo,2,135.98,20648.48,20574.4,0,NA,NA,1
joint_unseen_base_noturbo_3,joint,unseen,base_noturbo,3,198.702,31486.87,10206.96,0,NA,NA,1
cpu_known_base_3,cpu,known,base,3,32.99,5535.41,1157.93,0,NA,NA,1
cpu_unseen_base_noturbo_1,cpu,unseen,base_noturbo,1,159.975,25985.67,5531.44,0,NA,NA,1
joint_known_base_noturbo_3,joint,known,base_noturbo,3,136.074,20638.79,20653.18,0,NA,NA,1
joint_known_base_2,joint,known,base,2,136.369,20623.04,20719.22,0,NA,NA,1
cpu_known_base_noturbo_3,cpu,known,base_noturbo,3,33.081,5532.72,1199.65,0,NA,NA,1
joint_unseen_activo_1,joint,unseen,activo,1,201.179,33150.23,10219.26,0,0,0,1
joint_known_base_1,joint,known,base,1,136.166,20667.95,20716.4,0,NA,NA,1
joint_unseen_activo_3,joint,unseen,activo,3,200.805,33165.64,10298.9,0,0,0,1
cpu_unseen_base_noturbo_2,cpu,unseen,base_noturbo,2,159.742,25982.13,5576.13,0,NA,NA,1
joint_unseen_base_noturbo_2,joint,unseen,base_noturbo,2,197.021,31338.74,10006.35,0,NA,NA,1
cpu_known_activo_1,cpu,known,activo,1,34.754,6129.37,1216.69,0,0,NA,1
joint_unseen_base_noturbo_1,joint,unseen,base_noturbo,1,198.706,31521.24,10066.15,0,NA,NA,1
cpu_known_base_2,cpu,known,base,2,33.051,5542.49,1157.43,0,NA,NA,1
cpu_known_activo_2,cpu,known,activo,2,34.746,6122.72,1202.08,0,0,NA,1
joint_known_activo_2,joint,known,activo,2,137.79,21768.81,20636.81,0,0,0,1
joint_known_activo_3,joint,known,activo,3,137.933,22024.37,20570.28,0,0,0,1
joint_unseen_base_3,joint,unseen,base,3,197.775,31353.52,10192.95,0,NA,NA,1
cpu_unseen_base_2,cpu,unseen,base,2,159.941,25956.07,5575.45,0,NA,NA,1
cpu_unseen_activo_3,cpu,unseen,activo,3,162.59,27357.95,5624.11,0,0,NA,1
joint_unseen_base_2,joint,unseen,base,2,198.387,31487.74,10038.78,0,NA,NA,1
cpu_unseen_base_noturbo_3,cpu,unseen,base_noturbo,3,159.956,26021.44,5565.37,0,NA,NA,1
joint_known_base_3,joint,known,base,3,135.917,20649.73,20492.46,0,NA,NA,1
joint_known_activo_1,joint,known,activo,1,138.117,21807.47,20760.85,0,0,0,1
cpu_unseen_base_3,cpu,unseen,base,3,160.765,26055.98,5694.57,0,NA,NA,1
cpu_known_activo_3,cpu,known,activo,3,34.68,6140.77,1202.65,0,0,NA,1
joint_unseen_base_1,joint,unseen,base,1,197.798,31368.54,9994.83,0,NA,NA,1
cpu_known_base_noturbo_1,cpu,known,base_noturbo,1,33.09,5551.33,1161.56,0,NA,NA,1
cpu_unseen_base_1,cpu,unseen,base,1,160.786,26075.67,5551.47,0,NA,NA,1
joint_unseen_activo_2,joint,unseen,activo,2,201.022,33233.73,9730.52,0,0,0,1
cpu_known_base_1,cpu,known,base,1,33.117,5559.93,1159.25,0,NA,NA,1
