cell,scope,set,arm,rep,wall_s,e_cpu_j,e_gpu_j,app_rc,rc_cpu_daemon,rc_gpu_daemon,state_ok
cpu_unseen_activo_3,cpu,unseen,activo,3,162.717,26986.46,5587.13,0,0,NA,1
joint_known_base_2,joint,known,base,2,136.165,20592.27,20520.82,0,NA,NA,1
joint_known_activo_1,joint,known,activo,1,138.217,21997.82,20799.87,0,0,0,1
cpu_known_sombra_3,cpu,known,sombra,3,33.442,6008.66,1227.45,0,0,NA,1
joint_known_activo_nofloor_1,joint,known,activo_nofloor,1,140.399,22096.52,20618.62,0,0,0,1
joint_unseen_activo_3,joint,unseen,activo,3,200.969,33125.69,10097.76,0,0,0,1
joint_unseen_activo_2,joint,unseen,activo,2,201.421,32981.42,10018.15,0,0,0,1
cpu_unseen_activo_2,cpu,unseen,activo,2,161.932,27236.93,5639.46,0,0,NA,1
joint_unseen_activo_nofloor_3,joint,unseen,activo_nofloor,3,203.151,33250.79,10062.06,0,0,0,1
cpu_known_sombra_2,cpu,known,sombra,2,33.435,6029.95,1172.84,0,0,NA,1
cpu_unseen_base_1,cpu,unseen,base,1,159.917,25953.34,5538.85,0,NA,NA,1
joint_unseen_sombra_1,joint,unseen,sombra,1,199.698,33241.75,10141.04,0,0,0,1
joint_unseen_base_3,joint,unseen,base,3,198.414,31475.84,10114.96,0,NA,NA,1
cpu_unseen_sombra_2,cpu,unseen,sombra,2,161.979,27280.78,5651.97,0,0,NA,1
cpu_unseen_base_2,cpu,unseen,base,2,159.947,26005.3,5536.46,0,NA,NA,1
joint_unseen_activo_nofloor_2,joint,unseen,activo_nofloor,2,201.99,33368.02,10194.08,0,0,0,1
cpu_known_activo_2,cpu,known,activo,2,34.721,6143.36,1218.7,0,0,NA,1
cpu_unseen_base_3,cpu,unseen,base,3,159.911,25939.58,5538.96,0,NA,NA,1
joint_known_base_3,joint,known,base,3,135.95,20600.03,20536.43,0,NA,NA,1
joint_known_base_1,joint,known,base,1,136.274,20602.22,20715.04,0,NA,NA,1
cpu_known_activo_f0_2,cpu,known,activo_f0,2,34.3,6043.91,1241.6,0,0,NA,1
joint_known_activo_2,joint,known,activo,2,138.269,22029.25,20531.99,0,0,0,1
cpu_known_activo_f0_3,cpu,known,activo_f0,3,33.479,5996.35,1212.7,0,0,NA,1
cpu_unseen_activo_1,cpu,unseen,activo,1,163.034,27007.65,5674.68,0,0,NA,1
cpu_known_base_3,cpu,known,base,3,33.013,5530.32,1140.43,0,NA,NA,1
joint_known_sombra_3,joint,known,sombra,3,136.682,21615.11,20628.92,0,0,0,1
joint_known_activo_3,joint,known,activo,3,137.983,21996.14,20706.95,0,0,0,1
cpu_known_activo_1,cpu,known,activo,1,34.656,6118.41,1263.06,0,0,NA,1
cpu_known_activo_3,cpu,known,activo,3,34.511,6080.31,1210.53,0,0,NA,1
cpu_known_base_2,cpu,known,base,2,32.943,5517.93,1141.92,0,NA,NA,1
joint_unseen_base_2,joint,unseen,base,2,198.383,31390.33,10054.39,0,NA,NA,1
cpu_unseen_sombra_1,cpu,unseen,sombra,1,162.079,27249.77,5643.44,0,0,NA,1
joint_unseen_sombra_3,joint,unseen,sombra,3,199.555,32767.37,10074.99,0,0,0,1
cpu_unseen_activo_f0_2,cpu,unseen,activo_f0,2,161.066,27096.53,5606.09,0,0,NA,1
cpu_unseen_activo_f0_1,cpu,unseen,activo_f0,1,161.105,27162.86,5563.51,0,0,NA,1
joint_unseen_activo_nofloor_1,joint,unseen,activo_nofloor,1,201.35,33361.01,10135.23,0,0,0,1
joint_known_sombra_2,joint,known,sombra,2,136.563,21992.76,20679.24,0,0,0,1
cpu_unseen_activo_f0_3,cpu,unseen,activo_f0,3,161.714,27202.81,5748.12,0,0,NA,1
cpu_unseen_sombra_3,cpu,unseen,sombra,3,162.287,27331.57,5620.88,0,0,NA,1
joint_known_sombra_1,joint,known,sombra,1,136.992,21716.37,20612.65,0,0,0,1
cpu_known_sombra_1,cpu,known,sombra,1,33.408,5996.13,1214.5,0,0,NA,1
joint_unseen_base_1,joint,unseen,base,1,198.546,31459.26,10097.2,0,NA,NA,1
joint_known_activo_nofloor_3,joint,known,activo_nofloor,3,140.114,21604.83,20790.65,0,0,0,1
cpu_known_activo_f0_1,cpu,known,activo_f0,1,33.49,5965.35,1210.81,0,0,NA,1
joint_unseen_sombra_2,joint,unseen,sombra,2,200.531,32904.5,10159.79,0,0,0,1
joint_known_activo_nofloor_2,joint,known,activo_nofloor,2,138.633,22075.29,20700.09,0,0,0,1
joint_unseen_activo_1,joint,unseen,activo,1,200.749,33194.77,10303.15,0,0,0,1
cpu_known_base_1,cpu,known,base,1,33.042,5541.27,1161.66,0,NA,NA,1
