cell,scope,set,arm,rep,wall_s,e_cpu_j,e_gpu_j,app_rc,rc_cpu_daemon,rc_gpu_daemon,state_ok
gpumem_unseen_base_noturbo_2,gpumem,unseen,base_noturbo,2,88.46,13025.69,8824.39,0,NA,NA,1
gpumem_known_activo_gpu_cpuobs_1,gpumem,known,activo_gpu_cpuobs,1,188.571,29430.01,15273.3,0,0,0,1
gpumem_unseen_activo_gpu_2,gpumem,unseen,activo_gpu,2,98.199,14524.6,9227.14,0,NA,0,1
gpumem_known_base_3,gpumem,known,base,3,187.303,28778.98,16403.95,0,NA,NA,1
gpumem_unseen_base_2,gpumem,unseen,base,2,89.381,13167.31,8908.07,0,NA,NA,1
gpumem_unseen_base_1,gpumem,unseen,base,1,88.778,13087.83,8912.97,0,NA,NA,1
gpumem_known_sombra_1,gpumem,known,sombra,1,185.813,28542.23,16378.35,0,NA,0,1
gpumem_known_activo_gpu_1,gpumem,known,activo_gpu,1,186.616,28719.54,15234.37,0,NA,0,1
gpumem_unseen_activo_gpu_1,gpumem,unseen,activo_gpu,1,89.261,13172.44,7803.09,0,NA,0,1
gpumem_unseen_sombra_3,gpumem,unseen,sombra,3,89.573,13211.6,8950.94,0,NA,0,1
gpumem_unseen_activo_gpu_cpuobs_3,gpumem,unseen,activo_gpu_cpuobs,3,90.838,13773.98,8997.82,0,0,0,1
gpumem_known_base_noturbo_1,gpumem,known,base_noturbo,1,187.09,28738.64,16390.72,0,NA,NA,1
gpumem_unseen_activo_gpu_cpuobs_1,gpumem,unseen,activo_gpu_cpuobs,1,87.42,13257.49,8883.88,0,0,0,1
gpumem_known_sombra_2,gpumem,known,sombra,2,186.287,28649.93,16326.56,0,NA,0,1
gpumem_known_base_noturbo_3,gpumem,known,base_noturbo,3,186.571,28706.7,16353.08,0,NA,NA,1
gpumem_known_activo_gpu_2,gpumem,known,activo_gpu,2,185.94,28599.22,15226.87,0,NA,0,1
gpumem_known_activo_gpu_cpuobs_3,gpumem,known,activo_gpu_cpuobs,3,188.783,29642.37,15339.9,0,0,0,1
gpumem_known_activo_gpu_3,gpumem,known,activo_gpu,3,186.925,28772.77,15290.28,0,NA,0,1
gpumem_known_sombra_3,gpumem,known,sombra,3,187.144,28674.24,16430.38,0,NA,0,1
gpumem_known_activo_gpu_cpuobs_2,gpumem,known,activo_gpu_cpuobs,2,188.343,29517.4,15320.39,0,0,0,1
gpumem_known_base_2,gpumem,known,base,2,186.674,28691.29,16396.68,0,NA,NA,1
gpumem_unseen_base_noturbo_1,gpumem,unseen,base_noturbo,1,89.298,13163.66,8910.54,0,NA,NA,1
gpumem_unseen_activo_gpu_cpuobs_2,gpumem,unseen,activo_gpu_cpuobs,2,96.891,14881.7,9173.16,0,0,0,1
gpumem_known_base_noturbo_2,gpumem,known,base_noturbo,2,186.038,28583.69,16366.36,0,NA,NA,1
gpumem_unseen_sombra_2,gpumem,unseen,sombra,2,89.573,13218.6,8899.76,0,NA,0,1
gpumem_unseen_base_noturbo_3,gpumem,unseen,base_noturbo,3,88.719,13069.65,8912.04,0,NA,NA,1
gpumem_unseen_base_3,gpumem,unseen,base,3,89.406,13147.21,8969.82,0,NA,NA,1
gpumem_unseen_sombra_1,gpumem,unseen,sombra,1,89.178,13117.59,8844.69,0,NA,0,1
gpumem_unseen_activo_gpu_3,gpumem,unseen,activo_gpu,3,90.074,13266.76,8943.27,0,NA,0,1
gpumem_known_base_1,gpumem,known,base,1,186.448,28604.07,16425.03,0,NA,NA,1
