cell,scope,set,arm,rep,wall_s,e_cpu_j,e_gpu_j,app_rc,rc_cpu_daemon,rc_gpu_daemon,state_ok
cpu_unseen_base_1,cpu,unseen,base,1,160.614,26031.35,5617.34,0,NA,NA,1
cpu_unseen_activo_3,cpu,unseen,activo,3,183.313,39950.27,6328.51,0,0,NA,1
cpu_unseen_sombra_3,cpu,unseen,sombra,3,183.099,42332.8,6329.1,0,0,NA,1
cpu_unseen_activo_1,cpu,unseen,activo,1,183.438,40483.08,6345.18,0,0,NA,1
cpu_unseen_sombra_1,cpu,unseen,sombra,1,183.037,42470.38,6329.8,0,0,NA,1
cpu_known_sombra_1,cpu,known,sombra,1,39.743,9332.93,1372.04,0,0,NA,1
cpu_known_base_3,cpu,known,base,3,33.165,5600.84,1140.7,0,NA,NA,1
cpu_unseen_base_3,cpu,unseen,base,3,160.816,26161.57,5540.6,0,NA,NA,1
cpu_known_activo_3,cpu,known,activo,3,41.327,9155.1,1427.28,0,0,NA,1
cpu_known_activo_2,cpu,known,activo,2,44.436,9807.48,1526.64,0,0,NA,1
cpu_unseen_base_2,cpu,unseen,base,2,160.793,26149.24,5528.84,0,NA,NA,1
cpu_known_sombra_3,cpu,known,sombra,3,42.296,9808.45,1457.91,0,0,NA,1
cpu_unseen_activo_2,cpu,unseen,activo,2,183.354,40146.13,6312.77,0,0,NA,1
cpu_known_activo_1,cpu,known,activo,1,41.146,9167.86,1418.14,0,0,NA,1
cpu_unseen_sombra_2,cpu,unseen,sombra,2,182.893,41884.25,6307.42,0,0,NA,1
cpu_known_base_2,cpu,known,base,2,33.198,5626.76,1143.05,0,NA,NA,1
cpu_known_sombra_2,cpu,known,sombra,2,39.657,9242.75,1364.88,0,0,NA,1
cpu_known_base_1,cpu,known,base,1,33.03,5555.93,1135.56,0,NA,NA,1
