cell,scope,set,arm,rep,wall_s,e_cpu_j,e_gpu_j,app_rc,rc_cpu_daemon,rc_gpu_daemon,state_ok
joint_unseen_base_5,joint,unseen,base,5,197.762,31397.77,9992.32,0,NA,NA,1
joint_known_activo_3,joint,known,activo,3,144.48,30509.98,20878.72,0,0,0,1
joint_unseen_activo_1,joint,unseen,activo,1,221.649,47965.44,10781.31,0,0,0,1
joint_known_base_3,joint,known,base,3,136.288,20833.51,20716.51,0,NA,NA,1
joint_unseen_base_2,joint,unseen,base,2,198.415,31476.96,10221.09,0,NA,NA,1
joint_unseen_base_1,joint,unseen,base,1,197.698,31387.2,10079.96,0,NA,NA,1
joint_known_sombra_2,joint,known,sombra,2,143.515,31598.6,20996.99,0,0,0,1
joint_known_sombra_5,joint,known,sombra,5,143.473,31590.66,20949.18,0,0,0,1
joint_unseen_sombra_5,joint,unseen,sombra,5,221.016,50004.54,10944.91,0,0,0,1
joint_unseen_sombra_4,joint,unseen,sombra,4,221.866,50537.76,10909.3,0,0,0,1
joint_unseen_activo_5,joint,unseen,activo,5,221.223,48413.7,10688.72,0,0,0,1
joint_known_base_4,joint,known,base,4,136.373,20874.17,20685.14,0,NA,NA,1
joint_unseen_activo_3,joint,unseen,activo,3,221.295,47867.24,10974.22,0,0,0,1
joint_known_sombra_3,joint,known,sombra,3,143.105,31626.56,20884.65,0,0,0,1
joint_known_sombra_1,joint,known,sombra,1,143.247,31644.29,21076.06,0,0,0,1
joint_known_activo_1,joint,known,activo,1,144.813,30607.36,21011.52,0,0,0,1
joint_known_activo_5,joint,known,activo,5,144.976,30663.32,20849.19,0,0,0,1
joint_known_activo_2,joint,known,activo,2,145.269,30600.18,21102.12,0,0,0,1
joint_known_sombra_4,joint,known,sombra,4,143.313,31615.13,20925.31,0,0,0,1
joint_known_activo_4,joint,known,activo,4,144.728,30602.43,21125.37,0,0,0,1
joint_known_base_2,joint,known,base,2,136.372,20707.91,20704.69,0,NA,NA,1
joint_unseen_base_4,joint,unseen,base,4,197.899,31341.32,10205.15,0,NA,NA,1
joint_unseen_activo_4,joint,unseen,activo,4,221.867,47919.25,10705.75,0,0,0,1
joint_known_base_5,joint,known,base,5,136.099,20735.65,20683.6,0,NA,NA,1
joint_unseen_sombra_3,joint,unseen,sombra,3,221.654,50117.55,10977.03,0,0,0,1
joint_unseen_sombra_1,joint,unseen,sombra,1,221.649,50578.26,10895.16,0,0,0,1
joint_unseen_base_3,joint,unseen,base,3,198.463,31729.78,10121.9,0,NA,NA,1
joint_unseen_sombra_2,joint,unseen,sombra,2,220.885,50096.01,10861.6,0,0,0,1
joint_unseen_activo_2,joint,unseen,activo,2,221.718,48359.47,10865.76,0,0,0,1
joint_known_base_1,joint,known,base,1,136.213,20854.0,20582.5,0,NA,NA,1
