cell,scope,set,arm,rep,wall_s,e_cpu_j,e_gpu_j,app_rc,rc_cpu_daemon,rc_gpu_daemon,state_ok
joint_unseen_base_2,joint,unseen,base,2,197.676,31318.57,10033.71,0,NA,NA,1
joint_unseen_activo_nofloor_5,joint,unseen,activo_nofloor,5,224.628,48453.68,10792.63,0,0,0,1
cpu_known_activo_3,cpu,known,activo,3,41.509,9269.92,1454.12,0,0,NA,1
joint_unseen_base_4,joint,unseen,base,4,197.783,31480.95,10049.7,0,NA,NA,1
joint_known_activo_nofloor_1,joint,known,activo_nofloor,1,148.272,31143.84,21034.92,0,0,0,1
joint_known_activo_nofloor_4,joint,known,activo_nofloor,4,146.708,30805.34,20824.64,0,0,0,1
gpu_unseen_activo_1,gpu,unseen,activo,1,38.301,5487.12,4580.14,0,NA,0,1
cpu_unseen_activo_2,cpu,unseen,activo,2,185.488,40328.77,6513.62,0,0,NA,1
gpu_unseen_sombra_1,gpu,unseen,sombra,1,38.303,5556.59,4496.4,0,NA,0,1
cpu_known_activo_1,cpu,known,activo,1,41.307,9163.71,1460.04,0,0,NA,1
cpu_unseen_activo_f0_1,cpu,unseen,activo_f0,1,184.783,40441.8,6397.64,0,0,NA,1
cpu_unseen_base_1,cpu,unseen,base,1,159.938,26053.68,5523.58,0,NA,NA,1
cpu_unseen_activo_f0_2,cpu,unseen,activo_f0,2,184.645,40346.6,6374.68,0,0,NA,1
gpu_unseen_activo_3,gpu,unseen,activo,3,38.259,5545.87,4480.1,0,NA,0,1
joint_unseen_activo_4,joint,unseen,activo,4,224.251,48492.92,10998.98,0,0,0,1
joint_unseen_base_1,joint,unseen,base,1,197.092,31462.87,10064.89,0,NA,NA,1
gpu_known_base_1,gpu,known,base,1,103.2,15197.96,19489.22,0,NA,NA,1
joint_unseen_activo_nofloor_4,joint,unseen,activo_nofloor,4,224.633,48321.68,11083.48,0,0,0,1
cpu_known_activo_f0_1,cpu,known,activo_f0,1,40.092,9030.87,1401.09,0,0,NA,1
joint_known_base_2,joint,known,base,2,135.733,20630.35,20564.92,0,NA,NA,1
joint_unseen_activo_nofloor_2,joint,unseen,activo_nofloor,2,224.759,48338.72,11065.04,0,0,0,1
cpu_unseen_sombra_1,cpu,unseen,sombra,1,184.586,42222.07,6420.14,0,0,NA,1
cpu_known_base_1,cpu,known,base,1,33.102,5617.41,1143.57,0,NA,NA,1
joint_known_activo_nofloor_2,joint,known,activo_nofloor,2,146.71,30742.83,20886.81,0,0,0,1
cpu_known_sombra_1,cpu,known,sombra,1,39.826,9268.67,1428.58,0,0,NA,1
joint_known_activo_4,joint,known,activo,4,144.856,30620.94,20694.8,0,0,0,1
joint_unseen_activo_2,joint,unseen,activo,2,224.717,48609.24,11091.54,0,0,0,1
cpu_unseen_base_2,cpu,unseen,base,2,159.998,26099.83,5582.06,0,NA,NA,1
joint_unseen_activo_nofloor_3,joint,unseen,activo_nofloor,3,225.034,48639.64,10964.73,0,0,0,1
joint_known_activo_1,joint,known,activo,1,144.827,30613.15,20935.85,0,0,0,1
joint_known_activo_nofloor_3,joint,known,activo_nofloor,3,146.59,30802.89,21047.69,0,0,0,1
joint_known_base_5,joint,known,base,5,136.33,20707.79,20738.58,0,NA,NA,1
cpu_known_activo_f0_3,cpu,known,activo_f0,3,39.847,8923.23,1444.41,0,0,NA,1
joint_unseen_sombra_4,joint,unseen,sombra,4,222.836,50332.44,10912.99,0,0,0,1
joint_known_sombra_3,joint,known,sombra,3,144.188,31957.59,20919.68,0,0,0,1
joint_unseen_base_5,joint,unseen,base,5,197.815,31446.93,10180.77,0,NA,NA,1
joint_unseen_base_3,joint,unseen,base,3,197.156,31274.84,10042.32,0,NA,NA,1
gpu_known_base_2,gpu,known,base,2,103.398,15175.87,19359.82,0,NA,NA,1
gpu_unseen_activo_2,gpu,unseen,activo,2,38.277,5474.32,4603.36,0,NA,0,1
cpu_known_activo_f0_2,cpu,known,activo_f0,2,39.963,8939.27,1433.79,0,0,NA,1
joint_unseen_activo_3,joint,unseen,activo,3,223.663,48165.8,10928.19,0,0,0,1
joint_known_activo_nofloor_5,joint,known,activo_nofloor,5,146.503,30723.63,20880.37,0,0,0,1
cpu_unseen_sombra_3,cpu,unseen,sombra,3,184.503,42217.04,6505.65,0,0,NA,1
joint_known_base_4,joint,known,base,4,136.011,20782.23,20606.19,0,NA,NA,1
gpu_known_sombra_1,gpu,known,sombra,1,103.752,15287.39,19730.33,0,NA,0,1
gpu_known_sombra_2,gpu,known,sombra,2,103.878,15199.91,19729.79,0,NA,0,1
joint_known_sombra_5,joint,known,sombra,5,143.769,31554.83,20974.16,0,0,0,1
joint_unseen_sombra_1,joint,unseen,sombra,1,223.16,50548.02,11037.1,0,0,0,1
gpu_unseen_sombra_3,gpu,unseen,sombra,3,38.274,5558.34,4501.18,0,NA,0,1
gpu_known_activo_3,gpu,known,activo,3,103.283,15248.81,19346.44,0,NA,0,1
