run_id,repetition,kernel_ref,node_id,freq_level_id,gpu_freq_level_id,binary_checksum,roofline_calibration_ref,operational_intensity,i_ridge_used,phase_label_train,kernel_family,granularity,phase_quality_status,phase_quality_reason,training_eligible,gpu_freq_mhz_requested,gpu_freq_mhz_applied,gpu_frequency_quality_status,gpu_frequency_valid_fraction,n_nvml_samples,n_nvml_samples_warmup_excluded,usable_sample_fraction,covered_duration_ns,gpu_energy_delta_mj_sum,gpu_energy_covered,gpu_util_pct_median,gpu_util_pct_trimmed_mean,gpu_util_pct_std,gpu_util_pct_iqr,gpu_util_pct_min,gpu_util_pct_max,gpu_util_pct_n_distinct,gpu_util_pct_valid_frac,gpu_mem_util_pct_median,gpu_mem_util_pct_trimmed_mean,gpu_mem_util_pct_std,gpu_mem_util_pct_iqr,gpu_mem_util_pct_min,gpu_mem_util_pct_max,gpu_mem_util_pct_n_distinct,gpu_mem_util_pct_valid_frac,gpu_power_mw_median,gpu_power_mw_trimmed_mean,gpu_power_mw_std,gpu_power_mw_iqr,gpu_power_mw_min,gpu_power_mw_max,gpu_power_mw_n_distinct,gpu_power_mw_valid_frac,gpu_sm_clock_mhz_median,gpu_sm_clock_mhz_trimmed_mean,gpu_sm_clock_mhz_std,gpu_sm_clock_mhz_iqr,gpu_sm_clock_mhz_min,gpu_sm_clock_mhz_max,gpu_sm_clock_mhz_n_distinct,gpu_sm_clock_mhz_valid_frac,gpu_temperature_c_median,gpu_temperature_c_trimmed_mean,gpu_temperature_c_std,gpu_temperature_c_iqr,gpu_temperature_c_min,gpu_temperature_c_max,gpu_temperature_c_n_distinct,gpu_temperature_c_valid_frac,source_file,n_nvml_samples_transition_excluded,quality_gate_relaxed
pacca_gpu_conv2d_extra_20260916__gpu_cutlass_simt_conv2d__REF__gpuF0__rep01,1,gpu_cutlass_simt_conv2d,pacca-a100,REF,F0,sha256:e60ca315b94f31a3125de7270947e2b458eac300197cf1b974be6ac1b7dee743,/home/latorresn/hyperion-results/final/campaigns/gpu_conv2d_extra/roofline_calibration_gpu_fp32_F0.json,438.06,15.148710306531704,compute_bound,gpu_cutlass_simt_conv2d,run,ok,,True,1410,1410,valid,1.0,5217,0,0.9946615824594852,30814790436,7525492.0,True,100.0,100.0,13.12432334987344,0.0,0.0,100.0,4.0,1.0,3.0,3.0,0.4027059502914078,0.0,0.0,3.0,3.0,1.0,247868.0,247793.2811976048,23816.013018906087,5607.0,70799.0,260455.0,282.0,1.0,1380.0,1384.005988023952,7.823876494004483,15.0,1365.0,1410.0,4.0,1.0,56.0,55.78538922155688,2.1957676465803786,2.0,43.0,58.0,11.0,1.0,tmp/remote_gpu_runs_20260917/gpu_conv2d_extra/pacca_gpu_conv2d_extra_20260916__gpu_cutlass_simt_conv2d__REF__gpuF0__rep01/training_gpu_phases.csv,28.0,False
pacca_gpu_conv2d_extra_20260916__gpu_cutlass_simt_conv2d__REF__gpuF0__rep02,2,gpu_cutlass_simt_conv2d,pacca-a100,REF,F0,sha256:e60ca315b94f31a3125de7270947e2b458eac300197cf1b974be6ac1b7dee743,/home/latorresn/hyperion-results/final/campaigns/gpu_conv2d_extra/roofline_calibration_gpu_fp32_F0.json,438.06,15.148710306531704,compute_bound,gpu_cutlass_simt_conv2d,run,ok,,True,1410,1410,valid,1.0,5296,0,0.9960504043633628,31269448595,7607833.0,True,100.0,100.0,15.504032413255354,0.0,0.0,100.0,4.0,1.0,3.0,3.0,0.466616679433997,0.0,0.0,3.0,3.0,1.0,248575.0,248373.32043416705,28700.50732403892,6591.0,75074.0,266351.0,290.0,1.0,1380.0,1377.441009910335,9.136913825681605,0.0,1365.0,1410.0,4.0,1.0,59.0,59.31736668239736,1.8981039894598128,1.0,48.0,61.0,10.0,1.0,tmp/remote_gpu_runs_20260917/gpu_conv2d_extra/pacca_gpu_conv2d_extra_20260916__gpu_cutlass_simt_conv2d__REF__gpuF0__rep02/training_gpu_phases.csv,21.0,False
pacca_gpu_conv2d_extra_20260916__gpu_cutlass_simt_conv2d__REF__gpuF0__rep03,3,gpu_cutlass_simt_conv2d,pacca-a100,REF,F0,sha256:e60ca315b94f31a3125de7270947e2b458eac300197cf1b974be6ac1b7dee743,/home/latorresn/hyperion-results/final/campaigns/gpu_conv2d_extra/roofline_calibration_gpu_fp32_F0.json,438.06,15.148710306531704,compute_bound,gpu_cutlass_simt_conv2d,run,ok,,True,1410,1410,valid,1.0,5222,0,0.9948561630786816,30822277437,7519937.0,True,100.0,100.0,14.314159193821771,0.0,0.0,100.0,6.0,1.0,3.0,3.0,0.4356776692086994,0.0,0.0,3.0,3.0,1.0,248979.0,248713.6050741982,27875.99521948388,6460.0,67135.0,262024.0,283.0,1.0,1395.0,1392.989468645285,7.397585763081602,0.0,1380.0,1410.0,3.0,1.0,52.0,51.8755385351843,2.70372684876506,4.0,38.0,55.0,14.0,1.0,tmp/remote_gpu_runs_20260917/gpu_conv2d_extra/pacca_gpu_conv2d_extra_20260916__gpu_cutlass_simt_conv2d__REF__gpuF0__rep03/training_gpu_phases.csv,27.0,False
pacca_gpu_conv2d_extra_20260916__gpu_cutlass_simt_conv2d__REF__gpuF1__rep01,1,gpu_cutlass_simt_conv2d,pacca-a100,REF,F1,sha256:e60ca315b94f31a3125de7270947e2b458eac300197cf1b974be6ac1b7dee743,/home/latorresn/hyperion-results/final/campaigns/gpu_conv2d_extra/roofline_calibration_gpu_fp32_F1.json,438.06,13.162540064459604,compute_bound,gpu_cutlass_simt_conv2d,run,ok,,True,1260,1260,valid,1.0,5966,0,0.995494743867846,34259438178,6197997.0,True,100.0,100.0,15.185249290619184,0.0,0.0,100.0,5.0,1.0,2.0,2.0,0.3012194773496989,0.0,0.0,2.0,3.0,1.0,184726.0,184629.79534981147,19457.75817959826,3140.0,59435.0,187625.0,266.0,1.0,1260.0,1260.0,0.0,0.0,1260.0,1260.0,1.0,1.0,53.0,52.89463762044407,1.1981480790074552,0.0,45.0,54.0,9.0,1.0,tmp/remote_gpu_runs_20260917/gpu_conv2d_extra/pacca_gpu_conv2d_extra_20260916__gpu_cutlass_simt_conv2d__REF__gpuF1__rep01/training_gpu_phases.csv,27.0,False
pacca_gpu_conv2d_extra_20260916__gpu_cutlass_simt_conv2d__REF__gpuF1__rep02,2,gpu_cutlass_simt_conv2d,pacca-a100,REF,F1,sha256:e60ca315b94f31a3125de7270947e2b458eac300197cf1b974be6ac1b7dee743,/home/latorresn/hyperion-results/final/campaigns/gpu_conv2d_extra/roofline_calibration_gpu_fp32_F1.json,438.06,13.162540064459604,compute_bound,gpu_cutlass_simt_conv2d,run,ok,,True,1260,1260,valid,1.0,5970,0,0.9954977488744372,34106454663,6144698.0,True,100.0,100.0,14.434107718358405,0.0,0.0,100.0,5.0,1.0,2.0,2.0,0.2892329298456456,0.0,0.0,2.0,3.0,1.0,183256.5,183218.73618090453,18488.690323031435,3029.0,57067.0,186508.0,276.0,1.0,1260.0,1260.0,0.0,0.0,1260.0,1260.0,1.0,1.0,51.0,50.9679648241206,1.2195997728868515,0.0,43.0,52.0,8.0,1.0,tmp/remote_gpu_runs_20260917/gpu_conv2d_extra/pacca_gpu_conv2d_extra_20260916__gpu_cutlass_simt_conv2d__REF__gpuF1__rep02/training_gpu_phases.csv,27.0,False
pacca_gpu_conv2d_extra_20260916__gpu_cutlass_simt_conv2d__REF__gpuF1__rep03,3,gpu_cutlass_simt_conv2d,pacca-a100,REF,F1,sha256:e60ca315b94f31a3125de7270947e2b458eac300197cf1b974be6ac1b7dee743,/home/latorresn/hyperion-results/final/campaigns/gpu_conv2d_extra/roofline_calibration_gpu_fp32_F1.json,438.06,13.162540064459604,compute_bound,gpu_cutlass_simt_conv2d,run,ok,,True,1260,1260,valid,1.0,6047,0,0.995882740447958,34321086938,6083645.0,True,100.0,100.0,14.055810349922162,0.0,0.0,100.0,5.0,1.0,2.0,2.0,0.2777906380177983,0.0,0.0,2.0,2.0,1.0,180951.0,180836.0524901839,18237.318266539143,3059.0,54688.0,184519.0,267.0,1.0,1260.0,1260.0,0.0,0.0,1260.0,1260.0,1.0,1.0,48.0,47.98119446166563,1.759054379563945,2.0,39.0,50.0,10.0,1.0,tmp/remote_gpu_runs_20260917/gpu_conv2d_extra/pacca_gpu_conv2d_extra_20260916__gpu_cutlass_simt_conv2d__REF__gpuF1__rep03/training_gpu_phases.csv,25.0,False
pacca_gpu_conv2d_extra_20260916__gpu_cutlass_simt_conv2d__REF__gpuF2__rep01,1,gpu_cutlass_simt_conv2d,pacca-a100,REF,F2,sha256:e60ca315b94f31a3125de7270947e2b458eac300197cf1b974be6ac1b7dee743,/home/latorresn/hyperion-results/final/campaigns/gpu_conv2d_extra/roofline_calibration_gpu_fp32_F2.json,438.06,11.637463725464848,compute_bound,gpu_cutlass_simt_conv2d,run,ok,,True,1110,1110,valid,1.0,6454,0,0.996295152824946,38851419206,5189981.0,True,100.0,100.0,16.31020806580865,0.0,0.0,100.0,4.0,1.0,2.0,2.0,0.3349383578010716,0.0,0.0,2.0,3.0,1.0,136444.0,136411.6107668474,15101.275967844742,2763.0,47779.0,140233.0,264.0,1.0,1110.0,1110.0,0.0,0.0,1110.0,1110.0,1.0,1.0,41.0,41.23470178156468,1.0958173172886876,1.0,35.0,43.0,8.0,1.0,tmp/remote_gpu_runs_20260917/gpu_conv2d_extra/pacca_gpu_conv2d_extra_20260916__gpu_cutlass_simt_conv2d__REF__gpuF2__rep01/training_gpu_phases.csv,24.0,False
pacca_gpu_conv2d_extra_20260916__gpu_cutlass_simt_conv2d__REF__gpuF2__rep02,2,gpu_cutlass_simt_conv2d,pacca-a100,REF,F2,sha256:e60ca315b94f31a3125de7270947e2b458eac300197cf1b974be6ac1b7dee743,/home/latorresn/hyperion-results/final/campaigns/gpu_conv2d_extra/roofline_calibration_gpu_fp32_F2.json,438.06,11.637463725464848,compute_bound,gpu_cutlass_simt_conv2d,run,ok,,True,1110,1110,valid,1.0,6458,0,0.9959901295496608,38967679848,5259557.0,True,100.0,100.0,16.034722189611962,0.0,0.0,100.0,5.0,1.0,2.0,2.0,0.3219740692031486,0.0,0.0,2.0,3.0,1.0,137721.0,137582.46304179568,15967.020266220678,2982.0,48966.0,141867.0,275.0,1.0,1110.0,1110.0,0.0,0.0,1110.0,1110.0,1.0,1.0,45.0,45.390866873065015,0.8573229686251677,1.0,41.0,46.0,6.0,1.0,tmp/remote_gpu_runs_20260917/gpu_conv2d_extra/pacca_gpu_conv2d_extra_20260916__gpu_cutlass_simt_conv2d__REF__gpuF2__rep02/training_gpu_phases.csv,26.0,False
pacca_gpu_conv2d_extra_20260916__gpu_cutlass_simt_conv2d__REF__gpuF2__rep03,3,gpu_cutlass_simt_conv2d,pacca-a100,REF,F2,sha256:e60ca315b94f31a3125de7270947e2b458eac300197cf1b974be6ac1b7dee743,/home/latorresn/hyperion-results/final/campaigns/gpu_conv2d_extra/roofline_calibration_gpu_fp32_F2.json,438.06,11.637463725464848,compute_bound,gpu_cutlass_simt_conv2d,run,ok,,True,1110,1110,valid,1.0,6425,0,0.9959696171136256,38886400256,5217734.0,True,100.0,100.0,15.415575980961966,0.0,0.0,100.0,5.0,1.0,2.0,2.0,0.302302889329279,0.0,0.0,2.0,3.0,1.0,136681.0,136522.0178953511,15074.444361652082,2497.0,47571.0,141077.0,277.0,1.0,1110.0,1110.0,0.0,0.0,1110.0,1110.0,1.0,1.0,44.0,43.95876288659794,0.9345133845690116,0.0,38.0,45.0,8.0,1.0,tmp/remote_gpu_runs_20260917/gpu_conv2d_extra/pacca_gpu_conv2d_extra_20260916__gpu_cutlass_simt_conv2d__REF__gpuF2__rep03/training_gpu_phases.csv,26.0,False
pacca_gpu_conv2d_extra_20260916__gpu_cutlass_simt_conv2d__REF__gpuF3__rep01,1,gpu_cutlass_simt_conv2d,pacca-a100,REF,F3,sha256:e60ca315b94f31a3125de7270947e2b458eac300197cf1b974be6ac1b7dee743,/home/latorresn/hyperion-results/final/campaigns/gpu_conv2d_extra/roofline_calibration_gpu_fp32_F3.json,438.06,10.127306471805602,compute_bound,gpu_cutlass_simt_conv2d,run,ok,,True,960,960,valid,1.0,7314,0,0.9961863252519748,44914436118,5101463.0,True,100.0,100.0,17.886032298741956,0.0,0.0,100.0,5.0,1.0,2.0,2.0,0.3688389252014702,0.0,0.0,2.0,3.0,1.0,116191.0,116053.94292549556,12775.878810126944,2334.0,44587.0,118165.0,232.0,1.0,960.0,960.0,0.0,0.0,960.0,960.0,1.0,1.0,41.0,41.0,0.7769973180891705,0.0,36.0,41.0,6.0,1.0,tmp/remote_gpu_runs_20260917/gpu_conv2d_extra/pacca_gpu_conv2d_extra_20260916__gpu_cutlass_simt_conv2d__REF__gpuF3__rep01/training_gpu_phases.csv,28.0,False
