kernel_ref,class,margin,best_level,edp_vs_ref
dual_axpy_gpu_N10000000,memory_bound,1.0,F4,
dual_axpy_gpu_N1280000000,memory_bound,1.0,F2,0.8330925447915731
dual_cholesky_gpu_N2048,compute_bound,1.0,F0,0.9728596033635358
dual_fft_gpu_N4096,memory_bound,0.9,F1,0.9578397902869973
dual_spmv_gpu_N1000000,memory_bound,1.0,F2,0.8721750162766627
dual_spmv_gpu_N200000000,memory_bound,1.0,F2,0.791679264655826
dual_stencil_gpu_N1024,memory_bound,1.0,F4,
dual_stencil_gpu_N36864,memory_bound,1.0,F3,0.7923750233182376
gpu_cutlass_simt_conv2d,compute_bound,1.0,F2,0.8749327100055223
gpu_cutlass_simt_dgemm_n4096,compute_bound,1.0,F2,1.142521258112657
gpu_rajaperf_gemm,compute_bound,0.5,F3,
gpu_rajaperf_heat_3d,memory_bound,1.0,F3,
gpu_rajaperf_jacobi_2d,memory_bound,1.0,F2,0.8323797798158412
gpu_rajaperf_stream_triad,memory_bound,1.0,F1,0.9465441679488484
rodinia_gaussian,memory_bound,1.0,F0,0.9899052545713926
rodinia_heartwall,compute_bound,1.0,F0,1.058758152987386
rodinia_kmeans_gpu_N350000_D34_K200,compute_bound,1.0,F3,0.7111700271097162
rodinia_lud,memory_bound,0.6,F5,0.814312526772392
