kernel_ref,class,margin,ambiguous
dual_axpy_gpu_N10000000,memory_bound,1.0,False
dual_axpy_gpu_N1280000000,memory_bound,1.0,False
dual_cholesky_gpu_N2048,compute_bound,1.0,False
dual_fft_gpu_N4096,memory_bound,0.9,False
dual_spmv_gpu_N1000000,memory_bound,1.0,False
dual_spmv_gpu_N200000000,memory_bound,1.0,False
dual_stencil_gpu_N1024,memory_bound,1.0,False
dual_stencil_gpu_N36864,memory_bound,1.0,False
gpu_cutlass_simt_conv2d,compute_bound,1.0,False
gpu_cutlass_simt_dgemm_n4096,compute_bound,1.0,False
gpu_rajaperf_gemm,compute_bound,0.5,True
gpu_rajaperf_heat_3d,memory_bound,1.0,False
gpu_rajaperf_jacobi_2d,memory_bound,1.0,False
gpu_rajaperf_stream_triad,memory_bound,1.0,False
rodinia_gaussian,memory_bound,1.0,False
rodinia_heartwall,compute_bound,1.0,False
rodinia_kmeans_gpu_N350000_D34_K200,compute_bound,1.0,False
rodinia_lud,memory_bound,0.6,True
